AREA,ID,LAYER,RMTYPE,SUBTYPE,WEIGHT,ALTERATIONS,CRACKS,POTLIDS,REDDENING,GLOSS,WHITEPATINA,PATINA,OTHER,CORTEX,CORTEXTHICKNESS,CORTEXAPPEARANCE,INCLUSIONS,INCLUSIONTYPE
SHELTER,VB07-344,,TYPE 11,CPT,4.2,Yes,No,No,No,No,Yes,Yes,No,Yes,Thin,Other,,One face filled with unidentifiable fossils.
SHELTER,VB06-1295,,TYPE 11,CPT,3,Yes,No,No,No,No,No,No,Yes,Yes,Medium,Outcrop,,Coarse and light spots.
SHELTER,VB08-4058,,TYPE 11,CPT,1.4,Yes,Yes,No,No,No,Yes,No,No,Yes,Thin,Rounded,,Coarser splotch.
SHELTER,VB08-5590,,TYPE 11,CPT,0.5,Yes,No,No,No,No,Yes,No,No,No,,,,
SHELTER,VB05-2638,,TYPE 11,CPT,23.8,Yes,No,No,No,No,Yes,Yes,No,No,,,,Area with concentration of unidentifiable fossils.
SHELTER,VB06-886,,TYPE 11,CPT,0.7,No,,,,,,,,Yes,Thick,Outcrop,Yes,FeOx
SHELTER,VB08-5856,,TYPE 11,CPT,2.1,Yes,No,No,No,No,Yes,No,No,Yes,Thin,Rounded,No,
SHELTER,VB09-942,,TYPE 11,CPT,2.8,Yes,No,No,No,Yes,Yes,Yes,Yes,No,,,No,
SHELTER,VB09-1530,,TYPE 11,CPT,1.1,Yes,No,No,No,No,Yes,No,Yes,Yes,Thin,Rounded,No,
SHELTER,VB08-4790,,TYPE 11,CPT,0.8,Yes,No,No,No,No,Yes,No,Yes,No,,,No,
SHELTER,VB08-4338,,TYPE 11,CPT,0.4,Yes,No,No,No,No,Yes,No,No,No,,,No,
SHELTER,VB07-1371,,TYPE 11,CPT,0.1,No,,,,,,,,No,,,Yes,FeOx; ND
SHELTER,VB07-703,,TYPE 11,CPT,0.7,Yes,No,No,No,No,Yes,No,No,Yes,Medium,Other,No,
SHELTER,VB08-1793,,TYPE 11,CPT,2.2,Yes,No,No,No,No,Yes,No,No,No,,,Yes,ND
SHELTER,VB09-2200,,TYPE 11,CPT,0.6,Yes,No,No,No,No,Yes,No,No,No,,,No,
SHELTER,VB07-1470,,INDET,ND_A,0.4,Yes,No,No,No,No,Yes,No,No,Yes,Thin,Rounded,No,
SHELTER,VB08-4232,,TYPE 11,CPT,0.1,Yes,No,No,No,No,Yes,No,No,No,,,No,
SHELTER,VB08-1850,,TYPE 11,CPT,0.8,Yes,No,No,No,No,Yes,No,No,No,,,No,
SHELTER,VB07-725,,TYPE 11,TYPE 11A,0.8,No,,,,,,,,Yes,Thin,Outcrop,No,
SHELTER,VB08-5164,,TYPE 11,TYPE 11A,4.6,Yes,No,No,No,No,Yes,Yes,No,Yes,Thin,Rounded,No,
SHELTER,VB09-628,,TYPE 11,TYPE 11A,4.2,Yes,No,No,No,No,Yes,No,No,No,,,Yes,FeOx; ND
SHELTER,VB05-1449,,TYPE 11F,TYPE 11F,0.4,No,,,,,,,,No,,,Yes,FeOx; Org; ND
SHELTER,VB05-1458,,TYPE 11,TYPE 11A,1.9,No,,,,,,,,Yes,Thin,Rounded,Yes,FeOx
SHELTER,VB07-794,,TYPE 11,TYPE 11A,0.9,Yes,No,No,No,No,Yes,No,No,Yes,Thin,Rounded,Yes,FeOx
SHELTER,VB08-1514,,TYPE 11,TYPE 11A,1.4,No,,,,,,,,No,,,No,
SHELTER,VB09-910,,TYPE 11,TYPE 11A,0.4,No,,,,,,,,Yes,Thin,Rounded,Yes,FeOx; ND
SHELTER,VB05-2922,,TYPE 11,TYPE 11A,3.6,Yes,No,No,No,No,Yes,Yes,Yes,No,,,Yes,FeOx; ND
SHELTER,VB08-5968,,TYPE 11,CPT,0.1,Yes,No,No,No,Yes,Yes,No,No,No,,,No,
SHELTER,VB06-42,,INDET,ND_A,2.3,Yes,,,,,Yes,,,No,,,Yes,FeOx
SHELTER,VB06-195,,INDET,ND_A,0.1,Yes,,,,,Yes,,,No,,,Yes,FeOx; Org
SHELTER,VB06-1284,,TYPE 11,TYPE 11A,2.3,Yes,No,No,No,No,No,Yes,No,Yes,Thin,Rounded,Yes,ND
SHELTER,VB07-1088,,INDET,ND_A,1.3,Yes,,,,,,,,Yes,Thin,Rounded,Yes,FeOx
SHELTER,VB07-1016,,INDET,ND_A,1.1,Yes,No,No,No,No,Yes,No,No,No,,,Yes,FeOx
SHELTER,VB08-5631,,TYPE 11,TYPE 11A,0.6,No,,,,,,,,No,,,FeOx,
SHELTER,VB06-332,,TYPE 11,CPT,1.2,Yes,No,No,No,No,Yes,No,No,No,,,No,
SHELTER,VB08-1519,,TYPE 11,TYPE 11A,1.1,Yes,No,No,Yes,Yes,No,No,No,Yes,Thin,Rounded,Yes,FeOx
SHELTER,VB05-2156,,INDET,ND_A,1.4,Yes,No,Yes,No,No,No,No,Yes,No,,,Yes,FeOx
SHELTER,VB07-573,,TYPE 11,TYPE 11A,0.8,No,,,,,,,,No,,,Yes,FeOx
SHELTER,VB07-1166,,INDET,ND_A,1.2,Yes,No,No,No,No,Yes,No,No,Yes,Thin,Rounded,Yes,FeOx; ND
SHELTER,VB06-323,,INDET,ND_A,2,Yes,No,Yes,No,No,Yes,Yes,Yes,No,,,No,
SHELTER,VB07-910,,INDET,ND_A,1.7,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Thin,Rounded,Yes,ND
