Baseline,Background,SiO2,Dolomite,Observed,Difference
32.8317,511.51,521.97,518.28,486,-42.74
32.8818,510.78,523.71,517.47,514,-16.4
32.932,510.05,524.48,516.73,510,-21.15
32.9821,509.32,521.93,516.08,524,-4.69
33.0322,508.59,519.47,515.56,468,-58.43
33.0824,507.86,517.79,515.22,490,-35.14
33.1325,507.12,516.53,515.14,518,-6.55
33.1827,506.39,515.48,515.51,541,16.4
33.2328,505.66,514.55,516.61,514,-11.5
33.2829,504.93,513.68,518.97,516,-11.73
33.3331,504.21,512.86,523.59,574,41.77
33.3832,503.48,512.06,531.86,532,-8.44
33.4333,502.75,511.29,541.78,540,-10.32
33.4835,502.02,510.53,543.7,534,-18.2
33.5336,501.29,509.78,537.19,556,10.32
33.5838,500.56,509.05,527.1,516,-19.59
33.6339,499.84,508.34,517.88,498,-28.37
33.684,499.11,507.62,511.75,484,-36.27
33.7342,498.39,506.93,507.85,514,-2.39
33.7843,497.66,506.24,505.2,488,-25.78
33.8344,496.94,505.56,503.25,510,-1.87
33.8846,496.22,504.9,501.7,451,-59.37
33.9347,495.49,504.23,500.38,504,-5.13
33.9849,494.77,503.58,499.23,479,-29.05
34.035,494.05,502.95,498.18,499,-8.08
34.0851,493.33,502.32,497.21,467,-39.21
34.1353,492.61,501.71,496.3,475,-30.4
34.1854,491.89,501.1,495.43,500,-4.65
34.2355,491.18,500.52,494.61,486,-17.94
34.2857,490.46,499.94,493.8,473,-30.28
34.3358,489.74,499.38,493.02,433,-69.66
34.386,489.03,498.84,492.28,502,-0.09
34.4361,488.32,498.32,491.56,504,2.44
34.4862,487.6,497.8,490.86,427,-74.07
34.5364,486.89,497.31,490.21,444,-56.63
34.5865,486.18,496.85,489.58,487,-13.25
34.6366,485.47,496.41,489,453,-46.94
34.6868,484.77,496,488.49,498,-1.72
34.7369,484.06,495.61,488.04,441,-58.59
34.787,483.36,495.26,487.71,495,-4.6
34.8372,482.65,494.94,487.51,511,11.2
34.8873,481.95,494.66,487.55,504,3.73
34.9375,481.25,494.43,487.95,468,-33.13
34.9876,480.55,494.25,488.94,489,-13.63
35.0377,479.85,494.12,490.9,485,-20.17
35.0879,479.16,494.06,494.58,558,48.53
35.138,478.46,494.06,501.29,514,-2.89
35.1881,477.77,494.15,512.58,530,1.04
35.2383,477.07,494.34,523.71,538,-2.98
35.2884,476.38,494.67,523.55,572,30.15
35.3386,475.69,495.2,515.22,532,-2.73
35.3887,475.01,496.05,503.3,516,-8.34
35.4388,474.32,497.6,492.87,516,-0.15
35.489,473.64,501.1,486.22,482,-31.67
35.5391,472.95,505.59,482.08,480,-34.72
35.5892,472.27,504.28,479.33,492,-19.33
35.6394,471.59,503.89,477.33,459,-50.64
35.6895,470.91,505.3,475.77,521,10.83
35.7397,470.24,507.77,474.49,499,-13.02
35.7898,469.56,511.14,473.38,484,-30.96
35.8399,468.89,515.52,472.39,472,-47.02
35.8901,468.22,521.16,471.48,495,-29.42
35.9402,467.55,528.44,470.64,485,-46.53
35.9903,466.88,537.95,469.85,536,-4.92
36.0405,466.22,550.6,469.1,550,-3.48
36.0906,465.55,567.79,468.37,509,-61.62
36.1408,464.89,591.87,467.69,587,-7.67
36.1909,464.23,626.86,467.02,577,-52.66
36.241,463.57,679.63,466.38,658,-24.45
36.2912,462.92,760.95,465.78,679,-84.81
36.3413,462.26,892.11,465.19,819,-76.04
36.3914,461.61,1114.35,464.63,958,-159.37
36.4416,460.96,1530.54,464.11,1462,-71.69
36.4917,460.31,2278.73,463.62,2264,-18.04
36.5418,459.67,2917.58,463.19,2925,3.9
36.592,459.02,2721.49,462.79,2960,234.73
36.6421,458.38,2260.77,462.48,2340,75.13
36.6923,457.74,1613.82,462.25,1718,99.67
36.7424,457.1,1137.46,462.15,1152,9.48
36.7925,456.47,882.82,462.23,898,9.41
36.8427,455.84,744.95,462.58,776,24.32
36.8928,455.2,664.03,463.34,680,7.83
36.9429,454.57,612.86,464.71,580,-43.01
36.9931,453.95,578.5,466.67,559,-32.21
37.0432,453.32,554.27,469.3,568,-2.25
37.0934,452.7,536.51,473.7,550,-7.51
37.1435,452.08,523.09,481.27,561,8.72
37.1936,451.46,512.65,494.32,534,-21.52
37.2438,450.84,504.36,517.08,551,-19.6
37.2939,450.23,497.65,549.71,618,20.87
37.344,449.62,492.13,568.6,648,36.9
37.3942,449.01,487.51,558.41,590,-6.91
37.4443,448.4,483.61,535.68,593,22.12
37.4945,447.79,480.27,507.16,556,16.36
37.5446,447.19,477.39,485.31,508,-7.51
37.5947,446.59,474.9,472.11,523,22.59
37.6449,445.99,472.7,464.1,491,0.19
37.695,445.39,470.77,458.94,454,-30.33
37.7451,444.8,469.07,455.39,486,6.34
37.7953,444.21,467.57,452.78,468,-8.14
37.8454,443.62,466.24,450.75,433,-40.37
37.8956,443.03,465.08,449.11,426,-45.16
37.9457,442.45,464.09,447.73,458,-11.37
37.9958,441.87,463.28,446.54,498,30.05
38.046,441.29,462.74,445.48,458,-8.92
38.0961,440.71,462.73,444.52,466,-0.53
38.1462,440.13,464.18,443.63,505,37.32
38.1964,439.56,466.23,442.8,478,8.52
38.2465,438.99,463.78,442.03,528,61.18
38.2966,438.42,461.92,441.29,445,-19.78
38.3468,437.86,461.23,440.58,484,20.05
38.3969,437.29,461.06,439.9,481,17.33
38.4471,436.73,461.24,439.24,447,-16.75
38.4972,436.17,461.69,438.6,443,-21.12
38.5473,435.62,462.43,437.98,432,-32.79
38.5975,435.06,463.48,437.37,457,-8.79
38.6476,434.51,464.91,436.78,428,-39.18
38.6977,433.96,466.78,436.2,421,-48.03
38.7479,433.42,469.24,435.64,474,2.55
38.798,432.87,472.38,435.07,481,6.42
38.8482,432.33,476.5,434.53,446,-32.7
38.8983,431.79,481.9,433.99,460,-24.1
38.9484,431.25,489.07,433.46,495,3.71
38.9986,430.72,498.82,432.95,508,6.96
39.0487,430.19,512.39,432.44,522,7.36
39.0988,429.66,531.99,431.94,539,4.73
39.149,429.13,561.61,431.45,565,1.06
39.1991,428.61,608.85,430.99,620,8.78
39.2493,428.08,687.36,430.52,672,-17.8
39.2994,427.56,818.72,430.09,807,-14.25
39.3495,427.05,1066.91,429.69,1135,65.45
39.3997,426.53,1685.24,429.25,1865,177.04
39.4498,426.02,2909.71,428.8,3190,277.51
39.4999,425.51,2869.03,428.38,3378,506.11
39.5501,425,2397.94,427.97,2699,298.1
39.6002,424.5,1851.63,427.59,2134,279.29
39.6503,423.99,1138.27,427.22,1243,101.5
39.7005,423.49,822.11,426.88,859,33.49
39.7506,422.99,685.69,426.56,696,6.73
39.8008,422.5,619.25,426.28,627,3.97
39.8509,422.01,585.54,426.02,599,9.46
39.901,421.52,570.79,425.79,556,-19.06
39.9512,421.03,570.28,425.6,552,-22.85
40.0013,420.54,584.09,425.46,581,-8.01
40.0514,420.06,616.1,425.38,644,22.58
40.1016,419.58,675.8,425.37,687,5.42
40.1517,419.1,785.21,425.44,789,-2.55
40.2019,418.62,999.98,425.62,1021,14.03
40.252,418.15,1351.98,425.96,1389,29.22
40.3021,417.68,1529.44,426.51,1512,-26.28
40.3523,417.21,1387.44,427.31,1436,38.46
40.4024,416.74,1201.68,428.18,1231,17.88
40.4525,416.28,929.86,429.18,992,49.24
40.5027,415.82,727.97,430.6,695,-47.75
40.5528,415.36,618.13,432.64,634,-1.41
40.603,414.9,557.51,435.49,554,-24.1
40.6531,414.45,521.3,439.51,555,8.64
40.7032,413.99,498,445.24,520,-9.25
40.7534,413.54,482.09,453.62,529,6.83
40.8035,413.1,470.71,466.18,551,27.21
40.8536,412.65,462.26,485.43,552,16.96
40.9038,412.21,455.82,515.73,572,12.67
40.9539,411.77,450.8,565.88,633,28.08
41.0041,411.33,446.88,651.14,717,30.3
41.0542,410.9,443.93,765.12,759,-39.14
41.1043,410.46,442.21,818.08,799,-50.83
41.1545,410.03,442.13,779.41,845,33.48
41.2046,409.6,439.94,711.21,769,27.45
41.2547,409.18,436.81,619.5,620,-27.12
41.3049,408.75,434.91,544.11,576,5.72
41.355,408.33,433.7,497.93,552,28.7
41.4052,407.91,432.89,470.43,508,12.59
41.4553,407.5,432.41,453.37,458,-20.28
41.5054,407.08,432.22,442.14,462,-5.28
41.5556,406.67,432.33,434.36,511,50.99
41.6057,406.26,432.76,428.71,484,28.79
41.6558,405.85,433.55,424.46,442,-10.16
41.706,405.44,434.78,421.14,435,-15.49
41.7561,405.04,436.57,418.5,456,5.97
41.8062,404.64,439.04,416.33,451,0.27
41.8564,404.24,442.43,414.51,445,-7.7
41.9065,403.84,447.07,412.96,447,-9.19
41.9567,403.45,453.48,411.62,441,-20.65
42.0068,403.06,462.5,410.45,485,15.11
42.0569,402.67,475.57,409.4,464,-18.29
42.1071,402.28,495.23,408.45,513,11.61
42.1572,401.89,526.17,407.58,569,37.14
42.2073,401.51,576.53,406.8,632,50.19
42.2575,401.13,657.83,406.07,769,106.24
42.3076,400.75,799.67,405.39,887,82.69
42.3578,400.37,1129.83,404.75,1313,178.78
42.4079,400,1931.96,404.16,1969,32.88
42.458,399.62,2439.28,403.59,2371,-72.26
42.5082,399.25,1916.82,403.06,2020,99.37
42.5583,398.88,1753.81,402.55,1659,-98.49
42.6084,398.52,1185.81,402.08,1227,37.64
42.6586,398.15,795.32,401.62,878,79.21
42.7087,397.79,628.54,401.19,666,34.07
42.7589,397.43,548.98,400.77,616,63.68
42.809,397.07,505.2,400.38,501,-7.51
42.8591,396.71,478.45,400.01,478,-3.76
42.9093,396.36,460.83,399.67,455,-9.14
42.9594,396.01,448.54,399.35,448,-3.88
43.0095,395.66,439.58,399.06,442,-0.97
43.0597,395.31,432.81,398.79,448,11.71
43.1098,394.96,427.54,398.57,426,-5.15
43.16,394.62,423.35,398.4,442,14.87
43.2101,394.28,419.94,398.28,414,-9.94
43.2602,393.93,417.11,398.24,413,-8.42
43.3104,393.6,414.74,398.32,456,36.55
43.3605,393.26,412.7,398.54,418,0.02
43.4106,392.93,410.96,399,402,-15.02
43.4608,392.59,409.42,399.8,406,-10.64
43.5109,392.26,408.07,401.16,391,-25.98
43.561,391.93,406.88,403.38,452,33.67
43.6112,391.61,405.81,407.13,413,-8.33
43.6613,391.28,404.85,413.68,429,1.75
43.7115,390.96,403.98,423.69,476,39.29
43.7616,390.63,403.18,431.27,448,4.17
43.8117,390.31,402.46,429.48,480,38.36
43.8619,390,401.81,424.35,430,-6.15
43.912,389.68,401.2,416.98,418,-10.5
43.9621,389.37,400.65,409.07,445,24.66
44.0123,389.05,400.14,403.69,419,4.23
44.0624,388.74,399.67,400.56,427,15.5
44.1126,388.43,399.25,398.81,409,-0.63
44.1627,388.13,398.88,397.9,391,-17.64
44.2128,387.82,398.53,397.52,416,7.77
44.263,387.52,398.23,397.55,406,-2.26
44.3131,387.21,397.96,397.95,376,-32.71
44.3632,386.91,397.74,398.81,410,0.35
44.4134,386.61,397.56,400.21,427,15.83
44.4635,386.32,397.44,402.35,432,18.54
44.5137,386.02,397.35,405.52,405,-11.85
44.5638,385.73,397.33,410.26,410,-11.85
44.6139,385.44,397.37,417.39,421,-8.32
44.6641,385.14,397.5,428.26,415,-25.62
44.7142,384.86,397.76,445.29,422,-36.19
44.7643,384.57,398.19,473.74,497,9.64
44.8145,384.28,398.87,521.67,548,11.74
44.8646,384,400.01,581.63,552,-45.64
44.9147,383.71,402.07,603.27,650,28.37
44.9649,383.43,406.06,581.04,615,11.32
45.015,383.15,411.74,550.11,575,-3.71
45.0652,382.87,413.08,505.18,542,6.6
45.1153,382.6,411.22,463.82,516,23.56
45.1654,382.32,411.05,437,464,-1.73
45.2156,382.05,412.79,420.7,421,-30.44
45.2657,381.78,416.17,410.25,416,-28.63
45.3158,381.5,421.33,403.21,468,24.95
45.366,381.23,428.95,398.29,493,46.99
45.4161,380.97,440.22,394.77,449,-5.02
45.4663,380.7,457.49,392.12,509,40.09
45.5164,380.43,484.47,390.08,597,102.88
45.5665,380.17,526.89,388.47,558,22.81
45.6167,379.91,593.22,387.17,680,79.52
45.6668,379.65,721.4,386.13,805,77.12
45.7169,379.39,1040.67,385.33,1118,71.4
45.7671,379.13,1694.67,384.69,1520,-180.23
45.8172,378.87,1731.23,383.98,1587,-149.33
45.8674,378.61,1392.44,383.17,1404,6.99
45.9175,378.36,1311.37,382.45,1097,-218.46
45.9676,378.1,909.57,381.81,857,-56.29
46.0178,377.85,651.37,381.25,690,35.23
46.0679,377.6,539.97,380.74,555,11.88
46.118,377.35,485.77,380.28,468,-20.69
46.1682,377.1,455.53,379.84,458,-0.28
46.2183,376.85,436.9,379.43,432,-7.48
46.2685,376.61,424.55,379.04,411,-15.98
46.3186,376.36,415.9,378.67,458,39.79
46.3687,376.12,409.59,378.32,419,7.21
46.4189,375.88,404.83,377.98,406,-0.92
46.469,375.63,401.12,377.64,390,-13.13
46.5191,375.39,398.18,377.32,416,15.89
46.5693,375.15,395.8,377.01,409,11.34
46.6194,374.91,393.83,376.71,369,-26.64
46.6696,374.68,392.2,376.42,385,-8.94
46.7197,374.44,390.81,376.13,381,-11.5
46.7698,374.21,389.64,375.85,378,-13.28
46.82,373.97,388.61,375.57,385,-5.21
46.8701,373.74,387.73,375.31,403,13.71
46.9202,373.5,386.94,375.04,346,-42.49
46.9704,373.27,386.26,374.78,382,-5.77
47.0205,373.04,385.65,374.52,402,14.86
47.0706,372.81,385.12,374.27,387,0.42
47.1208,372.59,384.65,374.03,382,-4.08
47.1709,372.36,384.22,373.78,392,6.36
47.2211,372.13,383.85,373.54,371,-14.25
47.2712,371.91,383.52,373.3,413,28.09
47.3213,371.68,383.22,373.07,409,24.4
47.3715,371.46,382.96,372.84,372,-12.34
47.4216,371.23,382.73,372.61,378,-6.11
47.4717,371.01,382.54,372.39,346,-37.92
47.5219,370.79,382.38,372.17,409,25.24
47.572,370.57,382.25,371.95,401,17.36
47.6222,370.35,382.15,371.74,360,-23.54
47.6723,370.13,382.08,371.53,394,10.52
47.7224,369.91,382.04,371.32,365,-18.45
47.7726,369.69,382.02,371.12,374,-9.45
47.8227,369.48,382.05,370.93,352,-31.49
47.8728,369.26,382.09,370.73,391,7.44
47.923,369.05,382.18,370.54,350,-33.67
47.9731,368.83,382.29,370.35,341,-42.82
48.0233,368.62,382.45,370.18,418,33.99
48.0734,368.41,382.65,370.01,342,-42.24
48.1235,368.19,382.88,369.83,373,-11.52
48.1737,367.98,383.16,369.67,386,1.15
48.2238,367.77,383.49,369.52,406,20.76
48.2739,367.56,383.87,369.38,413,27.31
48.3241,367.35,384.31,369.24,411,24.8
48.3742,367.14,384.81,369.12,431,44.2
48.4244,366.93,385.39,369.02,396,8.53
48.4745,366.72,386.04,368.93,403,14.75
48.5246,366.52,386.79,368.87,371,-18.13
48.5748,366.31,387.62,368.83,409,18.86
48.6249,366.1,388.57,368.82,438,46.71
48.675,365.9,389.65,368.88,430,37.38
48.7252,365.69,390.86,368.99,450,55.84
48.7753,365.49,392.25,369.2,398,2.04
48.8254,365.28,393.82,369.54,447,48.91
48.8756,365.08,395.62,370.09,412,11.36
48.9257,364.88,397.69,370.95,406,2.24
48.9759,364.67,400.07,372.24,413,5.35
49.026,364.47,402.87,374.28,460,47.32
49.0761,364.27,406.22,377.68,486,66.36
49.1263,364.07,410.49,383.51,476,46.07
49.1764,363.87,416.54,391.58,475,30.76
49.2265,363.67,422.96,396.13,469,13.58
49.2767,363.47,426.87,393.73,457,-0.12
49.3268,363.27,432.5,390.23,436,-23.45
49.377,363.07,440.32,385.45,462,-0.7
49.4271,362.87,450.27,379.49,459,-7.89
49.4772,362.67,462.77,375.08,488,12.82
49.5274,362.47,478.66,372.45,485,-3.64
49.5775,362.27,499.3,370.95,529,21.02
49.6276,362.08,526.04,370.13,503,-31.09
49.6778,361.88,560.33,369.73,562,-6.17
49.7279,361.68,607.74,369.64,564,-51.7
49.7781,361.49,674.86,369.82,629,-54.19
49.8282,361.29,772.53,370.26,654,-127.49
49.8783,361.09,915.61,370.97,894,-31.49
49.9285,360.9,1128.66,372.05,1034,-105.81
49.9786,360.7,1475.74,373.59,1403,-85.63
50.0287,360.51,2119.8,375.79,2108,-27.08
50.0789,360.31,3290.13,378.93,3349,40.25
50.129,360.12,4519.07,383.46,4629,86.6
50.1792,359.92,4336.93,390.03,4710,342.96
50.2293,359.73,3731.13,399.95,3688,-83.34
50.2794,359.53,3280.28,416.1,3405,68.15
50.3296,359.34,2380.43,443.14,2402,-62.22
50.3797,359.14,1603.94,479.71,1546,-178.51
50.4298,358.95,1159.7,499.97,1186,-114.72
50.48,358.76,915.18,490.47,921,-125.88
50.5301,358.56,778.53,477.78,876,-21.75
50.5802,358.37,713.18,460.87,789,-26.69
50.6304,358.18,678.66,439.09,770,10.44
50.6805,357.98,610.25,425.24,711,33.48
50.7307,357.79,568.54,421.85,681,48.4
50.7808,357.6,537.47,427.67,638,30.46
50.8309,357.4,495.41,444.12,675,92.86
50.8811,357.21,467.46,476.97,635,47.78
50.9312,357.02,449.48,530.57,606,-17.03
50.9813,356.82,436.51,579.6,593,-66.29
51.0315,356.63,426.5,577.19,640,-7.06
51.0816,356.44,418.44,552.43,640,25.58
51.1318,356.24,411.78,527.56,580,-3.1
51.1819,356.05,406.21,486,572,35.84
51.232,355.86,401.48,445.15,544,53.23
51.2822,355.67,397.43,417.84,510,50.41
51.3323,355.47,393.83,400.22,428,-10.58
51.3824,355.28,390.64,388.31,481,57.33
51.4326,355.09,387.83,380.33,461,47.93
51.4827,354.89,385.34,374.85,370,-35.3
51.5329,354.7,383.13,370.94,384,-15.37
51.583,354.51,381.14,368.04,408,13.34
51.6331,354.31,379.34,365.79,406,15.18
51.6833,354.12,377.71,364.02,380,-7.62
51.7334,353.93,376.23,362.59,420,35.11
51.7835,353.73,374.87,361.4,377,-5.54
51.8337,353.54,373.63,360.41,369,-11.5
51.8838,353.35,372.49,359.58,360,-18.71
51.9339,353.15,371.42,358.87,345,-32.14
51.9841,352.96,370.45,358.29,385,9.22
52.0342,352.77,369.54,357.83,345,-29.6
52.0844,352.57,368.69,357.49,369,-4.61
52.1345,352.38,367.91,357.35,380,7.12
52.1846,352.18,367.17,357.51,364,-8.5
52.2348,351.99,366.49,357.98,358,-14.48
52.2849,351.79,365.84,358.17,402,29.78
52.335,351.6,365.24,357.57,386,14.79
52.3852,351.4,364.67,356.81,358,-12.08
52.4353,351.21,364.14,356.03,387,18.03
52.4855,351.01,363.64,355.04,348,-19.67
52.5356,350.82,363.18,354.15,369,2.49
52.5857,350.62,362.73,353.48,321,-44.59
52.6359,350.42,362.32,352.97,323,-41.87
52.686,350.23,361.94,352.57,382,17.72
52.7361,350.03,361.57,352.2,382,18.25
52.7863,349.83,361.24,351.83,379,15.76
52.8364,349.64,360.93,351.5,342,-20.79
52.8866,349.44,360.64,351.18,382,19.62
52.9367,349.24,360.38,350.88,341,-21.01
52.9868,349.04,360.13,350.59,374,12.31
53.037,348.85,359.93,350.32,334,-27.4
53.0871,348.65,359.74,350.06,344,-17.14
53.1372,348.45,359.57,349.8,384,23.08
53.1874,348.25,359.44,349.54,364,3.27
53.2375,348.05,359.35,349.29,366,5.41
53.2877,347.85,359.3,349.05,345,-15.5
53.3378,347.65,359.31,348.82,342,-18.48
53.3879,347.45,359.39,348.6,345,-15.54
53.4381,347.25,359.58,348.4,360,-0.73
53.4882,347.05,359.95,348.23,364,2.87
53.5383,346.85,360.68,348.02,361,-0.85
53.5885,346.65,362.13,347.76,385,21.76
53.6386,346.45,364.85,347.48,378,12.12
53.6888,346.24,367.26,347.22,406,37.75
53.7389,346.04,366.3,346.97,340,-27.24
53.789,345.84,364.64,346.74,338,-27.54
53.8392,345.64,363.95,346.51,367,2.18
53.8893,345.43,363.98,346.27,375,10.17
53.9394,345.23,364.49,346.05,364,-1.31
53.9896,345.02,365.35,345.82,392,25.85
54.0397,344.82,366.56,345.6,350,-17.34
54.0898,344.62,368.15,345.38,375,6.09
54.14,344.41,370.17,345.15,347,-23.92
54.1901,344.2,372.75,344.93,408,34.52
54.2403,344,376.06,344.71,357,-19.77
54.2904,343.79,380.34,344.49,380,-1.03
54.3405,343.59,385.98,344.27,384,-2.66
54.3907,343.38,393.6,344.05,396,1.74
54.4408,343.17,404.17,343.83,414,9.17
54.4909,342.96,419.26,343.61,442,22.09
54.5411,342.75,441.5,343.39,470,27.86
54.5912,342.55,473.78,343.18,512,37.6
54.6414,342.34,518.52,342.96,531,11.87
54.6915,342.13,587.01,342.74,588,0.39
54.7416,341.92,724.87,342.52,820,94.53
54.7918,341.71,1054.31,342.3,1008,-46.9
54.8419,341.5,1743.48,342.08,1328,-416.05
54.892,341.29,1928.89,341.87,1512,-417.46
54.9422,341.08,1427,341.65,1298,-129.56
54.9923,340.86,1397.15,341.42,1206,-191.71
55.0425,340.65,1283.1,341.21,1101,-182.65
55.0926,340.44,886.49,340.99,899,11.96
55.1427,340.23,683.67,340.78,724,39.79
55.1929,340.01,623.29,340.55,713,89.16
55.243,339.8,668.83,340.34,650,-19.37
55.2931,339.58,857.94,340.12,825,-33.48
55.3433,339.37,962.78,339.91,868,-95.32
55.3934,339.15,773.25,339.69,827,53.21
55.4436,338.94,724.94,339.47,706,-19.47
55.4937,338.72,705.99,339.25,669,-37.52
55.5438,338.51,559.82,339.03,567,6.66
55.594,338.29,466.45,338.81,467,0.04
55.6441,338.07,422.89,338.59,443,19.6
55.6942,337.85,400.02,338.36,387,-13.53
55.7444,337.64,386.35,338.15,405,18.15
55.7945,337.42,377.34,337.93,377,-0.85
55.8446,337.2,370.99,337.71,381,9.51
55.8948,336.98,366.27,337.49,336,-30.78
55.9449,336.76,362.64,337.27,384,20.85
55.9951,336.54,359.75,337.05,357,-3.26
56.0452,336.32,357.41,336.83,377,19.08
56.0953,336.1,355.48,336.61,351,-4.99
56.1455,335.88,353.85,336.39,375,20.64
56.1956,335.65,352.45,336.17,345,-7.97
56.2457,335.43,351.27,335.95,301,-50.79
56.2959,335.21,350.24,335.73,363,12.24
56.346,334.98,349.35,335.51,362,12.12
56.3962,334.76,348.58,335.3,322,-27.12
56.4463,334.54,347.92,335.09,370,21.53
56.4964,334.31,347.35,334.88,365,17.08
56.5466,334.09,346.89,334.69,337,-10.49
56.5967,333.86,346.51,334.52,356,8.82
56.6468,333.64,346.26,334.38,341,-5.99
56.697,333.41,346.12,334.18,360,13.12
56.7471,333.18,346.13,333.91,326,-20.86
56.7973,332.96,346.37,333.64,345,-2.05
56.8474,332.73,346.88,333.39,347,-0.53
56.8975,332.5,347.77,333.15,325,-23.42
56.9477,332.27,349.21,332.92,368,18.15
56.9978,332.04,351.43,332.69,333,-19.08
57.0479,331.81,355.22,332.47,366,10.12
57.0981,331.58,362.36,332.25,350,-13.03
57.1482,331.35,375.77,332.03,344,-32.45
57.1983,331.12,393.66,331.81,392,-2.36
57.2485,330.89,397.29,331.6,407,8.99
57.2986,330.66,387.11,331.39,391,3.15
57.3488,330.43,382.05,331.19,333,-49.81
57.3989,330.2,376,330.99,394,17.21
57.449,329.97,364.18,330.8,371,5.99
57.4992,329.73,354.87,330.62,353,-2.77
57.5493,329.5,349.45,330.45,356,5.59
57.5994,329.27,346.3,330.26,347,-0.29
57.6496,329.03,344.35,330.04,337,-8.36
57.6997,328.8,343.08,329.83,376,31.89
57.7499,328.57,342.22,329.63,339,-4.28
57.8,328.33,341.61,329.44,358,15.27
57.8501,328.1,341.19,329.27,341,-1.36
57.9003,327.86,340.9,329.11,386,43.86
57.9504,327.63,340.71,328.97,365,22.95
58.0005,327.39,340.61,328.84,350,7.95
58.0507,327.15,340.58,328.73,356,13.84
58.1008,326.91,340.62,328.65,367,24.64
58.151,326.68,340.73,328.59,345,2.36
58.2011,326.44,340.9,328.53,346,3.01
58.2512,326.2,341.13,328.52,314,-29.46
58.3014,325.96,341.44,328.58,337,-7.06
58.3515,325.73,341.83,328.75,337,-7.84
58.4016,325.49,342.29,329.02,359,13.18
58.4518,325.25,342.83,329.48,337,-10.06
58.5019,325.01,343.48,330.18,370,21.35
58.5521,324.77,344.24,331.21,379,28.32
58.6022,324.53,345.13,332.76,349,-4.36
58.6523,324.29,346.19,335.2,350,-7.1
58.7025,324.05,347.48,339.33,357,-5.76
58.7526,323.81,349.09,346.27,360,-11.55
58.8027,323.57,350.71,355.54,381,-1.68
58.8529,323.32,352.34,360.63,365,-24.65
58.903,323.08,354.38,357.46,402,13.25
58.9532,322.84,356.85,353.43,354,-33.44
59.0033,322.6,359.81,350.41,405,17.38
59.0534,322.36,363.33,344.84,388,2.2
59.1036,322.11,367.53,338.62,383,-1.04
59.1537,321.87,372.6,334.27,406,20.99
59.2038,321.63,378.77,331.71,371,-17.85
59.254,321.38,386.35,330.32,412,16.7
59.3041,321.14,395.82,329.75,427,22.58
59.3542,320.9,407.8,329.81,430,13.29
59.4044,320.65,423.25,330.47,429,-4.08
59.4545,320.41,443.52,331.82,517,62.08
59.5047,320.16,470.84,334.03,485,0.28
59.5548,319.92,508.27,337.63,480,-45.98
59.6049,319.68,559.93,343.76,579,-5.01
59.6551,319.43,630.81,354.31,662,-3.69
59.7052,319.19,729.48,370.22,772,-8.5
59.7553,318.94,880.75,383.84,965,19.34
59.8055,318.7,1145.58,382.26,1257,47.86
59.8556,318.45,1636.49,373.8,1687,-4.84
59.9058,318.21,2419.37,368.48,2220,-249.64
59.9559,317.96,2938.34,360.45,2699,-281.84
60.006,317.71,2592.38,348.54,2519,-104.22
60.0562,317.47,2236.47,338.7,2170,-87.7
60.1063,317.22,2124.63,332.25,1991,-148.66
60.1564,316.98,1745.5,328.09,1679,-77.6
60.2066,316.73,1243.98,325.25,1244,-8.51
60.2567,316.49,910.25,323.25,933,15.99
60.3069,316.24,719.05,321.77,740,15.43
60.357,315.99,606.27,320.62,596,-14.91
60.4071,315.75,535.96,319.71,523,-16.92
60.4573,315.5,489.93,318.95,517,23.62
60.5074,315.25,456.92,318.3,440,-19.97
60.5575,315.01,431.27,317.74,452,18.01
60.6077,314.76,411.85,317.24,432,17.67
60.6578,314.52,397.24,316.79,459,59.49
60.708,314.27,386.22,316.37,395,6.69
60.7581,314.02,378.39,315.97,363,-17.35
60.8082,313.78,374.03,315.62,361,-14.86
60.8584,313.53,369.06,315.27,381,10.2
60.9085,313.28,362.19,314.94,361,-2.85
60.9586,313.04,358.19,314.63,384,24.22
61.0088,312.79,353.33,314.33,367,12.13
61.0589,312.54,347.88,314.04,380,30.61
61.109,312.3,343.9,313.78,355,9.62
61.1592,312.05,340.83,313.51,354,11.7
61.2093,311.81,338.3,313.27,317,-22.75
61.2595,311.56,336.11,313.03,352,14.42
61.3096,311.32,334.2,312.81,316,-19.68
61.3597,311.07,332.49,312.61,351,16.98
61.4099,310.83,330.96,312.43,343,10.44
61.46,310.58,329.58,312.28,359,27.72
61.5101,310.34,328.32,312.18,368,37.84
61.5603,310.09,327.17,312.12,316,-13.2
61.6104,309.84,326.11,312.14,365,36.59
61.6606,309.6,325.14,312.3,313,-14.84
61.7107,309.36,324.25,312.71,334,6.41
61.7608,309.11,323.41,313.52,328,0.18
61.811,308.87,322.64,314.83,349,20.41
61.8611,308.63,321.92,315.84,319,-10.13
61.9112,308.38,321.24,315.43,295,-33.29
61.9614,308.14,320.61,314.45,315,-11.92
62.0115,307.9,320.02,313.81,328,2.07
62.0617,307.65,319.47,312.98,315,-9.8
62.1118,307.41,318.95,311.76,342,18.7
62.1619,307.17,318.47,310.67,325,3.03
62.2121,306.93,318.02,309.9,322,1.01
62.2622,306.68,317.59,309.37,297,-23.28
62.3123,306.45,317.2,309,318,-1.75
62.3625,306.2,316.83,308.71,331,11.66
62.4126,305.96,316.49,308.49,302,-17.03
62.4627,305.72,316.19,308.34,325,6.19
62.5129,305.48,315.91,308.23,333,14.34
