Baseline,Background,SiO2,Dolomite,Observed,Difference
11.2727,873.29,874.76,873.37,884,9.15
11.3229,869.26,870.74,869.34,863,-7.83
11.373,865.25,866.75,865.33,860,-6.83
11.4231,861.26,862.77,861.34,899,36.15
11.4733,857.29,858.81,857.37,822,-36.89
11.5234,853.33,854.86,853.41,865,10.06
11.5736,849.39,850.93,849.48,877,25.98
11.6237,845.48,847.03,845.57,879,31.89
11.6738,841.58,843.14,841.67,882,38.77
11.724,837.7,839.27,837.79,842,2.63
11.7741,833.85,835.44,833.94,853,17.48
11.8242,830.02,831.62,830.11,837,5.29
11.8744,826.21,827.82,826.3,843,15.09
11.9245,822.42,824.04,822.51,832,7.86
11.9746,818.66,820.3,818.75,865,44.61
12.0248,814.92,816.57,815.01,753,-63.66
12.0749,811.21,812.87,811.3,854,41.04
12.1251,807.52,809.19,807.61,845,35.71
12.1752,803.86,805.55,803.95,830,24.36
12.2253,800.22,801.92,800.31,827,24.99
12.2755,796.61,798.32,796.7,775,-23.42
12.3256,793.03,794.76,793.12,795,0.15
12.3757,789.48,791.22,789.57,800,8.69
12.4259,785.95,787.71,786.04,794,6.2
12.476,782.45,784.22,782.54,804,19.68
12.5262,778.98,780.76,779.07,752,-28.86
12.5763,775.54,777.34,775.63,763,-14.44
12.6264,772.13,773.94,772.22,787,12.96
12.6766,768.75,770.58,768.85,824,53.32
12.7267,765.4,767.24,765.5,812,44.66
12.7768,762.09,763.95,762.19,794,29.96
12.827,758.8,760.68,758.9,784,23.23
12.8771,755.54,757.43,755.64,783,25.47
12.9273,752.32,754.23,752.42,808,53.67
12.9774,749.13,751.05,749.23,773,21.85
13.0275,745.97,747.91,746.07,761,12.99
13.0777,742.85,744.81,742.95,766,21.1
13.1278,739.75,741.73,739.85,665,-76.83
13.1779,736.69,738.68,736.79,719,-19.79
13.2281,733.67,735.68,733.77,743,7.22
13.2782,730.68,732.71,730.78,742,9.19
13.3284,727.72,729.77,727.82,724,-5.87
13.3785,724.79,726.85,724.89,740,13.04
13.4286,721.91,723.99,722.01,758,33.91
13.4788,719.05,721.15,719.15,720,-1.26
13.5289,716.23,718.35,716.34,725,6.54
13.579,713.44,715.58,713.55,709,-6.69
13.6292,710.69,712.85,710.8,730,17.04
13.6793,707.98,710.16,708.09,684,-26.27
13.7294,705.3,707.5,705.41,697,-10.61
13.7796,702.65,704.87,702.76,708,3.01
13.8297,700.04,702.28,700.15,731,28.6
13.8799,697.47,699.74,697.58,681,-18.85
13.93,694.93,697.22,695.04,701,3.67
13.9801,692.43,694.74,692.54,729,34.15
14.0303,689.96,692.29,690.07,764,71.59
14.0804,687.53,689.89,687.64,755,65
14.1305,685.13,687.51,685.24,720,32.38
14.1807,682.77,685.17,682.88,717,31.71
