Sample_ID,pXRF_ID,Formation/Type,Application,Method,ElapsedTime,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P2O5,P2O5 Err,S,S Err,Cl,Cl Err,K2O,K2O Err,CaO,CaO Err,TiO2,TiO2 Err,V,V Err,Cr,Cr Err,MnO,MnO Err,Fe2O3,Fe2O3 Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Cal Check
SP21_BLS_01,24,LJW,GeoChem,DualMining,180,< LOD,0.7861,0.4597,0.196,100,0.7262,0.0463,0.0128,0.0419,0.0081,0.0403,0.015,0.1334,0.0067,0.0628,0.0054,0.0265,0.004,0,0,< LOD,0.0016,< LOD,0.0053,0.1296,0.0053,< LOD,0.0015,< LOD,0.0006,0.0009,0.0004,< LOD,0,0,0,< LOD,0.0003,0,0,0.0052,0.0004,< LOD,0.0003,< LOD,0.0002,0,0,< LOD,0,0,0,0,0,0,0,< LOD,0.0009,0,0,< LOD,0.0116,< LOD,0.0116,< LOD,0.006,< LOD,0.0019,< LOD,0.0057,< LOD,0.0043,< LOD,0.0015,< LOD,0.0007,< LOD,0.003,< LOD,0.0005,< LOD,0.0011,< LOD,0.0001,< LOD,0.0018,< LOD,0.0002,Passed
SP21_BLS_02,25,LJW,GeoChem,DualMining,180,< LOD,0.798,< LOD,0.1849,100,0.6935,0.0387,0.0121,0.0233,0.0078,0.0422,0.0154,0.11,0.0065,0.0384,0.0052,0.0201,0.0039,0,0,< LOD,0.0017,< LOD,0.005,0.1547,0.0057,< LOD,0.0015,< LOD,0.0006,0.0011,0.0004,< LOD,0.0001,0,0,< LOD,0.0003,0,0,0.0046,0.0004,< LOD,0.0003,< LOD,0.0003,0,0,< LOD,0.0001,0,0,0,0,0,0,< LOD,0.0015,0,0,< LOD,0.0119,< LOD,0.0116,< LOD,0.0063,< LOD,0.0019,< LOD,0.0054,< LOD,0.0043,< LOD,0.0014,< LOD,0.0006,< LOD,0.003,< LOD,0.0005,< LOD,0.001,< LOD,0.0004,< LOD,0.0018,< LOD,0.0005,Passed
SP21_BLS_03,26,LJW,GeoChem,DualMining,180,< LOD,0.7962,0.262,0.1911,100,0.715,0.1182,0.0147,0.0346,0.008,0.038,0.0149,0.1088,0.0064,0.1441,0.0063,0.0221,0.0039,0,0,< LOD,0.0016,< LOD,0.0052,0.172,0.006,< LOD,0.0016,< LOD,0.0006,0.0007,0.0004,< LOD,0.0001,0,0,< LOD,0.0003,0,0,0.0118,0.0004,< LOD,0.0004,< LOD,0.0003,0,0,< LOD,0.0001,0,0,0,0,0,0,< LOD,0.0011,0,0,< LOD,0.0112,< LOD,0.0108,< LOD,0.0059,< LOD,0.0019,< LOD,0.0093,< LOD,0.0042,< LOD,0.0014,< LOD,0.0006,< LOD,0.003,< LOD,0.0005,< LOD,0.0011,< LOD,0.0002,< LOD,0.0018,< LOD,0.0003,Passed
SP20_BLS,27,LJW,GeoChem,DualMining,180,< LOD,0.5003,0.4214,0.193,100,0.711,0.035,0.0119,0.0386,0.0081,0.033,0.0151,0.1024,0.0064,0.0227,0.0049,0.0189,0.0039,0,0,< LOD,0.0017,< LOD,0.0051,0.1898,0.0063,< LOD,0.0016,< LOD,0.0006,0.0009,0.0004,< LOD,0.0001,0,0,< LOD,0.0003,0,0,0.0082,0.0004,< LOD,0.0003,< LOD,0.0003,0,0,< LOD,0.0001,0,0,0,0,0,0,< LOD,0.0014,0,0,< LOD,0.0118,< LOD,0.0114,< LOD,0.0063,< LOD,0.0019,< LOD,0.0055,< LOD,0.0042,< LOD,0.0014,0.001,0.0006,< LOD,0.0029,< LOD,0.0005,< LOD,0.0011,< LOD,0.0003,< LOD,0.0018,< LOD,0.0005,Passed
SP13_BLX,28,LJW,GeoChem,DualMining,180,2.1929,0.7851,< LOD,0.1868,43.3048,0.3887,0.3463,0.0221,0.8186,0.0261,28.9979,0.1143,0.0721,0.0052,< LOD,0.009,0.0219,0.004,< LOD,0.0017,< LOD,0.0024,< LOD,0.0045,0.208,0.0071,< LOD,0.0016,< LOD,0.0013,0.0024,0.0008,< LOD,0.0005,0.1415,0.0072,< LOD,0.0004,0.0073,0.0014,0.0117,0.001,< LOD,0.0004,< LOD,0.0016,< LOD,0.0016,< LOD,0.0019,0,0,0.0066,0.0036,< LOD,0.004,< LOD,0.0142,< LOD,0.0138,< LOD,0.0242,< LOD,0.0332,0.0463,0.0108,< LOD,0.0024,< LOD,0.0088,< LOD,0.0054,< LOD,0.0014,< LOD,0.0006,< LOD,0.0039,< LOD,0.0006,< LOD,0.0016,< LOD,0.0063,< LOD,0.0025,< LOD,0.0036,Passed
SP14_BLX_001_01,29,LJW,GeoChem,DualMining,180,< LOD,0.8257,0.231,0.1975,100,0.7469,0.0512,0.0129,0.0845,0.0091,0.6334,0.022,0.1211,0.0068,0.1057,0.0061,0.0223,0.004,0,0,< LOD,0.0016,< LOD,0.0053,0.2031,0.0065,< LOD,0.0017,< LOD,0.0006,0.001,0.0005,< LOD,0,0,0,< LOD,0.0003,0,0,0.0026,0.0003,< LOD,0.0004,0.0004,0.0002,0,0,< LOD,0,0,0,0,0,0,0,< LOD,0.0007,0,0,< LOD,0.0092,< LOD,0.0113,< LOD,0.0059,< LOD,0.0019,< LOD,0.0055,< LOD,0.0043,< LOD,0.0014,0.0009,0.0006,< LOD,0.003,< LOD,0.0006,< LOD,0.0011,0,0,< LOD,0.0018,< LOD,0.0001,Passed
SP14_BLX_001_02,30,LJW,GeoChem,DualMining,180,2.3757,0.7914,< LOD,0.1901,45.1962,0.3978,0.3615,0.0219,0.4177,0.0234,29.6997,0.1154,0.053,0.005,< LOD,0.0069,0.0146,0.0041,< LOD,0.0018,< LOD,0.0026,< LOD,0.0045,0.1331,0.0058,< LOD,0.0015,< LOD,0.0013,0.0013,0.0007,< LOD,0.0005,0.0264,0.0057,< LOD,0.0004,< LOD,0.0013,0.0491,0.0014,< LOD,0.0005,< LOD,0.0017,< LOD,0.0016,< LOD,0.0019,0,0,< LOD,0.0034,< LOD,0.0039,< LOD,0.0139,< LOD,0.013,< LOD,0.0285,< LOD,0.0322,0.0676,0.0116,< LOD,0.0028,< LOD,0.005,< LOD,0.0055,< LOD,0.0013,0.0009,0.0006,< LOD,0.0039,< LOD,0.0007,< LOD,0.0016,< LOD,0.0062,< LOD,0.0026,< LOD,0.0035,Passed
SP14_BLX_002,31,LJW,GeoChem,DualMining,180,< LOD,0.5008,< LOD,0.1807,100,0.6926,0.0563,0.0127,0.074,0.0087,0.4218,0.0195,0.0983,0.0061,0.0696,0.0054,0.0149,0.0037,0,0,< LOD,0.0016,< LOD,0.0051,0.1349,0.0054,< LOD,0.0016,< LOD,0.0006,0.0013,0.0005,< LOD,0.0001,0,0,< LOD,0.0003,0,0,< LOD,0.0003,< LOD,0.0003,0.0006,0.0003,0,0,< LOD,0.0001,0,0,0,0,0,0,< LOD,0.0016,0,0,< LOD,0.0126,< LOD,0.0121,< LOD,0.0059,< LOD,0.0019,< LOD,0.0055,< LOD,0.0041,< LOD,0.0014,< LOD,0.0006,< LOD,0.0029,< LOD,0.0005,< LOD,0.0011,< LOD,0.0004,< LOD,0.0017,< LOD,0.0005,Passed
SP15_PBX_01,32,LJW,GeoChem,DualMining,180,1.8622,0.717,< LOD,0.1863,65.9335,0.493,0.2732,0.0197,0.2781,0.0193,21.7967,0.0983,0.0702,0.0055,< LOD,0.0086,0.0249,0.0042,< LOD,0.0011,< LOD,0.0022,< LOD,0.0048,0.2243,0.0071,< LOD,0.0017,< LOD,0.0011,0.0015,0.0007,< LOD,0.0004,0.0098,0.0032,< LOD,0.0004,0.001,0.0007,0.0183,0.0009,0.0004,0.0004,< LOD,0.0012,< LOD,0.0007,< LOD,0.0012,0,0,0.0015,0.0007,< LOD,0.0024,< LOD,0.0096,< LOD,0.0069,< LOD,0.0233,< LOD,0.0274,0.0107,0.0093,< LOD,0.0026,< LOD,0.0093,< LOD,0.0051,< LOD,0.0014,0.0009,0.0006,< LOD,0.0036,< LOD,0.0006,< LOD,0.0014,< LOD,0.0039,< LOD,0.0023,< LOD,0.0019,Passed
SP15_PBX_02,33,LJW,GeoChem,DualMining,180,1.4327,0.9273,< LOD,0.1834,88.961,0.6012,0.0888,0.0153,0.1372,0.013,6.9854,0.0567,0.1262,0.0067,0.0977,0.0074,0.0337,0.0041,0.0007,0.0004,< LOD,0.0019,< LOD,0.005,0.2656,0.0075,< LOD,0.0018,< LOD,0.0008,0.0011,0.0005,< LOD,0.0002,0.0054,0.0007,< LOD,0.0003,0.0003,0.0001,0.0087,0.0005,< LOD,0.0004,< LOD,0.0006,0,0,0.0006,0.0005,0,0,0,0,< LOD,0.0006,< LOD,0.0044,0,0,< LOD,0.0155,< LOD,0.0142,< LOD,0.0073,< LOD,0.0021,< LOD,0.0053,< LOD,0.0044,< LOD,0.0014,< LOD,0.0006,< LOD,0.0031,< LOD,0.0005,< LOD,0.0012,< LOD,0.0017,< LOD,0.0019,< LOD,0.001,Passed
