Site,Level,Area,LOT,UNIT,ID,RawMaterial,QuartzQuality,Class,CorePreparProd,RetouchedPieceBlank,PieceCompleteness,Cortex,CortexLocation,CortexType,PlatformType,PlatformCortex,Lipping,BlankShape,CrossSection,BlankTip,Profile,ScarCount,ScarPattern,Thickness,MaxWidth,ProxWidth,MedWidth,DistWidth,Length,PlatformThickness,PlatformWidth,ExteriorPlatformAngle,Weight,CoreType,CoreCrossSection,NumberCoreFaces,CorePlatform,CoreDistalTreatment,CoreLeftTreatment,CoreRightTreatment,CoreBackTreatment,MainFaceCortex,MainFaceScarCount,MainFaceScarDirection,MainFaceArisOrientation,MainFaceScarLength,MainFaceScarMaxWidth,MainFaceScarProxWidth,MainFaceScarMedWidth,MainFaceScarDistWidth,MainFacePlatformAngle,MainFaceCoreUse,DistalFaceCortex,DistalFaceScarCount,DistalFaceScarDirection,DistalFaceArisOrientation,DistalFaceCoreUse,LeftFaceCortex,LeftFaceScarCount,LeftFaceScarDirection,LeftFaceArisOrientation,LeftFaceCoreUse,RightFaceCortex,RightFaceScarCount,RightFaceScarDirection,RightFaceArisOrientation,RightFaceCoreUse,BackFaceCortex,BackFaceScarCount,BackFaceScarDirection,BackFaceArisOrientation,BackFaceCoreUse,CoreAbandon,Alteration,Fire,EdgeDamage,RetouchedPieceTypology,ChipQuantity,OtherNotes
VB,,T,LOT-257,I18,3235,Chert,,Blank,,,,1-30%,Proximal,Indeterminate,Plain,YesComplete,No,Convergent,Triangular,Feather,Straight,4,Bidirectional,7.53,14.23,10.9,15.22,6.66,21.6,2.95,10.65,137.5,1.5,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Concretion,,Yes,,0,
VB,,T,LOT-257,I18,2819,Quartz,Medium,Blank,,,,100%,,Cobble,Plain,YesPartial,No,Convergent,Irregular,Feather,Straight,0,None,9.89,26.37,18.03,26.11,15.94,25.87,9.01,14.7,75.4,7.7,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Concretion,,No,,0,
VB,,T,LOT-257,I18,3268,Quartz,Medium,Blank,,,,0%,,,Plain,No,Yes,Irregular,Irregular,Hinge,Straight,1,Unidirectional,5.01,23.43,14.06,18.1,8.72,19.3,4.64,11.69,95,2.3,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Concretion,,No,,0,
VB,,T,LOT-257,I18,3263,Quartz,Fine,Blank,,,,0%,,,Crushed,No,No,Irregular,Irregular,Pointed,Straight,2,Unidirectional,8.57,17.32,9.12,17.12,5.01,28.61,4.04,8.22,111.8,4.1,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
VB,,T,LOT-257,I18,2789,Chert,,Blank,,,,1-30%,RightLateral,Cobble,Plain,YesComplete,No,Irregular,Irregular,Step,Straight,1,Unidirectional,8.76,47.79,37.36,48.4,6.71,33.3,6.45,18.92,82.6,19.1,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
VB,,T,LOT-257,I18,3087,Quartz,Medium,Blank,,,,0%,,,Plain,No,No,Irregular,Irregular,Feather,Straight,1,Unidirectional,10.8,22.82,19.47,23.05,14.84,20.29,9.62,19.69,98.8,5.8,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
VB,,T,LOT-257,I18,3182,Chert,,RetouchedPiece,,Blank,,0%,,,Plain,No,No,Irregular,Trapezoidal,Feather,Straight,4,Unidirectional,5.05,16.94,3.46,12.2,10.25,26.29,2.27,4.59,96,1.5,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,Retouched flake,0,
VB,,T,LOT-321,I18,2997,Quartz,Fine,Blank,,,,100%,,Cobble,Crushed,No,Yes,Circular,Other,Feather,Straight,0,None,7.62,27.79,21.01,25.03,16.89,20.1,4.89,4.35,90.5,5,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Concretion,,Yes,,0,
VB,,T,LOT-321,I18,3083,Chert,Medium,Blank,,,,1-30%,Distal,Indeterminate,Plain,No,No,Irregular,Triangular,Step,Irregular,4,Bidirectional,8.06,17.76,8.73,14.95,19.2,36.97,5.24,5.56,81.7,4.3,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,Yes,,0,
VB,,T,LOT-321,I18,2984,Chert,,Blank,,,,0%,,,Crushed,No,No,Irregular,Trapezoidal,Overshoot,Curved,7,Unidirectional,5.81,21.8,10.16,19.78,14.11,20.1,2.64,10.19,92,2.2,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,Yes,,0,
