ID,CLASS,COREPREPARPROD,PIECECOMPLETENESS,CORTEX,CORTEXLOCATION,PLATFORMTYPE,PLATFORMCORTEX,SCARCOUNT,THICKNESS,MAXWIDTH,LENGTH,COREPLATFORM,MAINFACECORTEX,MAINFACESCARCOUNT,COREABANDON,RETOUCHEDPIECETYPOLOGY
J18-381,Shatter,,,0%,,,,,,,,,,,,
J18-384,ElongBlankFrag,,Distal,0%,,,,2,1.95,5.63,,,,,,
J18-385,BurinSpall,,,0%,,,,3,5.33,,,,,,,
J18-387,ElongBlankFrag,,Distal,0%,,,,3,4.6,12,,,,,,
J18-388,RetouchedPiece,,,1-30%,Distal,Crushed,No,4,11.54,48.16,34.19,,,,,Splintered piece
J18-389,RetouchedPiece,,,61-99%,RightLateral,Plain,YesPartial,6,14.78,28.57,46.67,,,,,Retouched flake
J18-391,Flake,,,31-60%,LeftLateral,Plain,YesPartial,2,3.8,14.31,20.48,,,,,
J18-394,RetouchedPiece,,,0%,,Removed,,1,3.21,14.78,22.23,,,,,Retouched flake
J18-412,Flake,,,0%,,Plain,No,5,2.7,15.9,14.9,,,,,
J18-415,Shatter,,,1-30%,,,,,,,,,,,,
J18-420,CorePreparProd,CoreFront,,0%,,Plain,No,6,9.14,37.3,30.85,,,,,
J18-4313,Flake,,,1-30%,LeftLateral,Plain,YesPartial,2,5.2,16.9,15.7,,,,,
J18-47,Flake,,,0%,,Cortical,YesComplete,7,15,20.6,19.6,,,,,
J18-52,RetouchedPiece,,,0%,,Crushed,No,6,13.37,28.88,36.91,,,,,Burin
J18-53,RetouchedPiece,,,0%,,Crushed,No,4,4.1,13.76,27.77,,,,,Splintered piece
J18-57,Shatter,,,0%,,,,,,,,,,,,
J18-586,Flake,,,0%,,Plain,No,5,4.62,13.82,15.38,,,,,
J18-62,Shatter,,,0%,,,,,,,,,,,,
J18-63,ElongBlank,,,1-30%,Proximal,Cortical,YesComplete,3,4.66,9.5,27.43,,,,,
J18-68,FlakeFrag,,Proximal,1-30%,RightLateral,Plain,No,3,7.9,21.3,,,,,,
J18-72,RetouchedPiece,,,1-30%,DistalLeftLat,Plain,No,4,4.8,15.3,28.3,,,,,Retouched flake
J18-73,RetouchedPiece,,,0%,,Removed,,3,5.3,7.3,25.8,,,,,Retouched bladelet
J18-74,ElongBlankFrag,,Mesial,1-30%,Distal,,,3,5.1,11.4,,,,,,
J18-78,Flake,,,1-30%,RightLateral,Other,YesPartial,5,13.5,23,35.6,,,,,
J18-81,RetouchedPiece,,,1-30%,Distal,Other,No,5,12.39,19.28,35.56,,,,,Endscrapper
J18-816,RetouchedPiece,,,0%,,Plain,No,4,8.22,15.39,20.18,,,,,Burin
J18-821,Core,,,0%,,,,,16.5,29,34.3,Plain,0%,7,NaturalImperfection,
J18-83,Flake,,,0%,,Dihedral,No,3,6.68,14.56,20.64,,,,,
J18-869,Shatter,,,0%,,,,,,,,,,,,
J18-878,Shatter,,,0%,,,,,,,,,,,,
J18-884,Flake,,,31-60%,Distal,Crushed,YesComplete,4,6.05,25.97,30.7,,,,,
J18-886,Flake,,,0%,,Dihedral,No,2,3.38,20.6,9.18,,,,,
J18-889,FlakeFrag,,Other,1-30%,LeftLateral,,,3,2.9,24.2,,,,,,
J18-981,RetouchedPiece,,,1-30%,RightLateral,Crushed,No,4,10.23,23.8,22.08,,,,,Splintered piece
J18-984,FlakeFrag,,Mesial,0%,,,,2,2,15.8,,,,,,
J19-1,RetouchedPieceFrag,,Proximal,0%,,Crushed,No,3,4.57,23.41,,,,,,Splintered piece fragment
J19-17,RetouchedPiece,,,0%,,Plain,No,9,7.9,19.8,29.6,,,,,Multiple burin
J19-177,RetouchedPiece,,,0%,,Plain,No,6,5.7,19.3,22,,,,,Retouched flake
J19-187,Flake,,,1-30%,LeftLateral,Plain,No,3,6.2,19.3,21.2,,,,,
J19-19,CoreFrag,,,31-60%,,Cortical,YesPartial,2,15,0,0,,,,,
J19-196,BurinSpall,,,0%,,,,3,9.47,,,,,,,
J19-197,Shatter,,,61-99%,,,,,,,,,,,,
J19-205,FlakeFrag,,Distal,0%,,,,5,4.71,16.8,,,,,,
J19-220,Shatter,,,31-60%,,,,,,,,,,,,
J19-259,Shatter,,,0%,,,,,,,,,,,,
J19-260,FlakeFrag,,Distal,0%,,,,5,12.53,20.71,,,,,,
J19-261,RetouchedPiece,,,0%,,Removed,,2,5.21,14.09,21.85,,,,,Endscrapper-burin
J19-263,Shatter,,,31-60%,,,,,,,,,,,,
J19-269,FlakeFrag,,Distal,0%,,,,7,8.51,16.19,,,,,,
J19-278,Core,,,1-30%,,,,,18.48,31.75,27.93,Faceted,0%,4,NoReason,
J19-29,Shatter,,,31-60%,,,,,,,,,,,,
J19-293,Shatter,,,0%,,,,,,,,,,,,
J19-30,Flake,,,0%,,Plain,No,4,6.12,30.08,43.93,,,,,
J19-300,Flake,,,1-30%,RightLateral,Crushed,No,3,5.79,26.74,32.44,,,,,
J19-313,Shatter,,,0%,,,,,,,,,,,,
J19-317,FlakeFrag,,Siret,1-30%,Distal,,,3,4.02,23.11,,,,,,
J19-329,RetouchedPiece,,,0%,,Dihedral,No,8,14.3,32.1,26.9,,,,,Burin on truncation
J19-369,ElongBlankFrag,,Proximal,0%,,Other,No,3,3.5,12.3,,,,,,
J19-39,Shatter,,,31-60%,,,,,,,,,,,,
J19-4,BurinSpall,,,1-30%,Proximal,,,4,6.9,,,,,,,
J19-56,FlakeFrag,,Siret,31-60%,RightLateral,,,1,2.9,17.6,,,,,,
J19-7,FlakeFrag,,Proximal,31-60%,LeftLateral,Plain,,1,4.54,12.2,0,,,,,
J20-101,Shatter,,,0%,,,,0,0,0,0,,,,,
J20-22,Flake,,,0%,,Plain,No,4,3.3,16,19,,,,,
J20-24,ElongBlank,,,1-30%,Proximal,Plain,YesComplete,3,2.2,10.2,26.1,,,,,
J20-30,Shatter,,,1-30%,,,,,,,,,,,,
J20-38,FlakeFrag,,Proximal,0%,,Crushed,No,3,8.81,27.81,,,,,,
J20-44,Shatter,,,0%,,,,,,,,,,,,
J20-6,Flake,,,31-60%,RightLateral,Plain,No,1,5.8,17.8,21.7,,,,,
J20-92,ElongBlankFrag,,Distal,31-60%,Distal,,,3,3.25,8.4,,,,,,
J20-97,BurinSpall,,,0%,,,,2,5.27,,,,,,,
J20-98,Flake,,,0%,,Linear,No,4,3.24,13.43,22.14,,,,,
J21-1,Shatter,,,1-30%,,,,,,,,,,,,
J21-11,RetouchedPieceFrag,,Other,0%,,,,4,7.09,12.21,,,,,,Retouched piece fragment
J21-12,Flake,,,1-30%,RightLateral,Plain,No,2,4.1,15.1,9.4,,,,,
J21-15,FlakeFrag,,Distal,0%,,,,4,4.8,13,,,,,,
J21-21,RetouchedPiece,,,0%,,Plain,No,8,11.6,21.8,34.6,,,,,Splintered piece with lateral retouch
J21-5,Flake,,,0%,,Cortical,YesComplete,2,4.4,16.6,13.3,,,,,
J21-57,ElongBlank,,,0%,,Linear,No,4,2.88,7.38,21.61,,,,,
J21-63,FlakeFrag,,Distal,1-30%,Distal,,,6,6,14,,,,,,
J21-8,RetouchedPiece,,,0%,,Plain,No,6,4.24,10.15,19.83,,,,,Notch
J21-82,CoreFrag,,,1-30%,Proximal,,,4,6.65,,,,,,,
K18-100,Shatter,,,0%,,,,,,,,,,,,
K18-104,FlakeFrag,,Distal,31-60%,Distal,,,3,3.11,17.99,,,,,,
K18-109,ElongBlankFrag,,Proximal,0%,,Plain,No,3,4.34,10.95,,,,,,
K18-111,FlakeFrag,,Distal,1-30%,LeftLateral,,,2,6.4,17,,,,,,
K18-138,CoreFrag,,,1-30%,Distal,,,4,15.1,,,,,,,
K18-149,FlakeFrag,,Distal,0%,,,,4,4.5,13.2,,,,,,
K18-155,Shatter,,,0%,,,,,,,,,,,,
K18-161,RetouchedPiece,,,0%,,Plain,No,4,4.1,22.96,19.51,,,,,Burin
K18-162,RetouchedPiece,,,0%,,Removed,,2,3.64,4.48,28.81,,,,,Backed bladelet
K18-165,RetouchedPiece,,,0%,,Plain,No,4,8.4,20.1,26.6,,,,,Retouched flake
K18-255,BurinSpall,,,31-60%,Mesial,,,3,7.22,,,,,,,
K18-259,Flake,,,0%,,Plain,No,4,2.55,12.63,17.54,,,,,
K18-267,CoreFrag,,,31-60%,Distal,,,4,19.49,,,,,,,
K18-64,FlakeFrag,,Distal,1-30%,Distal,,,3,1.96,15.13,,,,,,
K18-83,FlakeFrag,,Proximal,0%,,Crushed,No,2,2.31,16.36,,,,,,
K18-85,Flake,,,0%,,Plain,No,4,5.5,13.7,20.5,,,,,
K18-87,BurinSpall,,,31-60%,RightLateral,,,1,7.6,,,,,,,
K18-92,Shatter,,,31-60%,,,,,,,,,,,,
K19-122,FlakeFrag,,Other,0%,,,,1,3,19.5,,,,,,
K19-126,RetouchedPiece,,,1-30%,Proximal,Cortical,YesComplete,4,10.15,9.8,29.84,,,,,Burin
K19-14,FlakeFrag,,Proximal,0%,,Winged,No,1,2.42,18.19,,,,,,
K19-38,RetouchedPiece,,,1-30%,Distal,Plain,No,4,8.07,27.43,27.41,,,,,Retouched flake
K19-81,ElongBlankFrag,,Distal,0%,,,,3,2.97,37.93,,,,,,
K19-9,RetouchedPiece,,,31-60%,Mesial,Other,No,1,14.28,29.73,41.58,,,,,Endscrapper
