Angle,Observed,Calculated,Background,Quartz_nb,Quartz
4.0028,1969,2067.79,2067.09,0.7,2067.79
4.053,1974,2016.32,2015.61,0.71,2016.32
4.1031,2005,1974.24,1973.53,0.71,1974.24
4.1533,1898,1939.77,1939.05,0.72,1939.77
4.2034,1950,1911.42,1910.7,0.72,1911.42
4.2535,1940,1887.96,1887.23,0.73,1887.96
4.3037,1858,1868.33,1867.6,0.73,1868.33
4.3538,1916,1851.7,1850.96,0.74,1851.7
4.4039,1923,1837.33,1836.59,0.74,1837.33
4.4541,1911,1824.66,1823.91,0.74,1824.65
4.5042,1898,1813.2,1812.45,0.75,1813.2
4.5544,1771,1802.57,1801.82,0.75,1802.57
4.6045,1838,1792.47,1791.71,0.76,1792.47
4.6546,1849,1782.65,1781.89,0.76,1782.65
4.7048,1794,1772.93,1772.16,0.77,1772.93
4.7549,1749,1763.16,1762.39,0.77,1763.16
4.805,1706,1753.23,1752.46,0.78,1753.24
4.8552,1716,1743.08,1742.3,0.78,1743.08
4.9053,1726,1732.65,1731.87,0.78,1732.65
4.9554,1686,1721.92,1721.13,0.79,1721.92
5.0056,1674,1710.86,1710.07,0.79,1710.86
5.0557,1688,1699.49,1698.69,0.8,1699.49
5.1059,1724,1687.81,1687.01,0.8,1687.81
5.156,1576,1675.85,1675.04,0.81,1675.85
5.2061,1572,1663.62,1662.81,0.81,1663.62
5.2563,1553,1651.16,1650.34,0.82,1651.16
5.3064,1611,1638.5,1637.68,0.82,1638.5
5.3565,1566,1625.68,1624.85,0.83,1625.68
5.4067,1554,1612.72,1611.89,0.83,1612.72
5.4568,1587,1599.68,1598.84,0.84,1599.68
5.507,1512,1586.57,1585.73,0.84,1586.57
5.5571,1558,1573.43,1572.59,0.85,1573.44
5.6072,1481,1560.3,1559.45,0.85,1560.3
5.6574,1518,1547.21,1546.35,0.86,1547.21
5.7075,1562,1534.18,1533.32,0.86,1534.18
5.7576,1547,1521.24,1520.37,0.86,1521.23
5.8078,1597,1508.41,1507.54,0.87,1508.41
5.8579,1531,1495.73,1494.86,0.87,1495.73
5.9081,1484,1483.21,1482.33,0.88,1483.21
5.9582,1420,1470.86,1469.97,0.88,1470.85
6.0083,1471,1458.7,1457.81,0.89,1458.7
6.0585,1484,1446.76,1445.86,0.9,1446.76
6.1086,1455,1435.03,1434.13,0.9,1435.03
6.1587,1490,1423.53,1422.63,0.91,1423.54
6.2089,1416,1412.27,1411.36,0.91,1412.27
6.259,1396,1401.26,1400.34,0.92,1401.26
6.3092,1446,1390.5,1389.57,0.92,1390.49
6.3593,1377,1379.99,1379.06,0.93,1379.99
6.4094,1434,1369.74,1368.8,0.93,1369.73
6.4596,1417,1359.74,1358.81,0.94,1359.75
6.5097,1365,1350.01,1349.07,0.94,1350.01
6.5598,1371,1340.53,1339.58,0.95,1340.53
6.61,1371,1331.31,1330.36,0.95,1331.31
6.6601,1337,1322.34,1321.38,0.96,1322.34
6.7102,1357,1313.62,1312.66,0.96,1313.62
6.7604,1330,1305.15,1304.18,0.97,1305.15
6.8105,1287,1296.91,1295.94,0.98,1296.92
6.8607,1360,1288.92,1287.93,0.98,1288.91
6.9108,1260,1281.15,1280.16,0.99,1281.15
6.9609,1341,1273.6,1272.61,0.99,1273.6
7.0111,1306,1266.27,1265.27,1,1266.27
7.0612,1309,1259.15,1258.14,1,1259.14
7.1113,1266,1252.23,1251.22,1.01,1252.23
7.1615,1274,1245.51,1244.49,1.02,1245.51
7.2116,1317,1238.97,1237.95,1.02,1238.97
7.2618,1212,1232.61,1231.59,1.03,1232.62
7.3119,1206,1226.43,1225.4,1.03,1226.43
7.362,1239,1220.41,1219.37,1.04,1220.41
7.4122,1242,1214.55,1213.5,1.05,1214.55
7.4623,1197,1208.84,1207.79,1.05,1208.84
7.5124,1229,1203.27,1202.21,1.06,1203.27
7.5626,1163,1197.84,1196.77,1.06,1197.83
7.6127,1204,1192.53,1191.46,1.07,1192.53
7.6629,1180,1187.34,1186.27,1.08,1187.35
