Angle,Observed,Calculated,Background,Dolomite_nb,Quartz_nb,Dolomite,Quartz
4.0233,2083,2164.36,2163.37,0.01,0.98,2163.38,2164.35
4.0745,2080,2113.72,2112.72,0.01,0.99,2112.73,2113.71
4.1256,2089,2073.63,2072.62,0.01,0.99,2072.63,2073.61
4.1768,2026,2041.98,2040.97,0.01,1,2040.98,2041.97
4.228,2014,2017.01,2015.99,0.01,1,2016,2016.99
4.2791,1989,1997.23,1996.2,0.01,1.01,1996.21,1997.21
4.3303,2105,1981.44,1980.41,0.01,1.02,1980.42,1981.43
4.3814,2070,1968.64,1967.6,0.01,1.02,1967.61,1968.62
4.4326,2051,1958.02,1956.97,0.01,1.03,1956.98,1958
4.4838,1988,1948.91,1947.86,0.01,1.04,1947.87,1948.9
4.5349,1911,1940.79,1939.74,0.01,1.04,1939.75,1940.78
4.5861,1921,1933.24,1932.18,0.01,1.05,1932.19,1933.23
4.6373,2009,1925.93,1924.86,0.01,1.05,1924.87,1925.91
4.6884,1925,1918.59,1917.52,0.01,1.06,1917.53,1918.58
4.7396,1874,1911.05,1909.97,0.01,1.07,1909.98,1911.04
4.7907,1892,1903.15,1902.06,0.01,1.07,1902.07,1903.13
4.8419,1844,1894.81,1893.72,0.01,1.08,1893.73,1894.8
4.8931,1889,1885.96,1884.86,0.01,1.09,1884.87,1885.95
4.9442,1814,1876.57,1875.46,0.01,1.09,1875.47,1876.55
4.9954,1880,1866.62,1865.51,0.02,1.1,1865.53,1866.61
5.0465,1746,1856.13,1855.01,0.02,1.1,1855.03,1856.11
5.0977,1843,1845.1,1843.98,0.02,1.11,1844,1845.09
5.1489,1826,1833.59,1832.45,0.02,1.12,1832.47,1833.57
5.2,1836,1821.61,1820.47,0.02,1.12,1820.49,1821.59
5.2512,1740,1809.21,1808.07,0.02,1.13,1808.09,1809.2
5.3023,1766,1796.45,1795.3,0.02,1.14,1795.32,1796.44
5.3535,1784,1783.37,1782.22,0.02,1.14,1782.24,1783.36
5.4047,1778,1770.03,1768.86,0.02,1.15,1768.88,1770.01
5.4558,1658,1756.46,1755.29,0.02,1.16,1755.31,1756.45
5.507,1678,1742.73,1741.55,0.02,1.16,1741.57,1742.71
5.5582,1757,1728.87,1727.69,0.02,1.17,1727.71,1728.86
5.6093,1640,1714.94,1713.75,0.02,1.18,1713.77,1714.93
5.6605,1708,1700.98,1699.78,0.02,1.18,1699.8,1700.96
5.7116,1699,1687.02,1685.81,0.02,1.19,1685.83,1687
5.7628,1728,1673.1,1671.89,0.02,1.2,1671.91,1673.09
5.814,1613,1659.26,1658.04,0.02,1.2,1658.06,1659.24
5.8651,1592,1645.53,1644.3,0.02,1.21,1644.32,1645.51
5.9163,1595,1631.94,1630.7,0.02,1.22,1630.72,1631.92
5.9674,1663,1618.5,1617.26,0.02,1.22,1617.28,1618.48
6.0186,1657,1605.26,1604.01,0.02,1.23,1604.03,1605.24
6.0698,1625,1592.21,1590.96,0.02,1.24,1590.98,1592.2
6.1209,1582,1579.39,1578.12,0.02,1.25,1578.14,1579.37
6.1721,1581,1566.8,1565.53,0.02,1.25,1565.55,1566.78
6.2232,1492,1554.46,1553.18,0.02,1.26,1553.2,1554.44
6.2744,1552,1542.37,1541.09,0.02,1.27,1541.11,1542.36
6.3256,1605,1530.55,1529.26,0.02,1.27,1529.28,1530.53
6.3767,1641,1519,1517.7,0.02,1.28,1517.72,1518.98
6.4279,1522,1507.72,1506.42,0.02,1.29,1506.44,1507.71
6.4791,1536,1496.72,1495.41,0.02,1.3,1495.43,1496.71
6.5302,1548,1486,1484.68,0.02,1.3,1484.7,1485.98
6.5814,1518,1475.56,1474.23,0.02,1.31,1474.25,1475.54
