Angle,Observed,Calculated,Background,Dolomite_nb,Quartz_nb,Dolomite,Quartz
18.9437,679,661.87,637.4,0.04,24.42,637.44,661.82
18.9938,642,660.01,637.68,0.04,22.29,637.72,659.97
19.044,640,659.6,637.97,0.04,21.59,638.01,659.56
19.0941,632,659.88,638.27,0.04,21.56,638.31,659.83
19.1443,652,660.54,638.58,0.04,21.92,638.62,660.5
19.1944,701,661.46,638.89,0.04,22.53,638.93,661.42
19.2445,717,662.58,639.21,0.05,23.32,639.26,662.53
19.2947,723,663.87,639.53,0.05,24.29,639.58,663.82
19.3448,740,665.32,639.86,0.05,25.41,639.91,665.27
19.3949,723,666.94,640.2,0.05,26.69,640.25,666.89
19.4451,768,668.71,640.54,0.05,28.12,640.59,668.66
19.4952,716,670.68,640.89,0.05,29.74,640.94,670.63
19.5454,720,672.86,641.24,0.05,31.57,641.29,672.81
19.5955,719,675.28,641.6,0.05,33.63,641.65,675.23
19.6456,747,677.97,641.96,0.05,35.95,642.01,677.91
19.6958,795,680.96,642.32,0.05,38.58,642.37,680.9
19.7459,783,684.32,642.69,0.05,41.57,642.74,684.26
19.796,835,688.11,643.06,0.06,44.99,643.12,688.05
19.8462,801,692.43,643.44,0.07,48.92,643.51,692.36
19.8963,863,697.36,643.82,0.09,53.46,643.91,697.28
19.9465,865,703.03,644.2,0.08,58.76,644.28,702.96
19.9966,907,709.64,644.58,0.07,64.99,644.65,709.57
20.0467,911,717.41,644.96,0.06,72.39,645.02,717.35
20.0969,857,726.57,645.35,0.06,81.16,645.41,726.51
20.147,939,737.7,645.73,0.06,91.91,645.79,737.64
20.1971,962,751.32,646.12,0.06,105.14,646.18,751.26
20.2473,958,768.26,646.51,0.06,121.69,646.57,768.2
20.2974,948,789.73,646.9,0.07,142.77,646.97,789.67
20.3476,967,817.55,647.28,0.07,170.2,647.35,817.48
20.3977,1041,854.58,647.67,0.07,206.84,647.74,854.51
20.4478,1105,905.46,648.06,0.07,257.33,648.13,905.39
20.498,1146,978.14,648.45,0.07,329.62,648.52,978.07
20.5481,1369,1087.2,648.84,0.07,438.29,648.91,1087.13
20.5982,1557,1261.42,649.22,0.08,612.12,649.3,1261.34
20.6484,1892,1562.79,649.61,0.08,913.1,649.69,1562.71
20.6985,2525,2135.6,649.99,0.08,1485.52,650.07,2135.51
20.7486,3795,3320.22,650.37,0.09,2669.76,650.46,3320.13
20.7988,6384,5732.81,650.75,0.09,5081.97,650.84,5732.72
20.8489,9482,8823.66,651.13,0.09,8172.44,651.22,8823.57
20.8991,8491,8239.6,651.51,0.1,7587.99,651.61,8239.5
20.9492,5354,5176.81,651.88,0.1,4524.82,651.98,5176.7
20.9993,2972,2946.71,652.25,0.11,2294.35,652.36,2946.6
21.0495,2028,1937.07,652.62,0.11,1284.34,652.73,1936.96
21.0996,1536,1461.2,652.98,0.12,808.1,653.1,1461.08
21.1497,1322,1207.4,653.35,0.13,553.93,653.48,1207.28
