Angle,Observed,Calculated,Background,Quartz_nb,Quartz
4.0028,1858,1930.51,1929.63,0.88,1930.51
4.053,1781,1870.22,1869.33,0.88,1870.21
4.1031,1853,1822.05,1821.15,0.89,1822.04
4.1533,1837,1783.67,1782.78,0.9,1783.68
4.2034,1748,1753.18,1752.28,0.9,1753.18
4.2535,1738,1728.93,1728.03,0.91,1728.94
4.3037,1767,1709.6,1708.69,0.91,1709.6
4.3538,1719,1694.07,1693.15,0.92,1694.07
4.4039,1732,1681.42,1680.49,0.92,1681.41
4.4541,1745,1670.9,1669.97,0.93,1670.9
4.5042,1714,1661.89,1660.96,0.93,1661.89
4.5544,1695,1653.92,1652.98,0.94,1653.92
4.6045,1745,1646.58,1645.63,0.95,1646.58
4.6546,1713,1639.56,1638.61,0.95,1639.56
4.7048,1558,1632.63,1631.67,0.96,1632.63
4.7549,1542,1625.59,1624.63,0.96,1625.59
4.805,1593,1618.32,1617.35,0.97,1618.32
4.8552,1638,1610.72,1609.75,0.97,1610.72
4.9053,1594,1602.74,1601.76,0.98,1602.74
4.9554,1573,1594.32,1593.34,0.98,1594.32
5.0056,1456,1585.46,1584.47,0.99,1585.46
5.0557,1629,1576.17,1575.17,1,1576.17
5.1059,1457,1566.45,1565.45,1,1566.45
5.156,1543,1556.33,1555.32,1.01,1556.33
5.2061,1533,1545.84,1544.82,1.01,1545.83
5.2563,1434,1535.02,1534,1.02,1535.02
5.3064,1458,1523.91,1522.89,1.02,1523.91
5.3565,1472,1512.56,1511.53,1.03,1512.56
5.4067,1458,1501,1499.97,1.04,1501.01
5.4568,1431,1489.29,1488.25,1.04,1489.29
5.507,1440,1477.47,1476.42,1.05,1477.47
5.5571,1470,1465.57,1464.52,1.05,1465.57
5.6072,1452,1453.64,1452.58,1.06,1453.64
5.6574,1446,1441.72,1440.65,1.07,1441.72
5.7075,1444,1429.84,1428.76,1.07,1429.83
5.7576,1481,1418.03,1416.95,1.08,1418.03
5.8078,1465,1406.33,1405.24,1.08,1406.32
5.8579,1427,1394.76,1393.67,1.09,1394.76
5.9081,1393,1383.35,1382.25,1.1,1383.35
5.9582,1395,1372.12,1371.02,1.1,1372.12
6.0083,1337,1361.09,1359.98,1.11,1361.09
6.0585,1333,1350.27,1349.16,1.11,1350.27
6.1086,1405,1339.68,1338.56,1.12,1339.68
6.1587,1362,1329.34,1328.22,1.13,1329.35
6.2089,1304,1319.25,1318.12,1.13,1319.25
6.259,1313,1309.43,1308.29,1.14,1309.43
6.3092,1330,1299.86,1298.72,1.15,1299.87
6.3593,1341,1290.57,1289.42,1.15,1290.57
6.4094,1316,1281.56,1280.4,1.16,1281.56
6.4596,1256,1272.82,1271.65,1.17,1272.82
6.5097,1286,1264.35,1263.18,1.17,1264.35
6.5598,1307,1256.16,1254.98,1.18,1256.16
6.61,1239,1248.24,1247.05,1.19,1248.24
6.6601,1345,1240.59,1239.39,1.19,1240.58
6.7102,1187,1233.19,1231.99,1.2,1233.19
6.7604,1263,1226.06,1224.85,1.21,1226.06
6.8105,1259,1219.17,1217.96,1.21,1219.17
6.8607,1285,1212.53,1211.31,1.22,1212.53
6.9108,1239,1206.13,1204.9,1.23,1206.13
6.9609,1279,1199.95,1198.72,1.23,1199.95
7.0111,1228,1194,1192.75,1.24,1193.99
7.0612,1223,1188.25,1187,1.25,1188.25
7.1113,1192,1182.71,1181.46,1.26,1182.72
7.1615,1204,1177.37,1176.1,1.26,1177.36
7.2116,1175,1172.21,1170.94,1.27,1172.21
7.2618,1157,1167.22,1165.94,1.28,1167.22
7.3119,1173,1162.41,1161.12,1.29,1162.41
7.362,1148,1157.75,1156.45,1.29,1157.74
7.4122,1198,1153.24,1151.94,1.3,1153.24
7.4623,1149,1148.87,1147.56,1.31,1148.87
7.5124,1133,1144.63,1143.32,1.32,1144.64
7.5626,1100,1140.52,1139.19,1.32,1140.51
7.6127,1084,1136.52,1135.18,1.33,1136.51
7.6629,1132,1132.62,1131.28,1.34,1132.62
7.713,1191,1128.82,1127.48,1.35,1128.83
7.7631,1140,1125.11,1123.76,1.35,1125.11
7.8133,1088,1121.49,1120.13,1.36,1121.49
7.8634,1092,1117.94,1116.57,1.37,1117.94
7.9135,1106,1114.45,1113.07,1.38,1114.45
7.9637,1084,1111.03,1109.64,1.39,1111.03
8.0138,1101,1107.66,1106.26,1.39,1107.65
