Angle,Observed,Calculated,Background,Quartz_nb,Quartz
9.919,983,991.76,990.1,1.66,991.76
9.9692,1054,987.9,986.24,1.67,987.91
10.0193,1019,984.03,982.35,1.68,984.03
10.0694,989,980.14,978.45,1.69,980.14
10.1196,973,976.24,974.54,1.7,976.24
10.1697,1008,972.32,970.61,1.71,972.32
10.2198,1006,968.39,966.66,1.72,968.38
10.27,943,964.44,962.71,1.74,964.45
10.3201,973,960.48,958.74,1.75,960.49
10.3703,1005,956.51,954.75,1.76,956.51
10.4204,975,952.53,950.76,1.77,952.53
10.4705,944,948.53,946.75,1.78,948.53
10.5207,961,944.53,942.74,1.79,944.53
10.5708,933,940.52,938.71,1.81,940.52
10.6209,934,936.49,934.68,1.82,936.5
10.6711,945,932.46,930.63,1.83,932.46
10.7212,891,928.43,926.58,1.84,928.42
10.7714,971,924.38,922.53,1.86,924.39
10.8215,930,920.34,918.47,1.87,920.34
10.8716,894,916.29,914.4,1.88,916.28
10.9218,904,912.23,910.34,1.9,912.24
10.9719,889,908.17,906.27,1.91,908.18
11.022,911,904.12,902.19,1.92,904.11
11.0722,862,900.06,898.12,1.94,900.06
11.1223,937,896,894.05,1.95,896
11.1725,915,891.95,889.98,1.96,891.94
11.2226,908,887.9,885.92,1.98,887.9
11.2727,931,883.85,881.86,1.99,883.85
11.3229,895,879.81,877.8,2.01,879.81
11.373,878,875.77,873.75,2.02,875.77
11.4231,874,871.74,869.71,2.04,871.75
11.4733,883,867.72,865.67,2.05,867.72
11.5234,859,863.71,861.64,2.07,863.71
11.5736,841,859.71,857.63,2.08,859.71
11.6237,874,855.72,853.62,2.1,855.72
11.6738,828,851.74,849.62,2.11,851.73
11.724,830,847.77,845.64,2.13,847.77
11.7741,894,843.82,841.68,2.14,843.82
11.8242,844,839.88,837.72,2.16,839.88
11.8744,821,835.96,833.79,2.18,835.97
11.9245,804,832.06,829.86,2.19,832.05
11.9746,827,828.17,825.96,2.21,828.17
12.0248,847,824.3,822.08,2.23,824.31
12.0749,844,820.45,818.21,2.24,820.45
12.1251,818,816.62,814.36,2.26,816.62
12.1752,862,812.82,810.54,2.28,812.82
12.2253,796,809.03,806.73,2.3,809.03
12.2755,842,805.27,802.95,2.32,805.27
12.3256,835,801.53,799.19,2.33,801.52
12.3757,867,797.81,795.46,2.35,797.81
12.4259,801,794.12,791.75,2.37,794.12
12.476,743,790.46,788.07,2.39,790.46
12.5262,776,786.82,784.41,2.41,786.82
