Angle,Observed,Calculated,Background,Quartz_nb,Quartz
4.0028,1868,2003.91,2003,0.9,2003.9
4.053,1905,1942.92,1942.01,0.91,1942.92
4.1031,1891,1893.84,1892.92,0.92,1893.84
4.1533,1926,1854.38,1853.46,0.92,1854.38
4.2034,1908,1822.68,1821.75,0.93,1822.68
4.2535,1844,1797.15,1796.22,0.93,1797.15
4.3037,1790,1776.48,1775.54,0.94,1776.48
4.3538,1817,1759.59,1758.64,0.94,1759.58
4.4039,1830,1745.58,1744.63,0.95,1745.58
4.4541,1769,1733.71,1732.75,0.96,1733.71
4.5042,1709,1723.38,1722.42,0.96,1723.38
4.5544,1669,1714.12,1713.15,0.97,1714.12
4.6045,1735,1705.53,1704.56,0.97,1705.53
4.6546,1745,1697.31,1696.33,0.98,1697.31
4.7048,1655,1689.23,1688.24,0.98,1689.22
4.7549,1684,1681.09,1680.1,0.99,1681.09
4.805,1690,1672.78,1671.79,0.99,1672.78
4.8552,1688,1664.19,1663.19,1,1664.19
4.9053,1590,1655.27,1654.26,1.01,1655.27
4.9554,1604,1645.97,1644.96,1.01,1645.97
5.0056,1660,1636.27,1635.26,1.02,1636.28
5.0557,1633,1626.19,1625.16,1.02,1626.18
5.1059,1618,1615.72,1614.69,1.03,1615.72
5.156,1478,1604.9,1603.86,1.04,1604.9
5.2061,1555,1593.74,1592.7,1.04,1593.74
5.2563,1522,1582.3,1581.25,1.05,1582.3
5.3064,1555,1570.59,1569.54,1.05,1570.59
5.3565,1492,1558.68,1557.62,1.06,1558.68
5.4067,1485,1546.59,1545.52,1.07,1546.59
5.4568,1432,1534.37,1533.3,1.07,1534.37
5.507,1486,1522.06,1520.98,1.08,1522.06
5.5571,1521,1509.69,1508.61,1.08,1509.69
5.6072,1457,1497.32,1496.23,1.09,1497.32
5.6574,1403,1484.97,1483.87,1.1,1484.97
5.7075,1523,1472.67,1471.57,1.1,1472.67
5.7576,1468,1460.46,1459.36,1.11,1460.47
5.8078,1512,1448.37,1447.26,1.11,1448.37
5.8579,1403,1436.42,1435.3,1.12,1436.42
5.9081,1374,1424.64,1423.51,1.13,1424.64
5.9582,1456,1413.04,1411.91,1.13,1413.04
6.0083,1442,1401.65,1400.51,1.14,1401.65
6.0585,1435,1390.48,1389.34,1.15,1390.49
6.1086,1490,1379.55,1378.39,1.15,1379.54
6.1587,1409,1368.85,1367.7,1.16,1368.86
6.2089,1363,1358.42,1357.25,1.17,1358.42
6.259,1451,1348.25,1347.08,1.17,1348.25
6.3092,1381,1338.34,1337.16,1.18,1338.34
6.3593,1368,1328.71,1327.52,1.19,1328.71
6.4094,1334,1319.35,1318.16,1.19,1319.35
6.4596,1304,1310.27,1309.07,1.2,1310.27
6.5097,1321,1301.46,1300.25,1.21,1301.46
6.5598,1291,1292.92,1291.71,1.21,1292.92
6.61,1310,1284.65,1283.43,1.22,1284.65
6.6601,1340,1276.65,1275.42,1.23,1276.65
6.7102,1351,1268.91,1267.67,1.23,1268.9
6.7604,1310,1261.42,1260.18,1.24,1261.42
6.8105,1320,1254.18,1252.94,1.25,1254.19
6.8607,1345,1247.19,1245.93,1.25,1247.18
6.9108,1272,1240.43,1239.17,1.26,1240.43
6.9609,1232,1233.9,1232.63,1.27,1233.9
7.0111,1273,1227.58,1226.31,1.28,1227.59
7.0612,1158,1221.48,1220.2,1.28,1221.48
7.1113,1207,1215.58,1214.29,1.29,1215.58
7.1615,1286,1209.88,1208.58,1.3,1209.88
7.2116,1212,1204.36,1203.05,1.31,1204.36
7.2618,1260,1199.01,1197.7,1.31,1199.01
7.3119,1143,1193.83,1192.51,1.32,1193.83
7.362,1180,1188.81,1187.48,1.33,1188.81
7.4122,1199,1183.94,1182.61,1.34,1183.95
7.4623,1120,1179.21,1177.87,1.34,1179.21
7.5124,1148,1174.61,1173.26,1.35,1174.61
7.5626,1146,1170.14,1168.78,1.36,1170.14
7.6127,1169,1165.78,1164.41,1.37,1165.78
7.6629,1136,1161.53,1160.15,1.38,1161.53
7.713,1172,1157.38,1155.99,1.38,1157.37
7.7631,1160,1153.31,1151.92,1.39,1153.31
7.8133,1098,1149.34,1147.93,1.4,1149.33
7.8634,1203,1145.43,1144.03,1.41,1145.44
7.9135,1087,1141.6,1140.19,1.42,1141.61
7.9637,1148,1137.83,1136.41,1.43,1137.84
8.0138,1144,1134.12,1132.69,1.43,1134.12
8.064,1124,1130.46,1129.02,1.44,1130.46
8.1141,1129,1126.84,1125.39,1.45,1126.84
8.1642,1066,1123.26,1121.8,1.46,1123.26
8.2144,1115,1119.71,1118.25,1.47,1119.72
8.2645,1059,1116.2,1114.72,1.47,1116.19
8.3146,1059,1112.7,1111.22,1.48,1112.7
8.3648,1094,1109.23,1107.74,1.49,1109.23
