Angle,Observed,Calculated,Background,Calcite_nb,SiO2_nb,Calcite,SiO2
19.8462,728,614.91,575.55,0.61,38.75,576.16,614.3
19.8963,723,618.52,575.61,0.62,42.29,576.23,617.9
19.9465,783,622.72,575.67,0.63,46.42,576.3,622.09
19.9966,849,627.63,575.73,0.64,51.26,576.37,626.99
20.0467,814,633.43,575.79,0.65,56.99,576.44,632.78
20.0969,818,640.28,575.85,0.66,63.77,576.51,639.62
20.147,856,648.64,575.91,0.68,72.05,576.59,647.96
20.1971,839,658.87,575.97,0.69,82.22,576.66,658.19
20.2473,814,671.6,576.03,0.7,94.88,576.73,670.91
20.2974,850,687.73,576.08,0.71,110.93,576.79,687.01
20.3476,882,708.57,576.14,0.73,131.71,576.87,707.85
20.3977,875,736.22,576.2,0.74,159.28,576.94,735.48
20.4478,973,773.98,576.25,0.76,196.97,577.01,773.22
20.498,1096,827.51,576.3,0.77,250.43,577.07,826.73
20.5481,1091,906.96,576.35,0.79,329.82,577.14,906.17
20.5982,1317,1032.08,576.4,0.81,454.87,577.21,1031.27
20.6484,1579,1244.63,576.45,0.83,667.35,577.28,1243.8
20.6985,2050,1640.98,576.49,0.87,1063.61,577.36,1640.1
20.7486,3036,2452.3,576.53,0.97,1874.8,577.5,2451.33
20.7988,4774,4153.7,576.57,1.16,3575.97,577.73,4152.54
20.8489,7303,6910.96,576.61,1.35,6333,577.96,6909.61
20.8991,7716,7343.89,576.65,1.32,6765.93,577.97,7342.58
20.9492,4899,4956.11,576.68,1.21,4378.22,577.89,4954.9
20.9993,2679,2782.38,576.71,1.14,2204.53,577.85,2781.24
21.0495,1665,1766.94,576.73,1.12,1189.09,577.85,1765.82
21.0996,1215,1305.25,576.76,1.11,727.38,577.87,1304.14
21.1497,1081,1066.86,576.78,1.12,488.96,577.9,1065.74
21.1999,983,929.44,576.79,1.14,351.51,577.93,928.3
21.25,945,843.42,576.81,1.16,265.45,577.97,842.26
21.3002,810,786.15,576.82,1.19,208.14,578.01,784.96
21.3503,763,746.16,576.82,1.23,168.11,578.05,744.93
21.4004,829,717.18,576.82,1.27,139.09,578.09,715.91
21.4506,736,695.52,576.82,1.31,117.39,578.13,694.21
21.5007,787,679.06,576.82,1.36,100.89,578.18,677.71
21.5508,719,666.08,576.81,1.41,87.86,578.22,664.67
21.601,669,655.75,576.79,1.47,77.49,578.26,654.28
21.6511,657,647.43,576.78,1.53,69.12,578.31,645.9
21.7013,665,640.62,576.75,1.6,62.27,578.35,639.02
21.7514,680,635.01,576.73,1.68,56.6,578.41,633.33
21.8015,692,630.34,576.7,1.77,51.88,578.47,628.58
21.8517,605,626.42,576.66,1.86,47.9,578.52,624.56
21.9018,601,623.12,576.62,1.97,44.53,578.59,621.15
21.9519,718,620.33,576.58,2.1,41.65,578.68,618.23
22.0021,657,617.96,576.53,2.23,39.19,578.76,615.72
22.0522,593,615.95,576.47,2.39,37.08,578.86,613.55
22.1024,686,614.25,576.42,2.57,35.26,578.99,611.68
22.1525,726,612.82,576.35,2.78,33.69,579.13,610.04
22.2026,639,611.64,576.28,3.03,32.33,579.31,608.61
22.2528,672,610.68,576.21,3.31,31.16,579.52,607.37
22.3029,614,609.92,576.13,3.65,30.14,579.78,606.27
22.353,615,609.37,576.05,4.06,29.26,580.11,605.31
22.4032,621,609.02,575.96,4.55,28.51,580.51,604.47
22.4533,629,608.9,575.86,5.16,27.87,581.02,603.73
22.5034,568,609.02,575.77,5.92,27.33,581.69,603.1
22.5536,566,609.43,575.66,6.89,26.88,582.55,602.54
22.6037,569,610.22,575.55,8.16,26.51,583.71,602.06
22.6539,605,611.5,575.44,9.85,26.21,585.29,601.65
22.704,594,613.48,575.32,12.18,25.99,587.5,601.31
22.7541,630,616.52,575.19,15.51,25.82,590.7,601.01
22.8043,615,621.27,575.06,20.49,25.72,595.55,600.78
22.8544,580,628.92,574.92,28.32,25.67,603.24,600.59
22.9045,600,641.81,574.78,41.35,25.68,616.13,600.46
22.9547,625,664.39,574.63,64.02,25.74,638.65,600.37
23.0048,759,703.1,574.48,102.78,25.84,677.26,600.32
23.055,734,758.69,574.32,158.37,25.99,732.69,600.31
23.1051,810,791.41,574.16,191.06,26.19,765.22,600.35
23.1552,839,764.31,573.99,163.88,26.44,737.87,600.43
23.2054,675,710.1,573.81,109.56,26.73,683.37,600.54
23.2555,660,667.76,573.63,67.06,27.07,640.69,600.7
23.3056,625,643.55,573.44,42.66,27.45,616.1,600.89
23.3558,582,630.14,573.25,29.02,27.87,602.27,601.12
23.4059,574,622.36,573.05,20.96,28.34,594.01,601.39
23.4561,544,617.6,572.85,15.89,28.86,588.74,601.71
23.5062,555,614.58,572.64,12.52,29.43,585.16,602.07
23.5563,577,612.64,572.43,10.17,30.04,582.6,602.47
23.6065,550,611.39,572.21,8.48,30.7,580.69,602.91
23.6566,577,610.63,571.98,7.23,31.41,579.21,603.39
23.7067,598,610.2,571.75,6.28,32.18,578.03,603.93
23.7569,567,610.05,571.51,5.54,32.99,577.05,604.5
23.807,538,610.13,571.27,4.95,33.91,576.22,605.18
23.8572,571,611.46,571.02,4.48,35.96,575.5,606.98
23.9073,606,616.28,570.77,4.1,41.41,574.87,612.18
23.9574,624,631.35,570.51,3.79,57.05,574.3,627.56
24.0076,666,673.37,570.24,3.53,99.6,573.77,669.84
24.0577,697,711.96,569.97,3.31,138.68,573.28,708.65
24.1078,625,677.27,569.7,3.13,104.44,572.83,674.14
24.158,640,648.05,569.41,2.98,75.65,572.39,645.06
24.2081,552,635.08,569.13,2.85,63.1,571.98,632.23
24.2582,586,629.1,568.83,2.75,57.52,571.58,626.35
24.3084,556,626.25,568.53,2.66,55.06,571.19,623.59
24.3585,575,625,568.23,2.58,54.19,570.81,622.42
24.4087,574,624.72,567.92,2.51,54.28,570.43,622.2
24.4588,573,625.07,567.61,2.46,55,570.07,622.61
24.5089,584,625.89,567.29,2.42,56.19,569.71,623.48
24.5591,552,627.08,566.96,2.38,57.74,569.34,624.7
24.6092,571,628.61,566.63,2.35,59.63,568.98,626.26
24.6593,599,630.45,566.29,2.33,61.82,568.62,628.11
24.7095,595,632.58,565.95,2.31,64.32,568.26,630.27
24.7596,600,635.01,565.61,2.3,67.11,567.91,632.72
24.8098,568,637.76,565.25,2.29,70.21,567.54,635.46
