Angle,Observed,Calculated,Background,Dolomite_nb,Quartz_nb,Dolomite,Quartz
3.0001,15473,17084.8,17084.76,0,0.03,17084.76,17084.79
3.0502,14480,14697.88,14697.84,0,0.03,14697.84,14697.87
3.1004,13053,12659.47,12659.43,0,0.04,12659.43,12659.47
3.1505,11824,10920.86,10920.82,0,0.04,10920.82,10920.86
3.2006,10327,9440.03,9439.99,0,0.04,9439.99,9440.03
3.2508,8961,8180.88,8180.84,0,0.04,8180.84,8180.88
3.3009,7752,7112.08,7112.03,0,0.04,7112.03,7112.07
3.3511,6669,6206.69,6206.65,0,0.04,6206.65,6206.69
3.4012,5463,5441.46,5441.41,0,0.04,5441.41,5441.45
3.4513,4542,4796.27,4796.23,0,0.04,4796.23,4796.27
3.5015,3551,4253.83,4253.79,0,0.04,4253.79,4253.83
3.5516,2834,3799.16,3799.12,0,0.04,3799.12,3799.16
3.6017,2544,3419.4,3419.36,0,0.04,3419.36,3419.4
3.6519,2242,3103.41,3103.37,0,0.04,3103.37,3103.41
3.702,2192,2841.63,2841.58,0,0.04,2841.58,2841.62
3.7522,2099,2625.79,2625.75,0,0.04,2625.75,2625.79
3.8023,2048,2448.83,2448.78,0,0.04,2448.78,2448.82
3.8524,2054,2304.61,2304.56,0,0.04,2304.56,2304.6
3.9026,2039,2187.91,2187.86,0.01,0.04,2187.87,2187.9
3.9527,2021,2094.25,2094.2,0.01,0.04,2094.21,2094.24
4.0028,2035,2019.78,2019.72,0.01,0.05,2019.73,2019.77
4.053,1955,1961.19,1961.14,0.01,0.05,1961.15,1961.19
4.1031,1922,1915.69,1915.64,0.01,0.05,1915.65,1915.69
4.1533,2011,1880.89,1880.84,0.01,0.05,1880.85,1880.89
4.2034,1988,1854.75,1854.7,0.01,0.05,1854.71,1854.75
4.2535,1930,1835.56,1835.5,0.01,0.05,1835.51,1835.55
4.3037,1974,1821.86,1821.8,0.01,0.05,1821.81,1821.85
4.3538,1884,1812.43,1812.37,0.01,0.05,1812.38,1812.42
4.4039,1870,1806.24,1806.18,0.01,0.06,1806.19,1806.24
4.4541,1930,1802.44,1802.38,0.01,0.06,1802.39,1802.44
4.5042,1884,1800.32,1800.26,0.01,0.06,1800.27,1800.32
4.5544,1820,1799.31,1799.24,0.01,0.06,1799.25,1799.3
4.6045,1889,1798.91,1798.85,0.01,0.06,1798.86,1798.91
4.6546,1767,1798.76,1798.69,0.01,0.06,1798.7,1798.75
4.7048,1770,1798.54,1798.47,0.01,0.06,1798.48,1798.53
4.7549,1835,1798.02,1797.95,0.01,0.06,1797.96,1798.01
4.805,1804,1797,1796.93,0.01,0.06,1796.94,1796.99
4.8552,1826,1795.35,1795.27,0.01,0.07,1795.28,1795.34
4.9053,1742,1792.97,1792.89,0.01,0.07,1792.9,1792.96
4.9554,1782,1789.79,1789.72,0.01,0.07,1789.73,1789.79
5.0056,1798,1785.78,1785.7,0.01,0.07,1785.71,1785.77
5.0557,1804,1780.91,1780.84,0.01,0.07,1780.85,1780.91
5.1059,1789,1775.2,1775.12,0.01,0.07,1775.13,1775.19
5.156,1693,1768.64,1768.56,0.01,0.07,1768.57,1768.63
5.2061,1756,1761.28,1761.2,0.01,0.07,1761.21,1761.27
5.2563,1660,1753.15,1753.07,0.01,0.07,1753.08,1753.14
5.3064,1689,1744.29,1744.2,0.01,0.08,1744.21,1744.28
5.3565,1690,1734.74,1734.66,0.01,0.08,1734.67,1734.74
5.4067,1634,1724.57,1724.48,0.01,0.08,1724.49,1724.56
5.4568,1631,1713.82,1713.73,0.01,0.08,1713.74,1713.81
5.507,1661,1702.55,1702.46,0.01,0.08,1702.47,1702.54
5.5571,1760,1690.82,1690.73,0.01,0.08,1690.74,1690.81
5.6072,1625,1678.67,1678.58,0.01,0.08,1678.59,1678.66
5.6574,1638,1666.17,1666.08,0.01,0.08,1666.09,1666.16
5.7075,1699,1653.36,1653.27,0.01,0.08,1653.28,1653.35
5.7576,1616,1640.3,1640.2,0.01,0.09,1640.21,1640.29
5.8078,1611,1627.03,1626.93,0.01,0.09,1626.94,1627.02
5.8579,1611,1613.6,1613.5,0.01,0.09,1613.51,1613.59
5.9081,1594,1600.05,1599.95,0.01,0.09,1599.96,1600.04
5.9582,1526,1586.42,1586.32,0.01,0.09,1586.33,1586.41
6.0083,1616,1572.75,1572.65,0.01,0.09,1572.66,1572.74
6.0585,1574,1559.07,1558.97,0.01,0.09,1558.98,1559.06
6.1086,1517,1545.43,1545.32,0.01,0.09,1545.33,1545.41
6.1587,1571,1531.83,1531.73,0.01,0.09,1531.74,1531.82
6.2089,1472,1518.32,1518.22,0.01,0.09,1518.23,1518.31
6.259,1525,1504.92,1504.82,0.01,0.1,1504.83,1504.92
6.3092,1437,1491.65,1491.54,0.01,0.1,1491.55,1491.64
6.3593,1475,1478.52,1478.42,0.01,0.1,1478.43,1478.52
6.4094,1501,1465.57,1465.46,0.01,0.1,1465.47,1465.56
6.4596,1474,1452.79,1452.68,0.01,0.1,1452.69,1452.78
6.5097,1429,1440.21,1440.1,0.01,0.1,1440.11,1440.2
6.5598,1385,1427.84,1427.73,0.01,0.1,1427.74,1427.83
6.61,1506,1415.68,1415.57,0.01,0.1,1415.58,1415.67
6.6601,1407,1403.75,1403.64,0.01,0.1,1403.65,1403.74
6.7102,1450,1392.05,1391.94,0.01,0.11,1391.95,1392.05
6.7604,1428,1380.59,1380.47,0.01,0.11,1380.48,1380.58
6.8105,1326,1369.37,1369.25,0.01,0.11,1369.26,1369.36
6.8607,1341,1358.39,1358.27,0.01,0.11,1358.28,1358.38
6.9108,1354,1347.66,1347.53,0.01,0.11,1347.54,1347.64
6.9609,1325,1337.17,1337.04,0.01,0.11,1337.05,1337.15
7.0111,1341,1326.92,1326.8,0.01,0.11,1326.81,1326.91
7.0612,1318,1316.92,1316.8,0.01,0.11,1316.81,1316.91
7.1113,1219,1307.16,1307.04,0.01,0.11,1307.05,1307.15
7.1615,1325,1297.64,1297.52,0.01,0.12,1297.53,1297.64
7.2116,1293,1288.36,1288.23,0.01,0.12,1288.24,1288.35
7.2618,1375,1279.31,1279.18,0.01,0.12,1279.19,1279.3
7.3119,1300,1270.48,1270.35,0.01,0.12,1270.36,1270.47
7.362,1302,1261.88,1261.75,0.01,0.12,1261.76,1261.87
7.4122,1265,1253.49,1253.36,0.01,0.12,1253.37,1253.48
7.4623,1200,1245.32,1245.18,0.01,0.12,1245.19,1245.3
7.5124,1241,1237.35,1237.21,0.01,0.12,1237.22,1237.33
7.5626,1248,1229.58,1229.44,0.01,0.12,1229.45,1229.56
7.6127,1244,1222,1221.86,0.01,0.13,1221.87,1221.99
7.6629,1259,1214.61,1214.47,0.01,0.13,1214.48,1214.6
7.713,1186,1207.4,1207.26,0.01,0.13,1207.27,1207.39
7.7631,1146,1200.37,1200.23,0.01,0.13,1200.24,1200.36
7.8133,1130,1193.51,1193.36,0.01,0.13,1193.37,1193.49
7.8634,1190,1186.8,1186.66,0.01,0.13,1186.67,1186.79
7.9135,1205,1180.25,1180.11,0.01,0.13,1180.12,1180.24
7.9637,1128,1173.85,1173.7,0.01,0.13,1173.71,1173.83
8.0138,1213,1167.59,1167.44,0.01,0.14,1167.45,1167.58
8.064,1133,1161.47,1161.32,0.01,0.14,1161.33,1161.46
8.1141,1210,1155.47,1155.32,0.01,0.14,1155.33,1155.46
8.1642,1227,1149.6,1149.45,0.01,0.14,1149.46,1149.59
8.2144,1164,1143.85,1143.69,0.01,0.14,1143.7,1143.83
8.2645,1175,1138.21,1138.05,0.01,0.15,1138.06,1138.2
8.3146,1171,1132.67,1132.51,0.01,0.15,1132.52,1132.66
8.3648,1128,1127.24,1127.07,0.02,0.15,1127.09,1127.22
8.4149,1104,1121.89,1121.73,0.02,0.15,1121.75,1121.88
8.465,1075,1116.64,1116.47,0.02,0.15,1116.49,1116.62
8.5152,1059,1111.47,1111.3,0.02,0.16,1111.32,1111.46
8.5653,1117,1106.38,1106.2,0.02,0.16,1106.22,1106.36
8.6155,1116,1101.36,1101.19,0.02,0.16,1101.21,1101.35
8.6656,1076,1096.42,1096.24,0.02,0.16,1096.26,1096.4
8.7157,1087,1091.53,1091.35,0.02,0.16,1091.37,1091.51
8.7659,1119,1086.71,1086.53,0.02,0.17,1086.55,1086.7
8.816,1065,1081.95,1081.76,0.02,0.17,1081.78,1081.93
8.8661,1100,1077.24,1077.05,0.02,0.17,1077.07,1077.22
8.9163,1041,1072.58,1072.38,0.02,0.17,1072.4,1072.55
8.9664,1133,1067.96,1067.77,0.02,0.18,1067.79,1067.95
9.0166,1078,1063.39,1063.19,0.02,0.18,1063.21,1063.37
9.0667,1092,1058.85,1058.65,0.02,0.18,1058.67,1058.83
9.1168,1026,1054.35,1054.15,0.02,0.18,1054.17,1054.33
9.167,1085,1049.89,1049.68,0.02,0.18,1049.7,1049.86
9.2171,1048,1045.45,1045.25,0.02,0.19,1045.27,1045.44
9.2672,1027,1041.05,1040.84,0.02,0.19,1040.86,1041.03
9.3174,974,1036.66,1036.45,0.02,0.19,1036.47,1036.64
9.3675,1062,1032.31,1032.09,0.02,0.19,1032.11,1032.28
9.4177,1020,1027.97,1027.76,0.02,0.2,1027.78,1027.96
9.4678,1021,1023.65,1023.44,0.02,0.2,1023.46,1023.64
9.5179,980,1019.36,1019.14,0.02,0.2,1019.16,1019.34
9.5681,1027,1015.07,1014.85,0.02,0.2,1014.87,1015.05
9.6182,941,1010.81,1010.58,0.02,0.21,1010.6,1010.79
9.6683,1035,1006.55,1006.32,0.02,0.21,1006.34,1006.53
9.7185,922,1002.31,1002.08,0.02,0.21,1002.1,1002.29
9.7686,983,998.08,997.84,0.02,0.21,997.86,998.05
9.8188,983,993.86,993.62,0.02,0.22,993.64,993.84
9.8689,956,989.64,989.4,0.02,0.22,989.42,989.62
9.919,990,985.44,985.2,0.02,0.22,985.22,985.42
9.9692,959,981.24,981,0.02,0.22,981.02,981.22
10.0193,959,977.05,976.8,0.02,0.23,976.82,977.03
10.0694,951,972.87,972.62,0.02,0.23,972.64,972.85
10.1196,966,968.69,968.44,0.02,0.23,968.46,968.67
10.1697,953,964.52,964.26,0.02,0.23,964.28,964.49
10.2198,953,960.35,960.09,0.02,0.24,960.11,960.33
10.27,939,956.19,955.92,0.02,0.24,955.94,956.16
10.3201,947,952.03,951.77,0.02,0.24,951.79,952.01
10.3703,908,947.88,947.61,0.02,0.24,947.63,947.85
10.4204,897,943.73,943.46,0.02,0.25,943.48,943.71
10.4705,950,939.59,939.32,0.02,0.25,939.34,939.57
10.5207,901,935.45,935.18,0.02,0.25,935.2,935.43
10.5708,936,931.32,931.04,0.02,0.26,931.06,931.3
10.6209,974,927.2,926.91,0.02,0.26,926.93,927.17
10.6711,924,923.08,922.79,0.02,0.26,922.81,923.05
10.7212,933,918.96,918.68,0.02,0.26,918.7,918.94
