Angle,Observed,Calculated,Background,Quartz_nb,Quartz
4.0028,1690,1752.83,1752.13,0.7,1752.83
4.053,1737,1703.09,1702.39,0.7,1703.09
4.1031,1579,1663.48,1662.77,0.71,1663.48
4.1533,1640,1632.07,1631.35,0.71,1632.06
4.2034,1603,1607.27,1606.56,0.72,1607.28
4.2535,1610,1587.76,1587.03,0.72,1587.75
4.3037,1647,1572.39,1571.67,0.73,1572.4
4.3538,1617,1560.27,1559.54,0.73,1560.27
4.4039,1574,1550.61,1549.87,0.74,1550.61
4.4541,1602,1542.78,1542.04,0.74,1542.78
4.5042,1636,1536.27,1535.53,0.74,1536.27
4.5544,1460,1530.66,1529.92,0.75,1530.67
4.6045,1526,1525.62,1524.87,0.75,1525.62
4.6546,1581,1520.87,1520.11,0.76,1520.87
4.7048,1537,1516.21,1515.45,0.76,1516.21
4.7549,1494,1511.48,1510.71,0.77,1511.48
4.805,1534,1506.55,1505.78,0.77,1506.55
4.8552,1496,1501.35,1500.57,0.78,1501.35
4.9053,1452,1495.8,1495.02,0.78,1495.8
4.9554,1472,1489.89,1489.1,0.78,1489.88
5.0056,1485,1483.58,1482.79,0.79,1483.58
5.0557,1392,1476.87,1476.08,0.79,1476.87
5.1059,1464,1469.78,1468.98,0.8,1469.78
5.156,1401,1462.32,1461.51,0.8,1462.31
5.2061,1371,1454.5,1453.69,0.81,1454.5
5.2563,1423,1446.37,1445.56,0.81,1446.37
5.3064,1433,1437.95,1437.13,0.82,1437.95
5.3565,1356,1429.27,1428.45,0.82,1429.27
5.4067,1328,1420.38,1419.55,0.83,1420.38
5.4568,1393,1411.3,1410.47,0.83,1411.3
5.507,1321,1402.07,1401.24,0.84,1402.08
5.5571,1395,1392.73,1391.89,0.84,1392.73
5.6072,1450,1383.32,1382.47,0.85,1383.32
5.6574,1334,1373.85,1373,0.85,1373.85
5.7075,1341,1364.37,1363.51,0.85,1364.36
5.7576,1369,1354.9,1354.04,0.86,1354.9
5.8078,1380,1345.46,1344.6,0.86,1345.46
5.8579,1339,1336.09,1335.22,0.87,1336.09
5.9081,1336,1326.8,1325.92,0.87,1326.79
5.9582,1340,1317.61,1316.73,0.88,1317.61
6.0083,1392,1308.54,1307.66,0.88,1308.54
6.0585,1386,1299.61,1298.72,0.89,1299.61
6.1086,1308,1290.83,1289.94,0.89,1290.83
6.1587,1315,1282.21,1281.31,0.9,1282.21
6.2089,1306,1273.77,1272.86,0.91,1273.77
6.259,1298,1265.5,1264.59,0.91,1265.5
6.3092,1295,1257.43,1256.51,0.92,1257.43
6.3593,1289,1249.54,1248.62,0.92,1249.54
6.4094,1306,1241.86,1240.93,0.93,1241.86
6.4596,1297,1234.37,1233.44,0.93,1234.37
6.5097,1253,1227.08,1226.14,0.94,1227.08
6.5598,1247,1220,1219.05,0.94,1219.99
6.61,1217,1213.11,1212.17,0.95,1213.12
6.6601,1197,1206.43,1205.48,0.95,1206.43
6.7102,1279,1199.94,1198.98,0.96,1199.94
6.7604,1196,1193.65,1192.68,0.96,1193.64
6.8105,1177,1187.54,1186.58,0.97,1187.55
6.8607,1156,1181.63,1180.65,0.97,1181.62
6.9108,1141,1175.89,1174.91,0.98,1175.89
6.9609,1229,1170.33,1169.35,0.99,1170.34
7.0111,1184,1164.95,1163.96,0.99,1164.95
7.0612,1169,1159.72,1158.73,1,1159.73
7.1113,1106,1154.66,1153.66,1,1154.66
7.1615,1179,1149.75,1148.74,1.01,1149.75
7.2116,1124,1144.98,1143.97,1.02,1144.99
7.2618,1243,1140.36,1139.33,1.02,1140.35
7.3119,1125,1135.86,1134.83,1.03,1135.86
7.362,1124,1131.49,1130.46,1.03,1131.49
7.4122,1137,1127.25,1126.21,1.04,1127.25
7.4623,1116,1123.11,1122.06,1.05,1123.11
7.5124,1140,1119.08,1118.03,1.05,1119.08
7.5626,1056,1115.15,1114.09,1.06,1115.15
7.6127,1104,1111.31,1110.25,1.06,1111.31
7.6629,1139,1107.56,1106.49,1.07,1107.56
7.713,1068,1103.89,1102.81,1.08,1103.89
7.7631,1115,1100.29,1099.21,1.08,1100.29
7.8133,1027,1096.76,1095.67,1.09,1096.76
7.8634,1152,1093.29,1092.2,1.1,1093.3
7.9135,1036,1089.88,1088.78,1.1,1089.88
7.9637,1068,1086.52,1085.41,1.11,1086.52
8.0138,1026,1083.2,1082.09,1.12,1083.21
8.064,1042,1079.93,1078.81,1.12,1079.93
8.1141,1049,1076.69,1075.56,1.13,1076.69
8.1642,1000,1073.49,1072.35,1.13,1073.48
8.2144,1074,1070.3,1069.16,1.14,1070.3
8.2645,1084,1067.15,1066,1.15,1067.15
8.3146,1035,1064.01,1062.85,1.15,1064
8.3648,1063,1060.88,1059.72,1.16,1060.88
8.4149,1030,1057.77,1056.6,1.17,1057.77
8.465,1052,1054.66,1053.49,1.17,1054.66
8.5152,1034,1051.56,1050.38,1.18,1051.56
8.5653,1015,1048.46,1047.27,1.19,1048.46
8.6155,1043,1045.36,1044.16,1.19,1045.35
8.6656,963,1042.25,1041.05,1.2,1042.25
8.7157,1067,1039.14,1037.93,1.21,1039.14
8.7659,1098,1036.02,1034.8,1.22,1036.02
8.816,1019,1032.88,1031.66,1.22,1032.88
8.8661,1016,1029.74,1028.51,1.23,1029.74
8.9163,1039,1026.57,1025.34,1.24,1026.58
8.9664,947,1023.4,1022.15,1.25,1023.4
9.0166,1007,1020.2,1018.95,1.25,1020.2
9.0667,1067,1016.99,1015.73,1.26,1016.99
9.1168,996,1013.75,1012.48,1.27,1013.75
9.167,998,1010.5,1009.22,1.28,1010.5
9.2171,956,1007.22,1005.93,1.28,1007.21
9.2672,963,1003.92,1002.63,1.29,1003.92
9.3174,1036,1000.59,999.29,1.3,1000.59
9.3675,984,997.24,995.94,1.31,997.25
9.4177,1025,993.87,992.56,1.32,993.88
9.4678,994,990.47,989.15,1.32,990.47
9.5179,1027,987.05,985.72,1.33,987.05
9.5681,987,983.6,982.26,1.34,983.6
9.6182,957,980.13,978.78,1.35,980.13
9.6683,970,976.63,975.28,1.36,976.64
9.7185,977,973.11,971.75,1.37,973.12
9.7686,994,969.57,968.19,1.37,969.56
9.8188,995,966,964.61,1.38,965.99
9.8689,955,962.4,961.01,1.39,962.4
9.919,913,958.79,957.39,1.4,958.79
9.9692,1023,955.15,953.74,1.41,955.15
10.0193,960,951.49,950.07,1.42,951.49
10.0694,947,947.81,946.38,1.43,947.81
10.1196,979,944.11,942.67,1.44,944.11
10.1697,942,940.38,938.94,1.45,940.39
10.2198,944,936.64,935.19,1.46,936.65
10.27,916,932.89,931.42,1.47,932.89
10.3201,945,929.11,927.64,1.48,929.12
10.3703,983,925.32,923.84,1.49,925.33
10.4204,884,921.51,920.02,1.5,921.52
10.4705,962,917.69,916.19,1.51,917.7
10.5207,961,913.86,912.34,1.52,913.86
10.5708,913,910.01,908.49,1.53,910.02
10.6209,886,906.16,904.62,1.54,906.16
10.6711,919,902.29,900.74,1.55,902.29
10.7212,867,898.41,896.86,1.56,898.42
10.7714,907,894.53,892.96,1.57,894.53
10.8215,851,890.64,889.06,1.58,890.64
10.8716,877,886.74,885.15,1.59,886.74
10.9218,951,882.84,881.24,1.6,882.84
10.9719,885,878.94,877.32,1.61,878.93
11.022,865,875.03,873.41,1.62,875.03
11.0722,868,871.12,869.49,1.63,871.12
11.1223,909,867.21,865.57,1.65,867.22
11.1725,858,863.31,861.65,1.66,863.31
11.2226,867,859.4,857.73,1.67,859.4
11.2727,894,855.5,853.82,1.68,855.5
11.3229,842,851.6,849.91,1.69,851.6
11.373,839,847.71,846,1.71,847.71
11.4231,828,843.82,842.1,1.72,843.82
11.4733,870,839.94,838.21,1.73,839.94
11.5234,832,836.07,834.33,1.74,836.07
11.5736,827,832.21,830.45,1.76,832.21
11.6237,862,828.36,826.59,1.77,828.36
11.6738,803,824.52,822.74,1.78,824.52
11.724,872,820.69,818.9,1.8,820.7
11.7741,843,816.88,815.07,1.81,816.88
11.8242,806,813.08,811.26,1.82,813.08
11.8744,761,809.3,807.46,1.84,809.3
11.9245,836,805.53,803.68,1.85,805.53
11.9746,779,801.78,799.91,1.87,801.78
12.0248,842,798.05,796.17,1.88,798.05
12.0749,732,794.33,792.44,1.9,794.34
12.1251,785,790.64,788.73,1.91,790.64
12.1752,778,786.97,785.04,1.92,786.96
12.2253,809,783.31,781.37,1.94,783.31
12.2755,792,779.68,777.73,1.96,779.69
12.3256,774,776.08,774.11,1.97,776.08
12.3757,808,772.49,770.51,1.99,772.5
12.4259,785,768.93,766.93,2,768.93
12.476,739,765.4,763.38,2.02,765.4
12.5262,760,761.89,759.85,2.04,761.89
12.5763,829,758.4,756.35,2.05,758.4
12.6264,736,754.95,752.88,2.07,754.95
12.6766,747,751.52,749.43,2.09,751.52
12.7267,724,748.12,746.01,2.1,748.11
12.7768,725,744.75,742.62,2.12,744.74
12.827,743,741.4,739.26,2.14,741.4
