Sample,Phase,Angle,Intensity,d
SP34,SiO2,68.3288,3080.5,1.37
SP50,SiO2,20.8489,11015,4.26
SP50,SiO2,26.6648,60232,3.34
SP50,SiO2,36.592,3146,
SP50,SiO2,39.4999,3666,2.28
SP50,SiO2,40.3021,1563.79,
SP50,SiO2,42.458,2575.99,
SP50,SiO2,45.8172,1887.78,
SP50,SiO2,50.1792,4790,1.82
SP50,SiO2,54.892,2077.2,
SP50,SiO2,59.9559,2973.44,
SP50,SiO2,68.3288,3517.81,1.37
SP52,SiO2,20.8489,10310,4.26
SP52,SiO2,26.6648,56608,3.34
SP52,Calcite,29.4725,861.55,3.03
SP52,Dolomite,30.9766,583,2.89
SP52,SiO2,36.592,2924,
SP52,SiO2,39.4999,3697,2.28
SP52,SiO2,40.3021,1508,
SP52,SiO2,42.458,2404.56,
SP52,SiO2,45.8172,1764.68,
SP52,SiO2,50.129,4704,1.82
SP52,SiO2,54.892,1981.44,
SP52,SiO2,59.9559,2841.12,
SP52,SiO2,68.3288,3384.18,1.37
SP57,SiO2,20.9065,4890,4.25
SP57,Calcite,23.1064,1596,3.85
SP57,SiO2,26.6877,25948,3.34
SP57,Calcite,29.5015,12837.95,3.03
SP57,Calcite,36.0501,1705,2.49
SP57,SiO2,36.5618,1538,
SP57,SiO2,39.4779,3549,2.28
SP57,Calcite,39.4779,1978.3,
SP57,SiO2,40.2965,905,
SP57,SiO2,42.4964,1238.87,
SP57,Calcite,43.2639,1954,2.09
SP57,SiO2,45.8219,1011.36,
SP57,Calcite,47.6125,2012.9,
SP57,Calcite,48.6358,2210.68,1.87
SP57,SiO2,50.1706,2541,1.82
SP57,SiO2,54.9286,993.75,
SP57,Calcite,57.5378,979.94,
SP57,SiO2,59.9935,1484.37,
SP57,Calcite,60.8121,785.48,
SP57,Calcite,64.8027,726.62,
SP57,SiO2,68.1793,1689.14,1.38
SP58,SiO2,20.8553,7004,4.26
SP58,Calcite,23.1064,1098,
SP58,SiO2,26.6877,38115,3.34
SP58,Calcite,29.5015,8239,3.03
SP58,Calcite,36.0501,1128,2.49
SP58,SiO2,36.5618,2169,
SP58,SiO2,39.4779,3465,2.28
SP58,Calcite,39.4779,1194.13,
SP58,SiO2,40.3477,1190,
SP58,SiO2,42.4964,1766,
SP58,Calcite,43.2639,1317,2.09
SP58,SiO2,45.8219,1247,
SP58,Calcite,47.6125,1210.64,
SP58,Calcite,48.6358,1375.47,1.87
SP58,SiO2,50.1706,3728,1.82
SP58,SiO2,54.8774,1392.11,
SP58,Calcite,57.5378,668.26,
SP58,SiO2,59.9935,2085.46,
SP58,Calcite,60.8121,588.01,
SP58,Calcite,64.8027,530.62,
SP58,SiO2,68.1793,2544,1.38
SP59,SiO2,20.8553,5562,4.26
SP59,Calcite,23.1064,1401,
SP59,SiO2,26.6877,28253,3.34
SP59,Calcite,29.4504,12730,3.03
SP59,Calcite,35.999,1506,2.50
SP59,SiO2,36.5618,1804,
SP59,SiO2,39.4779,3634,2.28
SP59,Calcite,39.4779,1864.65,
SP59,SiO2,40.2965,1014,
SP59,SiO2,42.4964,1367,
SP59,Calcite,43.2127,1779,2.09
SP59,SiO2,45.8219,1154.12,
SP59,Calcite,47.5614,1894.31,
SP59,Calcite,48.5846,2009.15,1.87
SP59,SiO2,50.1706,2880,1.82
SP59,SiO2,54.8774,1081.74,
SP59,Calcite,57.4866,918.11,
SP59,SiO2,59.9935,1671.49,
SP59,Calcite,60.7098,692,
SP59,Calcite,64.7003,604,
SP59,SiO2,68.1793,1954.69,1.38
SP61,SiO2,20.8553,10513,4.26
SP61,SiO2,26.6365,54842,3.35
SP61,Calcite,29.4504,741,3.03
SP61,SiO2,36.5618,3125,
SP61,SiO2,39.4779,3679,2.28
SP61,SiO2,40.2965,1555,
SP61,SiO2,42.4964,2424,
SP61,SiO2,45.8219,1899.11,
SP61,SiO2,50.1706,5195,1.82
SP61,SiO2,54.8774,1957.83,
SP61,SiO2,59.9935,2978.36,
SP61,SiO2,68.1793,3583.6,1.38
SP62,SiO2,20.8489,12607,4.26
SP62,SiO2,26.6648,66345,3.34
SP62,SiO2,36.5418,3527,
SP62,SiO2,39.4999,3918,2.28
SP62,SiO2,40.3021,1870,
SP62,SiO2,42.458,2902.9,
SP62,SiO2,45.8172,2031.38,
SP62,SiO2,50.129,5389,1.82
SP62,SiO2,54.892,2288.21,
SP62,SiO2,59.9559,3419.66,
SP62,SiO2,68.3288,3860.37,1.37
SP69,SiO2,20.8991,7206,4.25
SP69,Calcite,23.1051,745,
SP69,SiO2,26.6648,43959,3.34
SP69,Calcite,29.4725,3276,3.03
SP69,Calcite,36.0405,734,2.49
SP69,SiO2,36.592,2267,
SP69,SiO2,39.4999,3056,2.28
SP69,Calcite,39.4999,717.48,
SP69,SiO2,40.3021,1194,
SP69,SiO2,42.5082,1746,
SP69,Calcite,43.2101,730,2.09
SP69,SiO2,45.7671,1371.94,
SP69,Calcite,47.572,661.93,
