Angle,Observed,Calculated,Background,Dolomite_nb,Quartz_nb,Dolomite,Quartz
4.0028,1963,2053.82,2053.02,0.01,0.8,2053.03,2053.82
4.053,2006,1995.99,1995.18,0.01,0.8,1995.19,1995.98
4.1031,1925,1949.61,1948.79,0.01,0.81,1948.8,1949.6
4.1533,1972,1912.5,1911.68,0.01,0.82,1911.69,1912.5
4.2034,1865,1882.87,1882.05,0.01,0.82,1882.06,1882.87
4.2535,1871,1859.2,1858.37,0.01,0.83,1858.38,1859.2
4.3037,1914,1840.22,1839.38,0.01,0.83,1839.39,1840.21
4.3538,1835,1824.87,1824.03,0.01,0.84,1824.04,1824.87
4.4039,1814,1812.29,1811.45,0.01,0.84,1811.46,1812.29
4.4541,1843,1801.76,1800.91,0.01,0.85,1800.92,1801.76
4.5042,1757,1792.69,1791.83,0.01,0.85,1791.84,1792.68
4.5544,1882,1784.59,1783.73,0.01,0.86,1783.74,1784.59
4.6045,1800,1777.1,1776.24,0.01,0.86,1776.25,1777.1
4.6546,1846,1769.9,1769.03,0.01,0.87,1769.04,1769.9
4.7048,1747,1762.77,1761.89,0.01,0.87,1761.9,1762.76
4.7549,1741,1755.5,1754.62,0.01,0.88,1754.63,1755.5
4.805,1747,1747.98,1747.09,0.01,0.88,1747.1,1747.97
4.8552,1754,1740.09,1739.2,0.01,0.89,1739.21,1740.09
4.9053,1721,1731.78,1730.89,0.01,0.89,1730.9,1731.78
4.9554,1724,1723.01,1722.1,0.01,0.9,1722.11,1723
5.0056,1724,1713.75,1712.84,0.01,0.9,1712.85,1713.74
5.0557,1674,1704,1703.08,0.01,0.91,1703.09,1703.99
5.1059,1704,1693.77,1692.85,0.01,0.91,1692.86,1693.76
5.156,1646,1683.09,1682.16,0.01,0.92,1682.17,1683.08
5.2061,1544,1671.98,1671.05,0.01,0.92,1671.06,1671.97
5.2563,1560,1660.47,1659.54,0.01,0.93,1659.55,1660.47
5.3064,1523,1648.61,1647.67,0.01,0.93,1647.68,1648.6
5.3565,1587,1636.44,1635.49,0.01,0.94,1635.5,1636.43
5.4067,1597,1624,1623.04,0.01,0.94,1623.05,1623.98
5.4568,1550,1611.33,1610.37,0.01,0.95,1610.38,1611.32
5.507,1625,1598.47,1597.51,0.01,0.95,1597.52,1598.46
5.5571,1626,1585.48,1584.51,0.01,0.96,1584.52,1585.47
5.6072,1577,1572.38,1571.41,0.01,0.96,1571.42,1572.37
5.6574,1545,1559.22,1558.24,0.01,0.97,1558.25,1559.21
5.7075,1578,1546.04,1545.06,0.01,0.98,1545.07,1546.04
5.7576,1438,1532.87,1531.88,0.01,0.98,1531.89,1532.86
5.8078,1585,1519.74,1518.74,0.01,0.99,1518.75,1519.73
5.8579,1421,1506.68,1505.68,0.01,0.99,1505.69,1506.67
5.9081,1519,1493.73,1492.72,0.01,1,1492.73,1493.72
5.9582,1560,1480.9,1479.89,0.01,1,1479.9,1480.89
6.0083,1497,1468.22,1467.21,0.01,1.01,1467.22,1468.22
6.0585,1483,1455.71,1454.69,0.01,1.01,1454.7,1455.7
6.1086,1454,1443.39,1442.36,0.01,1.02,1442.37,1443.38
6.1587,1506,1431.27,1430.24,0.01,1.03,1430.25,1431.27
6.2089,1435,1419.37,1418.33,0.01,1.03,1418.34,1419.36
6.259,1499,1407.7,1406.65,0.01,1.04,1406.66,1407.69
6.3092,1438,1396.26,1395.21,0.01,1.04,1395.22,1396.25
