Angle,Observed,Calculated,Background,Calcite_nb,Quartz_nb,Calcite,Quartz
4.0028,1902,1988.82,1988,0.06,0.77,1988.06,1988.77
4.053,1884,1910.2,1909.37,0.06,0.77,1909.43,1910.15
4.1031,1837,1847.68,1846.85,0.06,0.78,1846.91,1847.63
4.1533,1773,1798.18,1797.34,0.06,0.78,1797.4,1798.13
4.2034,1839,1759.15,1758.3,0.06,0.79,1758.36,1759.09
4.2535,1853,1728.42,1727.57,0.06,0.79,1727.63,1728.37
4.3037,1683,1704.23,1703.37,0.06,0.8,1703.43,1704.17
4.3538,1687,1685.08,1684.22,0.06,0.8,1684.28,1685.02
4.4039,1674,1669.77,1668.9,0.06,0.8,1668.96,1669.71
4.4541,1717,1657.27,1656.4,0.06,0.81,1656.46,1657.21
4.5042,1696,1646.79,1645.92,0.06,0.81,1645.98,1646.74
4.5544,1713,1637.67,1636.79,0.06,0.82,1636.85,1637.61
4.6045,1615,1629.37,1628.49,0.06,0.82,1628.55,1629.32
4.6546,1683,1621.49,1620.6,0.06,0.83,1620.66,1621.43
4.7048,1647,1613.7,1612.81,0.06,0.83,1612.87,1613.65
4.7549,1607,1605.76,1604.86,0.06,0.84,1604.92,1605.7
4.805,1572,1597.49,1596.58,0.06,0.84,1596.64,1597.43
4.8552,1563,1588.76,1587.85,0.06,0.85,1587.91,1588.7
4.9053,1493,1579.48,1578.57,0.06,0.85,1578.63,1579.43
4.9554,1454,1569.62,1568.69,0.06,0.86,1568.75,1569.55
5.0056,1536,1559.13,1558.21,0.06,0.86,1558.27,1559.08
5.0557,1500,1548.04,1547.11,0.06,0.87,1547.17,1547.98
5.1059,1501,1536.36,1535.42,0.06,0.87,1535.48,1536.3
5.156,1470,1524.11,1523.17,0.07,0.88,1523.24,1524.05
5.2061,1469,1511.35,1510.4,0.07,0.88,1510.47,1511.29
5.2563,1517,1498.13,1497.17,0.07,0.89,1497.24,1498.06
5.3064,1450,1484.49,1483.53,0.07,0.89,1483.6,1484.43
5.3565,1441,1470.5,1469.54,0.07,0.9,1469.61,1470.44
5.4067,1411,1456.22,1455.25,0.07,0.9,1455.32,1456.16
5.4568,1477,1441.71,1440.73,0.07,0.91,1440.8,1441.64
5.507,1398,1427.02,1426.04,0.07,0.91,1426.11,1426.96
5.5571,1371,1412.21,1411.23,0.07,0.92,1411.3,1412.15
5.6072,1393,1397.34,1396.35,0.07,0.92,1396.42,1397.28
5.6574,1387,1382.47,1381.47,0.07,0.93,1381.54,1382.4
5.7075,1342,1367.63,1366.63,0.07,0.93,1366.7,1367.57
5.7576,1413,1352.87,1351.86,0.07,0.94,1351.93,1352.8
5.8078,1386,1338.24,1337.23,0.07,0.94,1337.3,1338.18
5.8579,1334,1323.78,1322.76,0.07,0.95,1322.83,1323.71
5.9081,1356,1309.51,1308.49,0.07,0.95,1308.56,1309.45
5.9582,1285,1295.48,1294.45,0.07,0.96,1294.52,1295.42
6.0083,1311,1281.7,1280.66,0.07,0.97,1280.73,1281.63
6.0585,1272,1268.2,1267.16,0.07,0.97,1267.23,1268.14
6.1086,1239,1255.01,1253.96,0.07,0.98,1254.03,1254.94
6.1587,1224,1242.14,1241.08,0.07,0.98,1241.15,1242.07
6.2089,1281,1229.6,1228.54,0.07,0.99,1228.61,1229.53
6.259,1243,1217.41,1216.35,0.07,0.99,1216.42,1217.35
6.3092,1293,1205.59,1204.52,0.07,1,1204.59,1205.52
6.3593,1185,1194.12,1193.05,0.07,1,1193.12,1194.06
6.4094,1205,1183.03,1181.95,0.07,1.01,1182.02,1182.97
6.4596,1209,1172.31,1171.22,0.07,1.02,1171.29,1172.24
6.5097,1176,1161.97,1160.87,0.07,1.02,1160.94,1161.9
6.5598,1222,1152,1150.89,0.07,1.03,1150.96,1151.92
6.61,1163,1142.4,1141.29,0.07,1.03,1141.36,1142.33
6.6601,1127,1133.16,1132.05,0.07,1.04,1132.12,1133.09
6.7102,1146,1124.29,1123.17,0.08,1.04,1123.25,1124.22
6.7604,1144,1115.78,1114.66,0.08,1.05,1114.74,1115.72
6.8105,1140,1107.62,1106.49,0.08,1.06,1106.57,1107.55
6.8607,1125,1099.8,1098.66,0.08,1.06,1098.74,1099.73
6.9108,1105,1092.31,1091.16,0.08,1.07,1091.24,1092.23
6.9609,1091,1085.14,1083.99,0.08,1.07,1084.07,1085.07
7.0111,1108,1078.29,1077.13,0.08,1.08,1077.21,1078.22
7.0612,1107,1071.74,1070.57,0.08,1.09,1070.65,1071.66
7.1113,1062,1065.48,1064.3,0.08,1.09,1064.38,1065.4
7.1615,1108,1059.5,1058.32,0.08,1.1,1058.4,1059.43
7.2116,1043,1053.79,1052.6,0.08,1.11,1052.68,1053.71
7.2618,1065,1048.33,1047.14,0.08,1.11,1047.22,1048.26
7.3119,1064,1043.12,1041.93,0.08,1.12,1042.01,1043.06
7.362,1048,1038.15,1036.94,0.08,1.13,1037.02,1038.07
7.4122,1013,1033.4,1032.19,0.08,1.13,1032.27,1033.33
7.4623,1014,1028.86,1027.64,0.08,1.14,1027.72,1028.79
7.5124,1088,1024.51,1023.29,0.08,1.15,1023.37,1024.44
7.5626,996,1020.36,1019.13,0.08,1.15,1019.21,1020.29
7.6127,990,1016.38,1015.14,0.08,1.16,1015.22,1016.31
7.6629,968,1012.57,1011.32,0.08,1.17,1011.4,1012.49
7.713,1006,1008.91,1007.65,0.08,1.17,1007.73,1008.83
7.7631,998,1005.39,1004.13,0.08,1.18,1004.21,1005.32
