Angle,Observed,Calculated,Background,Quartz_nb,Calcite_nb,Quartz,Calcite
14.1532,708,711.24,707.43,3.79,0.01,711.22,707.44
14.2044,700,708.33,704.49,3.83,0.01,708.32,704.5
14.2555,754,705.48,701.59,3.87,0.01,705.46,701.6
14.3067,733,702.66,698.73,3.91,0.01,702.64,698.74
14.3579,721,699.88,695.91,3.95,0.01,699.86,695.92
14.409,706,697.14,693.13,3.99,0.01,697.12,693.14
14.4602,680,694.45,690.4,4.04,0.01,694.44,690.41
14.5113,702,691.79,687.7,4.08,0.02,691.78,687.72
14.5625,664,689.18,685.04,4.12,0.02,689.16,685.06
14.6137,660,686.6,682.42,4.17,0.02,686.59,682.44
14.6648,659,684.07,679.85,4.21,0.02,684.06,679.87
14.716,672,681.58,677.3,4.26,0.02,681.56,677.32
14.7671,632,679.13,674.81,4.31,0.02,679.12,674.83
14.8183,627,676.71,672.34,4.35,0.02,676.69,672.36
14.8695,653,674.34,669.92,4.4,0.02,674.32,669.94
14.9206,659,672.01,667.54,4.45,0.02,671.99,667.56
14.9718,696,669.71,665.19,4.5,0.02,669.69,665.21
15.0229,677,667.46,662.89,4.56,0.02,667.45,662.91
15.0741,627,665.25,660.62,4.61,0.02,665.23,660.64
15.1253,708,663.07,658.39,4.66,0.02,663.05,658.41
15.1764,694,660.93,656.19,4.72,0.02,660.91,656.21
15.2276,679,658.83,654.04,4.78,0.02,658.82,654.06
15.2788,631,656.77,651.91,4.84,0.02,656.75,651.93
15.3299,658,654.74,649.83,4.89,0.02,654.72,649.85
15.3811,671,652.76,647.78,4.95,0.02,652.73,647.8
15.4322,645,650.81,645.78,5.02,0.02,650.8,645.8
15.4834,692,648.9,643.8,5.08,0.02,648.88,643.82
15.5346,643,647.02,641.86,5.14,0.02,647,641.88
15.5857,662,645.18,639.96,5.21,0.02,645.17,639.98
15.6369,660,643.38,638.09,5.28,0.02,643.37,638.11
15.688,630,641.62,636.25,5.35,0.02,641.6,636.27
15.7392,601,639.89,634.45,5.42,0.02,639.87,634.47
15.7904,581,638.19,632.68,5.49,0.02,638.17,632.7
15.8415,563,636.53,630.95,5.56,0.02,636.51,630.97
15.8927,616,634.91,629.25,5.64,0.02,634.89,629.27
15.9438,601,633.32,627.59,5.72,0.02,633.31,627.61
15.995,651,631.77,625.95,5.8,0.02,631.75,625.97
16.0462,639,630.25,624.35,5.88,0.02,630.23,624.37
16.0973,623,628.76,622.78,5.96,0.02,628.74,622.8
16.1485,601,627.31,621.24,6.05,0.02,627.29,621.26
16.1997,610,625.89,619.74,6.14,0.02,625.88,619.76
16.2508,637,624.51,618.26,6.23,0.02,624.49,618.28
16.302,665,623.16,616.82,6.32,0.02,623.14,616.84
16.3531,570,621.84,615.41,6.42,0.02,621.83,615.43
16.4043,553,620.56,614.02,6.51,0.02,620.53,614.04
16.4555,626,619.3,612.67,6.62,0.02,619.29,612.69
16.5066,605,618.08,611.34,6.72,0.02,618.06,611.36
16.5578,611,616.89,610.05,6.83,0.02,616.88,610.07
16.6089,576,615.74,608.78,6.94,0.02,615.72,608.8
16.6601,601,614.61,607.54,7.05,0.02,614.59,607.56
16.7113,542,613.52,606.33,7.17,0.02,613.5,606.35
16.7624,640,612.46,605.15,7.29,0.02,612.44,605.17
16.8136,569,611.42,603.99,7.41,0.02,611.4,604.01
16.8647,593,610.42,602.86,7.54,0.02,610.4,602.88
16.9159,604,609.45,601.76,7.68,0.02,609.44,601.78
16.9671,584,608.51,600.68,7.81,0.02,608.49,600.7
17.0182,565,607.6,599.63,7.95,0.02,607.58,599.65
17.0694,637,606.72,598.6,8.1,0.02,606.7,598.62
17.1206,635,605.87,597.6,8.25,0.02,605.85,597.62
17.1717,564,605.06,596.63,8.41,0.02,605.04,596.65
17.2229,568,604.27,595.67,8.57,0.02,604.24,595.69
17.274,639,603.51,594.75,8.74,0.02,603.49,594.77
17.3252,591,602.78,593.84,8.91,0.02,602.75,593.86
17.3764,612,602.08,592.96,9.09,0.02,602.05,592.98
17.4275,625,601.41,592.1,9.28,0.02,601.38,592.12
17.4787,574,600.77,591.27,9.48,0.02,600.75,591.29
17.5298,579,600.16,590.45,9.68,0.02,600.13,590.47
17.581,591,599.58,589.66,9.89,0.02,599.55,589.68
17.6322,592,599.03,588.89,10.11,0.03,599,588.92
17.6833,615,598.51,588.14,10.34,0.03,598.48,588.17
17.7345,540,598.02,587.41,10.58,0.03,597.99,587.44
17.7856,623,597.56,586.71,10.83,0.03,597.54,586.74
17.8368,617,597.13,586.02,11.09,0.03,597.11,586.05
17.888,561,596.74,585.35,11.36,0.03,596.71,585.38
17.9391,623,596.38,584.7,11.65,0.03,596.35,584.73
17.9903,572,596.05,584.07,11.95,0.03,596.02,584.1
18.0415,567,595.75,583.46,12.27,0.03,595.73,583.49
18.0926,545,595.49,582.86,12.6,0.03,595.46,582.89
18.1438,587,595.26,582.29,12.94,0.03,595.23,582.32
18.1949,615,595.06,581.73,13.31,0.03,595.04,581.76
18.2461,599,594.91,581.19,13.69,0.03,594.88,581.22
18.2973,610,594.79,580.66,14.1,0.03,594.76,580.69
18.3484,576,594.72,580.16,14.53,0.03,594.69,580.19
18.3996,589,594.68,579.67,14.99,0.03,594.66,579.7
18.4507,568,594.69,579.19,15.47,0.03,594.66,579.22
18.5019,572,594.74,578.73,15.98,0.03,594.71,578.76
18.5531,546,594.85,578.29,16.53,0.03,594.82,578.32
18.6042,594,595,577.86,17.11,0.03,594.97,577.89
18.6554,624,595.41,577.44,17.94,0.03,595.38,577.47
18.7065,600,597.21,577.04,20.14,0.03,597.18,577.07
18.7577,627,603.11,576.66,26.42,0.03,603.08,576.69
18.8089,637,616.1,576.28,39.79,0.03,616.07,576.31
18.86,667,619.48,575.92,43.53,0.03,619.45,575.95
18.9112,641,609.91,575.58,34.31,0.03,609.89,575.61
18.9624,639,604.56,575.24,29.28,0.03,604.52,575.27
19.0135,592,602.36,574.92,27.41,0.03,602.33,574.95
19.0647,632,601.55,574.61,26.91,0.03,601.52,574.64
19.1158,617,601.45,574.31,27.1,0.04,601.41,574.35
19.167,660,601.76,574.03,27.7,0.04,601.73,574.07
19.2182,664,602.38,573.75,28.59,0.04,602.34,573.79
19.2693,658,603.24,573.49,29.72,0.04,603.21,573.53
19.3205,661,604.32,573.23,31.05,0.04,604.28,573.27
19.3716,694,605.62,572.99,32.59,0.04,605.58,573.03
19.4228,696,607.12,572.75,34.32,0.04,607.07,572.79
19.474,670,608.88,572.53,36.31,0.04,608.84,572.57
19.5251,663,610.89,572.32,38.53,0.04,610.85,572.36
19.5763,635,613.2,572.11,41.05,0.04,613.16,572.15
19.6274,731,615.85,571.91,43.89,0.04,615.8,571.95
19.6786,732,618.89,571.73,47.12,0.04,618.85,571.77
19.7298,712,622.38,571.55,50.79,0.04,622.34,571.59
19.7809,737,626.4,571.38,54.98,0.04,626.36,571.42
19.8321,728,631.07,571.21,59.81,0.04,631.02,571.25
19.8832,763,636.5,571.06,65.4,0.04,636.46,571.1
19.9344,762,642.88,570.91,71.92,0.05,642.83,570.96
19.9856,815,650.42,570.76,79.61,0.05,650.37,570.81
20.0367,851,659.39,570.63,88.71,0.05,659.34,570.68
20.0879,855,670.1,570.5,99.55,0.05,670.05,570.55
20.1391,891,683.27,570.38,112.85,0.05,683.23,570.43
20.1902,809,699.51,570.26,129.2,0.05,699.46,570.31
20.2414,905,719.92,570.15,149.72,0.05,719.87,570.2
