Angle,Observed,Calculated,Background,Quartz_nb,Calcite_bn,Quartz,Calcite
8.4149,1244,1232.85,1231.4,1.44,0.01,1232.84,1231.41
8.465,1270,1227.06,1225.6,1.45,0.01,1227.05,1225.61
8.5152,1227,1221.32,1219.84,1.46,0.01,1221.3,1219.85
8.5653,1243,1215.6,1214.12,1.47,0.02,1215.59,1214.14
8.6155,1163,1209.92,1208.43,1.47,0.02,1209.9,1208.45
8.6656,1192,1204.27,1202.77,1.48,0.02,1204.25,1202.79
8.7157,1189,1198.64,1197.13,1.49,0.02,1198.62,1197.15
8.7659,1257,1193.04,1191.52,1.5,0.02,1193.02,1191.54
8.816,1249,1187.46,1185.93,1.51,0.02,1187.44,1185.95
8.8661,1158,1181.9,1180.36,1.52,0.02,1181.88,1180.38
8.9163,1170,1176.35,1174.81,1.53,0.02,1176.34,1174.83
8.9664,1183,1170.83,1169.28,1.54,0.02,1170.82,1169.3
9.0166,1117,1165.32,1163.76,1.54,0.02,1165.3,1163.78
9.0667,1158,1159.83,1158.26,1.55,0.02,1159.81,1158.28
9.1168,1055,1154.35,1152.77,1.56,0.02,1154.33,1152.79
9.167,1082,1148.88,1147.29,1.57,0.02,1148.86,1147.31
9.2171,1116,1143.42,1141.82,1.58,0.02,1143.4,1141.84
9.2672,1142,1137.97,1136.36,1.59,0.02,1137.95,1136.38
9.3174,1140,1132.53,1130.92,1.6,0.02,1132.52,1130.94
9.3675,1064,1127.1,1125.48,1.61,0.02,1127.09,1125.5
9.4177,1100,1121.69,1120.05,1.62,0.02,1121.67,1120.07
9.4678,1100,1116.27,1114.63,1.63,0.02,1116.26,1114.65
9.5179,1116,1110.87,1109.21,1.64,0.02,1110.85,1109.23
9.5681,1079,1105.48,1103.81,1.65,0.02,1105.46,1103.83
9.6182,1113,1100.09,1098.41,1.66,0.02,1100.07,1098.43
9.6683,1021,1094.71,1093.03,1.67,0.02,1094.7,1093.05
9.7185,1047,1089.34,1087.65,1.68,0.02,1089.33,1087.67
9.7686,1027,1083.98,1082.27,1.69,0.02,1083.96,1082.29
9.8188,938,1078.63,1076.91,1.7,0.02,1078.61,1076.93
9.8689,1011,1073.29,1071.56,1.71,0.02,1073.27,1071.58
9.919,1011,1067.95,1066.21,1.73,0.02,1067.94,1066.23
9.9692,1070,1062.63,1060.88,1.74,0.02,1062.62,1060.9
10.0193,1049,1057.32,1055.55,1.75,0.02,1057.3,1055.57
10.0694,1036,1052.02,1050.24,1.76,0.02,1052,1050.26
10.1196,1047,1046.73,1044.94,1.77,0.02,1046.71,1044.96
10.1697,1038,1041.45,1039.65,1.78,0.02,1041.43,1039.67
10.2198,1010,1036.18,1034.37,1.79,0.02,1036.16,1034.39
10.27,1032,1030.93,1029.11,1.8,0.02,1030.91,1029.13
10.3201,966,1025.7,1023.86,1.82,0.02,1025.68,1023.88
10.3703,1034,1020.47,1018.63,1.83,0.02,1020.46,1018.65
10.4204,1047,1015.27,1013.41,1.84,0.02,1015.25,1013.43
10.4705,1057,1010.08,1008.21,1.85,0.02,1010.06,1008.23
10.5207,1003,1004.91,1003.03,1.87,0.02,1004.9,1003.05
10.5708,997,999.76,997.86,1.88,0.02,999.74,997.88
10.6209,1021,994.62,992.71,1.89,0.02,994.6,992.73
10.6711,1016,989.51,987.59,1.9,0.02,989.49,987.61
10.7212,951,984.42,982.48,1.92,0.02,984.4,982.5
10.7714,992,979.35,977.4,1.93,0.02,979.33,977.42
10.8215,972,974.3,972.34,1.94,0.02,974.28,972.36
10.8716,991,969.28,967.3,1.96,0.02,969.26,967.32
10.9218,974,964.28,962.29,1.97,0.02,964.26,962.31
10.9719,966,959.31,957.3,1.98,0.02,959.28,957.32
11.022,1022,954.36,952.34,2,0.02,954.34,952.36
11.0722,932,949.44,947.41,2.01,0.02,949.42,947.43
11.1223,918,944.55,942.51,2.03,0.02,944.54,942.53
11.1725,979,939.69,937.63,2.04,0.02,939.67,937.65
