Angle,Observed,Calculated,Background,Calcite_nb,Quartz_nb,Calcite,Quartz
4.0233,1904,1911.71,1911.15,0.2,0.36,1911.35,1911.51
4.0745,1794,1882.44,1881.88,0.2,0.36,1882.08,1882.24
4.1256,1893,1857.2,1856.63,0.2,0.37,1856.83,1857
4.1768,1814,1835.18,1834.61,0.2,0.37,1834.81,1834.98
4.228,1869,1815.68,1815.11,0.2,0.37,1815.31,1815.48
4.2791,1793,1798.14,1797.57,0.2,0.37,1797.77,1797.94
4.3303,1852,1782.09,1781.51,0.2,0.38,1781.71,1781.89
4.3814,1815,1767.15,1766.56,0.2,0.38,1766.76,1766.94
4.4326,1734,1752.99,1752.4,0.21,0.38,1752.61,1752.78
4.4838,1707,1739.36,1738.78,0.21,0.38,1738.99,1739.16
4.5349,1749,1726.08,1725.48,0.21,0.39,1725.69,1725.87
4.5861,1706,1712.96,1712.37,0.21,0.39,1712.58,1712.76
4.6373,1714,1699.9,1699.3,0.21,0.39,1699.51,1699.69
4.6884,1745,1686.79,1686.19,0.21,0.39,1686.4,1686.58
4.7396,1715,1673.58,1672.97,0.21,0.39,1673.18,1673.36
4.7907,1708,1660.19,1659.58,0.21,0.4,1659.79,1659.98
4.8419,1623,1646.62,1646.01,0.21,0.4,1646.22,1646.41
4.8931,1639,1632.84,1632.22,0.22,0.4,1632.44,1632.62
4.9442,1610,1618.83,1618.21,0.22,0.4,1618.43,1618.61
4.9954,1597,1604.62,1603.99,0.22,0.41,1604.21,1604.4
5.0465,1556,1590.19,1589.57,0.22,0.41,1589.79,1589.98
5.0977,1575,1575.58,1574.95,0.22,0.41,1575.17,1575.36
5.1489,1604,1560.79,1560.16,0.22,0.41,1560.38,1560.57
5.2,1458,1545.85,1545.21,0.22,0.42,1545.43,1545.63
5.2512,1465,1530.79,1530.15,0.22,0.42,1530.37,1530.57
5.3023,1447,1515.62,1514.97,0.22,0.42,1515.19,1515.39
5.3535,1442,1500.37,1499.73,0.22,0.42,1499.95,1500.15
5.4047,1412,1485.08,1484.43,0.23,0.43,1484.66,1484.86
5.4558,1371,1469.76,1469.1,0.23,0.43,1469.33,1469.53
5.507,1473,1454.44,1453.78,0.23,0.43,1454.01,1454.21
5.5582,1392,1439.14,1438.48,0.23,0.43,1438.71,1438.91
5.6093,1416,1423.89,1423.23,0.23,0.44,1423.46,1423.67
5.6605,1404,1408.72,1408.05,0.23,0.44,1408.28,1408.49
5.7116,1447,1393.63,1392.95,0.23,0.44,1393.18,1393.39
5.7628,1408,1378.65,1377.97,0.23,0.44,1378.2,1378.41
5.814,1303,1363.79,1363.11,0.24,0.45,1363.35,1363.56
5.8651,1356,1349.08,1348.4,0.24,0.45,1348.64,1348.85
5.9163,1351,1334.53,1333.84,0.24,0.45,1334.08,1334.29
5.9674,1391,1320.15,1319.46,0.24,0.45,1319.7,1319.91
6.0186,1389,1305.96,1305.26,0.24,0.46,1305.5,1305.72
6.0698,1308,1291.96,1291.26,0.24,0.46,1291.5,1291.72
