Angle,Observed,Calculated,Background,Quartz_nb,Quartz
4.0028,1781,1847.1,1846.4,0.7,1847.1
4.053,1759,1794.43,1793.72,0.71,1794.43
4.1031,1713,1751.83,1751.12,0.71,1751.83
4.1533,1684,1717.4,1716.68,0.72,1717.4
4.2034,1802,1689.57,1688.85,0.72,1689.57
4.2535,1656,1667.02,1666.29,0.73,1667.02
4.3037,1710,1648.64,1647.91,0.73,1648.64
4.3538,1762,1633.51,1632.77,0.74,1633.51
4.4039,1735,1620.87,1620.13,0.74,1620.87
4.4541,1590,1610.1,1609.35,0.74,1610.09
4.5042,1604,1600.67,1599.93,0.75,1600.68
4.5544,1617,1592.19,1591.44,0.75,1592.19
4.6045,1575,1584.31,1583.55,0.76,1584.31
4.6546,1586,1576.76,1575.99,0.76,1576.75
4.7048,1557,1569.34,1568.57,0.77,1569.34
4.7549,1559,1561.89,1561.12,0.77,1561.89
4.805,1535,1554.29,1553.51,0.78,1554.29
4.8552,1472,1546.45,1545.67,0.78,1546.45
4.9053,1557,1538.32,1537.53,0.78,1538.31
4.9554,1555,1529.85,1529.06,0.79,1529.85
5.0056,1482,1521.04,1520.24,0.79,1521.03
5.0557,1426,1511.87,1511.07,0.8,1511.87
5.1059,1496,1502.36,1501.56,0.8,1502.36
5.156,1436,1492.52,1491.72,0.81,1492.53
5.2061,1431,1482.38,1481.57,0.81,1482.38
5.2563,1441,1471.96,1471.15,0.82,1471.97
5.3064,1400,1461.3,1460.48,0.82,1461.3
5.3565,1421,1450.43,1449.61,0.83,1450.44
5.4067,1406,1439.4,1438.56,0.83,1439.39
5.4568,1412,1428.22,1427.38,0.84,1428.22
5.507,1324,1416.94,1416.1,0.84,1416.94
5.5571,1425,1405.6,1404.76,0.85,1405.61
5.6072,1403,1394.23,1393.38,0.85,1394.23
5.6574,1389,1382.87,1382.01,0.85,1382.86
5.7075,1346,1371.53,1370.67,0.86,1371.53
5.7576,1377,1360.26,1359.39,0.86,1360.25
5.8078,1340,1349.07,1348.2,0.87,1349.07
5.8579,1382,1338,1337.12,0.87,1337.99
5.9081,1335,1327.06,1326.18,0.88,1327.06
5.9582,1325,1316.27,1315.39,0.88,1316.27
6.0083,1397,1305.66,1304.77,0.89,1305.66
6.0585,1360,1295.23,1294.34,0.89,1295.23
6.1086,1365,1285.01,1284.11,0.9,1285.01
6.1587,1268,1275.01,1274.1,0.9,1275
6.2089,1347,1265.22,1264.31,0.91,1265.22
6.259,1246,1255.67,1254.76,0.92,1255.68
6.3092,1280,1246.36,1245.44,0.92,1246.36
6.3593,1268,1237.3,1236.37,0.93,1237.3
6.4094,1310,1228.48,1227.55,0.93,1228.48
6.4596,1175,1219.92,1218.98,0.94,1219.92
6.5097,1243,1211.6,1210.66,0.94,1211.6
