Angle,Observed,Calculated,Background,Quartz_nb,Dolomite_nb,Quartz (SiO2),Dolomite (CaMg(CO3)2)
24.897,629,711.35,613.56,97.77,0.01,711.33,613.57
24.9482,572,716.56,613.43,103.12,0.01,716.55,613.44
24.9994,607,722.32,613.29,109.03,0.01,722.32,613.3
25.0505,622,728.69,613.14,115.55,0.01,728.69,613.15
25.1017,630,735.76,612.98,122.77,0.01,735.75,612.99
25.1528,618,743.6,612.81,130.78,0.01,743.59,612.82
25.204,632,752.32,612.64,139.67,0.01,752.31,612.65
25.2552,638,762.06,612.46,149.59,0.01,762.05,612.47
25.3063,650,772.96,612.27,160.68,0.01,772.95,612.28
25.3575,670,785.21,612.08,173.13,0.01,785.21,612.09
25.4086,700,798.93,611.87,187.05,0.01,798.92,611.88
25.4598,751,814.59,611.66,202.92,0.01,814.58,611.67
25.511,772,832.43,611.44,220.98,0.01,832.42,611.45
25.5621,765,852.87,611.22,241.64,0.01,852.86,611.23
25.6133,835,876.42,610.99,265.43,0.01,876.42,611
25.6644,1063,903.76,610.74,293.01,0.01,903.75,610.75
25.7156,1224,935.71,610.5,325.21,0.01,935.71,610.51
25.7668,1310,973.38,610.24,363.13,0.01,973.37,610.25
25.8179,1243,1018.19,609.98,408.2,0,1018.18,609.98
25.8691,1253,1072.06,609.71,462.35,0,1072.06,609.71
25.9203,1366,1137.61,609.43,528.18,0,1137.61,609.43
25.9714,1405,1218.45,609.15,609.3,0,1218.45,609.15
26.0226,1329,1319.7,608.85,710.85,0,1319.7,608.85
26.0737,1531,1448.88,608.55,840.32,0,1448.87,608.55
26.1249,1570,1617.24,608.25,1008.99,0,1617.24,608.25
26.1761,1709,1842.4,607.93,1234.46,0.01,1842.39,607.94
26.2272,1815,2153.1,607.61,1545.48,0.01,2153.09,607.62
26.2784,2069,2594.26,607.28,1986.97,0.01,2594.25,607.29
26.3295,2629,3263.37,606.95,2656.42,0.01,3263.37,606.96
26.3807,3532,4336.8,606.6,3730.19,0.01,4336.79,606.61
26.4319,5140,6200.65,606.25,5594.39,0.01,6200.64,606.26
26.483,8605,9729.23,605.9,9123.33,0.01,9729.23,605.91
26.5342,16565,16986.82,605.53,16381.28,0.01,16986.81,605.54
