Angle,Observed,Calculated,Background,Calcite_nb,Quartz_nb,Calcite,Quartz
4.0233,1982,2017.34,2016.61,0.09,0.64,2016.7,2017.25
4.0745,2004,1975.69,1974.95,0.09,0.64,1975.04,1975.59
4.1256,1989,1940.01,1939.26,0.1,0.65,1939.36,1939.91
4.1768,1818,1909.15,1908.41,0.1,0.65,1908.51,1909.06
4.228,1863,1882.13,1881.37,0.1,0.66,1881.47,1882.03
4.2791,1828,1858.11,1857.36,0.1,0.66,1857.46,1858.02
4.3303,1900,1836.46,1835.7,0.1,0.66,1835.8,1836.36
4.3814,1891,1816.62,1815.85,0.1,0.67,1815.95,1816.52
4.4326,1792,1798.15,1797.38,0.1,0.67,1797.48,1798.05
4.4838,1761,1780.7,1779.93,0.1,0.68,1780.03,1780.61
4.5349,1802,1763.99,1763.21,0.1,0.68,1763.31,1763.89
4.5861,1741,1747.79,1747,0.1,0.68,1747.1,1747.68
4.6373,1791,1731.93,1731.14,0.1,0.69,1731.24,1731.83
4.6884,1756,1716.28,1715.48,0.1,0.69,1715.58,1716.17
4.7396,1780,1700.74,1699.94,0.1,0.7,1700.04,1700.64
4.7907,1661,1685.24,1684.43,0.1,0.7,1684.53,1685.13
4.8419,1614,1669.74,1668.93,0.1,0.71,1669.03,1669.64
4.8931,1671,1654.2,1653.39,0.1,0.71,1653.49,1654.1
4.9442,1602,1638.62,1637.8,0.1,0.71,1637.9,1638.51
4.9954,1598,1622.98,1622.16,0.1,0.72,1622.26,1622.88
5.0465,1569,1607.31,1606.48,0.1,0.72,1606.58,1607.2
5.0977,1542,1591.6,1590.77,0.11,0.73,1590.88,1591.5
5.1489,1576,1575.88,1575.04,0.11,0.73,1575.15,1575.77
5.2,1591,1560.17,1559.33,0.11,0.73,1559.44,1560.06
5.2512,1496,1544.49,1543.64,0.11,0.74,1543.75,1544.38
5.3023,1474,1528.87,1528.02,0.11,0.74,1528.13,1528.76
5.3535,1508,1513.33,1512.48,0.11,0.75,1512.59,1513.23
5.4047,1495,1497.9,1497.04,0.11,0.75,1497.15,1497.79
5.4558,1439,1482.61,1481.74,0.11,0.76,1481.85,1482.5
5.507,1424,1467.47,1466.6,0.11,0.76,1466.71,1467.36
5.5582,1469,1452.51,1451.63,0.11,0.76,1451.74,1452.39
5.6093,1412,1437.75,1436.87,0.11,0.77,1436.98,1437.64
5.6605,1364,1423.2,1422.32,0.11,0.77,1422.43,1423.09
5.7116,1422,1408.9,1408.01,0.11,0.78,1408.12,1408.79
5.7628,1407,1394.84,1393.95,0.11,0.78,1394.06,1394.73
5.814,1419,1381.05,1380.15,0.11,0.79,1380.26,1380.94
5.8651,1399,1367.54,1366.63,0.11,0.79,1366.74,1367.42
5.9163,1336,1354.31,1353.4,0.11,0.8,1353.51,1354.2
5.9674,1354,1341.37,1340.46,0.11,0.8,1340.57,1341.26
6.0186,1385,1328.74,1327.82,0.11,0.81,1327.93,1328.63
6.0698,1376,1316.41,1315.49,0.12,0.81,1315.61,1316.3
6.1209,1382,1304.4,1303.47,0.12,0.81,1303.59,1304.28
6.1721,1295,1292.69,1291.75,0.12,0.82,1291.87,1292.57
6.2232,1266,1281.29,1280.35,0.12,0.82,1280.47,1281.17
6.2744,1331,1270.21,1269.26,0.12,0.83,1269.38,1270.09
6.3256,1293,1259.44,1258.49,0.12,0.83,1258.61,1259.32
6.3767,1212,1248.97,1248.01,0.12,0.84,1248.13,1248.85
6.4279,1239,1238.81,1237.85,0.12,0.84,1237.97,1238.69
6.4791,1222,1228.95,1227.98,0.12,0.85,1228.1,1228.83
6.5302,1236,1219.38,1218.41,0.12,0.85,1218.53,1219.26
6.5814,1250,1210.1,1209.12,0.12,0.86,1209.24,1209.98
6.6325,1195,1201.11,1200.12,0.12,0.86,1200.24,1200.98
6.6837,1158,1192.39,1191.4,0.12,0.87,1191.52,1192.27
6.7349,1201,1183.94,1182.94,0.12,0.87,1183.06,1183.81
6.786,1229,1175.75,1174.74,0.12,0.88,1174.86,1175.62
6.8372,1151,1167.81,1166.8,0.12,0.88,1166.92,1167.68
6.8883,1130,1160.12,1159.11,0.12,0.89,1159.23,1160
6.9395,1226,1152.67,1151.65,0.13,0.89,1151.78,1152.54
6.9907,1185,1145.44,1144.42,0.13,0.9,1144.55,1145.32
7.0418,1170,1138.43,1137.4,0.13,0.9,1137.53,1138.3
7.093,1087,1131.64,1130.6,0.13,0.91,1130.73,1131.51
7.1441,1127,1125.05,1124.01,0.13,0.92,1124.14,1124.93
7.1953,1151,1118.65,1117.6,0.13,0.92,1117.73,1118.52
7.2465,1117,1112.44,1111.39,0.13,0.93,1111.52,1112.32
7.2976,1088,1106.41,1105.35,0.13,0.93,1105.48,1106.28
7.3488,1141,1100.54,1099.48,0.13,0.94,1099.61,1100.42
7.4,1061,1094.84,1093.77,0.13,0.94,1093.9,1094.71
7.4511,1023,1089.29,1088.21,0.13,0.95,1088.34,1089.16
7.5023,1061,1083.88,1082.8,0.13,0.95,1082.93,1083.75
7.5534,1020,1078.61,1077.52,0.13,0.96,1077.65,1078.48
7.6046,1063,1073.47,1072.37,0.13,0.97,1072.5,1073.34
7.6558,1010,1068.46,1067.35,0.13,0.97,1067.48,1068.32
7.7069,1073,1063.55,1062.44,0.13,0.98,1062.57,1063.42
7.7581,1047,1058.76,1057.64,0.14,0.98,1057.78,1058.62
7.8092,1120,1054.06,1052.94,0.14,0.99,1053.08,1053.93
7.8604,1062,1049.47,1048.34,0.14,0.99,1048.48,1049.33
7.9116,1094,1044.96,1043.82,0.14,1,1043.96,1044.82
7.9627,1023,1040.53,1039.39,0.14,1.01,1039.53,1040.4
8.0139,1064,1036.18,1035.03,0.14,1.01,1035.17,1036.04
8.065,1050,1031.9,1030.74,0.14,1.02,1030.88,1031.76
8.1162,1004,1027.69,1026.52,0.14,1.02,1026.66,1027.54
8.1674,990,1023.54,1022.37,0.14,1.03,1022.51,1023.4
8.2185,1007,1019.44,1018.26,0.14,1.04,1018.4,1019.3
8.2697,956,1015.4,1014.21,0.14,1.04,1014.35,1015.25
8.3209,996,1011.4,1010.21,0.14,1.05,1010.35,1011.26
8.372,996,1007.45,1006.25,0.14,1.05,1006.39,1007.3
8.4232,975,1003.53,1002.33,0.14,1.06,1002.47,1003.39
8.4743,938,999.66,998.44,0.14,1.07,998.58,999.51
8.5255,1044,995.81,994.59,0.15,1.07,994.74,995.66
8.5767,984,991.99,990.77,0.15,1.08,990.92,991.85
8.6278,1010,988.2,986.97,0.15,1.09,987.12,988.06
8.679,982,984.43,983.19,0.15,1.09,983.34,984.28
8.7301,930,980.68,979.44,0.15,1.1,979.59,980.54
8.7813,962,976.95,975.7,0.15,1.11,975.85,976.81
8.8325,911,973.23,971.97,0.15,1.11,972.12,973.08
8.8836,1016,969.53,968.26,0.15,1.12,968.41,969.38
8.9348,977,965.84,964.56,0.15,1.13,964.71,965.69
8.9859,957,962.16,960.87,0.15,1.13,961.02,962
9.0371,1017,958.48,957.19,0.15,1.14,957.34,958.33
9.0883,892,954.81,953.51,0.15,1.15,953.66,954.66
9.1394,996,951.15,949.84,0.15,1.15,949.99,950.99
9.1906,938,947.49,946.17,0.15,1.16,946.32,947.33
9.2417,982,943.83,942.51,0.15,1.17,942.66,943.68
9.2929,974,940.17,938.84,0.16,1.17,939,940.01
9.3441,963,936.51,935.18,0.16,1.18,935.34,936.36
9.3952,902,932.86,931.51,0.16,1.19,931.67,932.7
9.4464,879,929.2,927.84,0.16,1.2,928,929.04
9.4976,996,925.54,924.17,0.16,1.2,924.33,925.37
9.5487,963,921.87,920.5,0.16,1.21,920.66,921.71
9.5999,862,918.21,916.83,0.16,1.22,916.99,918.05
9.651,892,914.54,913.15,0.16,1.23,913.31,914.38
9.7022,900,910.87,909.47,0.16,1.23,909.63,910.7
9.7534,916,907.19,905.79,0.16,1.24,905.95,907.03
9.8045,938,903.52,902.1,0.16,1.25,902.26,903.35
9.8557,912,899.84,898.41,0.16,1.26,898.57,899.67
9.9068,815,896.15,894.72,0.17,1.27,894.89,895.99
9.958,840,892.46,891.02,0.17,1.28,891.19,892.3
10.0092,909,888.78,887.32,0.17,1.28,887.49,888.6
10.0603,868,885.08,883.62,0.17,1.29,883.79,884.91
10.1115,870,881.39,879.92,0.17,1.3,880.09,881.22
10.1626,891,877.69,876.21,0.17,1.31,876.38,877.52
10.2138,897,874,872.51,0.17,1.32,872.68,873.83
10.265,882,870.3,868.8,0.17,1.33,868.97,870.13
10.3161,892,866.6,865.09,0.17,1.34,865.26,866.43
10.3673,868,862.9,861.38,0.17,1.34,861.55,862.72
10.4185,888,859.2,857.67,0.17,1.35,857.84,859.02
10.4696,807,855.5,853.97,0.17,1.36,854.14,855.33
10.5208,874,851.81,850.26,0.18,1.37,850.44,851.63
10.5719,848,848.11,846.56,0.18,1.38,846.74,847.94
10.6231,870,844.42,842.85,0.18,1.39,843.03,844.24
10.6743,880,840.73,839.16,0.18,1.4,839.34,840.56
10.7254,862,837.05,835.46,0.18,1.41,835.64,836.87
10.7766,866,833.37,831.77,0.18,1.42,831.95,833.19
10.8277,845,829.7,828.09,0.18,1.43,828.27,829.52
10.8789,810,826.03,824.41,0.18,1.44,824.59,825.85
10.9301,813,822.37,820.74,0.18,1.45,820.92,822.19
10.9812,799,818.72,817.08,0.18,1.46,817.26,818.54
11.0324,841,815.08,813.42,0.18,1.47,813.6,814.89
11.0835,833,811.44,809.78,0.19,1.48,809.97,811.26
11.1347,781,807.82,806.14,0.19,1.49,806.33,807.63
11.1859,817,804.2,802.51,0.19,1.5,802.7,804.01
11.237,841,800.6,798.9,0.19,1.51,799.09,800.41
11.2882,802,797.01,795.29,0.19,1.52,795.48,796.81
11.3394,778,793.43,791.7,0.19,1.54,791.89,793.24
11.3905,776,789.86,788.12,0.19,1.55,788.31,789.67
11.4417,766,786.31,784.56,0.19,1.56,784.75,786.12
11.4928,728,782.77,781.01,0.19,1.57,781.2,782.58
11.544,791,779.25,777.47,0.19,1.58,777.66,779.05
11.5952,816,775.74,773.95,0.2,1.59,774.15,775.54
