Angle,Observed,Calculated,Background,Calcite_nb,Dolomite_nb,Quartz_nb,Calcite,Dolomite,Quartz
54.892,1466,1981.65,318.87,0.19,0.02,1662.57,319.06,318.89,1981.44
54.9422,1472,1612.33,318.68,0.2,0.02,1293.43,318.88,318.7,1612.11
54.9923,1367,1488.19,318.48,0.21,0.02,1169.48,318.69,318.5,1487.96
55.0425,1165,1374.5,318.29,0.22,0.02,1055.98,318.51,318.31,1374.27
55.0926,939,1018.21,318.09,0.22,0.02,699.88,318.31,318.11,1017.97
55.1427,858,783.25,317.9,0.22,0.02,465.12,318.12,317.92,783.02
55.1929,758,699.03,317.7,0.22,0.02,381.09,317.92,317.72,698.79
55.243,750,731.44,317.51,0.22,0.02,413.69,317.73,317.53,731.2
55.2931,902,890.71,317.31,0.23,0.02,573.15,317.54,317.33,890.46
55.3433,984,1011.53,317.12,0.24,0.02,694.16,317.36,317.14,1011.28
55.3934,859,872.38,316.92,0.25,0.02,555.19,317.17,316.94,872.11
55.4436,771,785.89,316.73,0.25,0.02,468.89,316.98,316.75,785.62
55.4937,730,751.7,316.53,0.26,0.02,434.88,316.79,316.55,751.41
55.5438,635,616.48,316.33,0.28,0.02,299.85,316.61,316.35,616.18
55.594,506,502.12,316.14,0.29,0.02,185.68,316.43,316.16,501.82
55.6441,469,440.91,315.94,0.3,0.02,124.65,316.24,315.96,440.59
55.6942,407,407.41,315.75,0.32,0.02,91.32,316.07,315.77,407.07
55.7444,390,387.19,315.55,0.34,0.02,71.28,315.89,315.57,386.83
55.7945,375,373.9,315.35,0.36,0.02,58.16,315.71,315.37,373.51
55.8446,369,364.58,315.16,0.39,0.02,49.02,315.55,315.18,364.18
55.8948,341,357.73,314.96,0.42,0.02,42.34,315.38,314.98,357.3
55.9449,377,352.51,314.76,0.45,0.02,37.27,315.21,314.78,352.03
55.9951,349,348.41,314.57,0.49,0.02,33.33,315.06,314.59,347.9
56.0452,329,345.13,314.37,0.54,0.02,30.2,314.91,314.39,344.57
56.0953,342,342.46,314.17,0.59,0.02,27.67,314.76,314.19,341.84
56.1455,326,340.26,313.98,0.67,0.02,25.6,314.65,314,339.58
56.1956,352,338.43,313.78,0.75,0.02,23.88,314.53,313.8,337.66
56.2457,320,336.93,313.58,0.87,0.02,22.46,314.45,313.6,336.04
56.2959,342,335.69,313.38,1.02,0.02,21.27,314.4,313.4,334.65
56.346,350,334.71,313.19,1.22,0.02,20.28,314.41,313.21,333.47
56.3962,331,333.98,312.99,1.49,0.02,19.47,314.48,313.01,332.46
56.4463,342,333.5,312.79,1.87,0.02,18.81,314.66,312.81,331.6
56.4964,348,333.32,312.59,2.41,0.02,18.29,315,312.61,330.88
56.5466,324,333.59,312.4,3.26,0.02,17.91,315.66,312.42,330.31
56.5967,316,334.54,312.2,4.66,0.03,17.66,316.86,312.23,329.86
56.6468,366,336.36,312,6.77,0.03,17.56,318.77,312.03,329.56
56.697,324,338.12,311.8,8.68,0.03,17.62,320.48,311.83,329.42
56.7471,332,338.16,311.6,8.65,0.03,17.88,320.25,311.63,329.48
56.7973,349,337.54,311.41,7.72,0.02,18.39,319.13,311.43,329.8
56.8474,337,337.56,311.21,7.09,0.02,19.24,318.3,311.23,330.45
56.8975,355,337.59,311.01,6.02,0.02,20.54,317.03,311.03,331.55
56.9477,321,337.95,310.81,4.65,0.02,22.47,315.46,310.83,333.28
56.9978,357,339.66,310.61,3.69,0.02,25.33,314.3,310.63,335.94
57.0479,319,343.5,310.41,3.22,0.02,29.84,313.63,310.43,340.25
57.0981,345,350.77,310.21,3.1,0.03,37.42,313.31,310.24,347.63
57.1482,366,363,310.01,3.26,0.03,49.7,313.27,310.04,359.71
57.1983,333,377.85,309.81,3.68,0.03,64.33,313.49,309.84,374.14
57.2485,385,383.77,309.62,4.38,0.03,69.75,314,309.65,379.37
57.2986,385,378.81,309.42,5.47,0.03,63.9,314.89,309.45,373.32
57.3488,335,374.58,309.22,7.17,0.03,58.16,316.39,309.25,367.38
57.3989,397,370.96,309.02,10.03,0.03,51.89,319.05,309.05,360.91
57.449,359,365.56,308.82,14.82,0.03,41.89,323.64,308.85,350.71
57.4992,319,362.83,308.62,21.36,0.03,32.82,329.98,308.65,341.44
57.5493,380,360.58,308.42,25.27,0.03,26.85,333.69,308.45,335.27
57.5994,338,354.79,308.22,23.31,0.03,23.22,331.53,308.25,331.44
57.6496,340,349.6,308.02,20.54,0.04,21,328.56,308.06,329.02
57.6997,353,345.82,307.82,18.34,0.04,19.63,326.16,307.86,327.45
57.7499,347,340.79,307.62,14.35,0.04,18.77,321.97,307.66,326.39
57.8,350,335.79,307.42,10.06,0.04,18.26,317.48,307.46,325.68
57.8501,324,332.37,307.22,7.1,0.05,18,314.32,307.27,325.22
57.9003,327,330.35,307.02,5.36,0.05,17.91,312.38,307.07,324.93
57.9504,315,329.26,306.82,4.42,0.05,17.97,311.24,306.87,324.79
58.0005,334,328.84,306.62,4.02,0.05,18.14,310.64,306.67,324.76
58.0507,351,329.02,306.42,4.12,0.06,18.42,310.54,306.48,324.84
58.1008,370,329.62,306.22,4.55,0.06,18.78,310.77,306.28,325
58.151,297,329.97,306.02,4.64,0.07,19.24,310.66,306.09,325.26
58.2011,325,329.79,305.82,4.1,0.08,19.79,309.92,305.9,325.61
58.2512,324,329.73,305.62,3.61,0.08,20.42,309.23,305.7,326.04
58.3014,323,329.85,305.42,3.19,0.09,21.15,308.61,305.51,326.57
58.3515,324,329.86,305.22,2.55,0.11,21.98,307.77,305.33,327.2
58.4016,316,329.99,305.02,1.93,0.12,22.92,306.95,305.14,327.94
58.4518,355,330.43,304.82,1.5,0.15,23.97,306.32,304.97,328.79
58.5019,339,331.17,304.62,1.21,0.18,25.16,305.83,304.8,329.78
58.5521,354,332.16,304.42,1.02,0.22,26.5,305.44,304.64,330.92
58.6022,364,333.4,304.22,0.89,0.27,28.01,305.11,304.49,332.23
58.6523,337,334.92,304.02,0.8,0.35,29.74,304.82,304.37,333.76
58.7025,342,336.77,303.82,0.73,0.48,31.74,304.55,304.3,335.56
58.7526,388,339.07,303.62,0.66,0.69,34.09,304.28,304.31,337.71
58.8027,328,341.65,303.42,0.61,1.01,36.61,304.03,304.43,340.03
58.8529,339,344.32,303.22,0.57,1.31,39.22,303.79,304.53,342.44
58.903,338,347.14,303.02,0.53,1.32,42.28,303.55,304.34,345.3
58.9532,374,350.38,302.82,0.5,1.16,45.89,303.32,303.98,348.71
59.0033,363,354.29,302.62,0.48,1.07,50.12,303.1,303.69,352.74
59.0534,374,358.9,302.42,0.46,0.92,55.09,302.88,303.34,357.51
59.1036,349,364.33,302.22,0.45,0.71,60.96,302.67,302.93,363.18
59.1537,373,370.92,302.02,0.44,0.53,67.93,302.46,302.55,369.95
59.2038,377,379,301.82,0.43,0.43,76.32,302.25,302.25,378.14
59.254,414,388.94,301.62,0.42,0.38,86.51,302.04,302,388.13
59.3041,396,401.28,301.42,0.42,0.37,99.07,301.84,301.79,400.49
59.3542,443,416.79,301.22,0.42,0.39,114.76,301.64,301.61,415.98
59.4044,445,436.59,301.02,0.42,0.43,134.72,301.44,301.45,435.74
59.4545,476,462.19,300.82,0.42,0.51,160.44,301.24,301.33,461.26
59.5047,489,496.15,300.63,0.43,0.62,194.48,301.06,301.25,495.11
59.5548,522,541.76,300.43,0.43,0.79,240.11,300.86,301.22,540.54
59.6049,607,603.66,300.23,0.44,1.07,301.92,300.67,301.3,602.15
59.6551,696,688.13,300.03,0.46,1.55,386.1,300.49,301.58,686.13
59.7052,789,805.83,299.83,0.47,2.28,503.24,300.3,302.11,803.07
59.7553,1073,980.71,299.63,0.49,3.03,677.56,300.12,302.66,977.19
59.8055,1348,1262.45,299.43,0.51,3.1,959.4,299.94,302.53,1258.83
59.8556,1684,1725.81,299.23,0.54,2.7,1423.33,299.77,301.93,1722.56
59.9058,2321,2374.99,299.04,0.58,2.43,2072.94,299.62,301.47,2371.98
59.9559,2561,2843.84,298.84,0.62,2.11,2542.28,299.46,300.95,2841.12
60.006,2567,2717.5,298.64,0.66,1.56,2416.63,299.3,300.2,2715.27
60.0562,2403,2411.13,298.44,0.72,1.07,2110.9,299.16,299.51,2409.34
60.1063,2174,2212.71,298.25,0.79,0.75,1912.93,299.04,299,2211.18
60.1564,1801,1878.39,298.05,0.87,0.55,1578.92,298.92,298.6,1876.97
60.2066,1428,1425.5,297.85,0.98,0.42,1126.26,298.83,298.27,1424.11
60.2567,1109,1067.46,297.65,1.11,0.33,768.37,298.76,297.98,1066.02
60.3069,897,837.23,297.46,1.28,0.27,538.23,298.74,297.73,835.69
