Angle,Observed,Calculated,Background,Calcite_nb,Quartz_nb,Calcite,Quartz
15.2276,576,533.39,530.91,0.49,1.99,531.4,532.9
15.2788,497,531.89,529.38,0.5,2.01,529.88,531.39
15.3299,546,530.42,527.88,0.5,2.04,528.38,529.92
15.3811,508,528.96,526.39,0.51,2.06,526.9,528.45
15.4322,554,527.53,524.93,0.51,2.09,525.44,527.02
15.4834,515,526.12,523.49,0.51,2.12,524,525.61
15.5346,517,524.73,522.07,0.52,2.14,522.59,524.21
15.5857,562,523.36,520.67,0.52,2.17,521.19,522.84
15.6369,504,522.01,519.29,0.52,2.2,519.81,521.49
15.688,534,520.69,517.93,0.53,2.23,518.46,520.16
15.7392,521,519.38,516.59,0.53,2.26,517.12,518.85
15.7904,509,518.1,515.27,0.54,2.29,515.81,517.56
15.8415,484,516.83,513.98,0.54,2.32,514.52,516.3
15.8927,521,515.59,512.7,0.55,2.35,513.25,515.05
15.9438,476,514.37,511.44,0.55,2.38,511.99,513.82
15.995,522,513.17,510.2,0.55,2.41,510.75,512.61
16.0462,504,511.99,508.98,0.56,2.45,509.54,511.43
16.0973,510,510.83,507.78,0.56,2.48,508.34,510.26
16.1485,415,509.69,506.6,0.57,2.52,507.17,509.12
16.1997,498,508.57,505.44,0.57,2.56,506.01,508
16.2508,498,507.47,504.3,0.58,2.6,504.88,506.9
16.302,446,506.39,503.17,0.58,2.63,503.75,505.8
16.3531,447,505.33,502.07,0.59,2.67,502.66,504.74
16.4043,497,504.28,500.98,0.59,2.71,501.57,503.69
16.4555,543,503.26,499.91,0.6,2.76,500.51,502.67
16.5066,487,502.26,498.86,0.6,2.8,499.46,501.66
16.5578,485,501.27,497.82,0.61,2.85,498.43,500.67
16.6089,480,500.31,496.8,0.61,2.89,497.41,499.69
16.6601,502,499.36,495.8,0.62,2.94,496.42,498.74
16.7113,476,498.43,494.82,0.62,2.99,495.44,497.81
16.7624,492,497.52,493.85,0.63,3.04,494.48,496.89
16.8136,551,496.63,492.9,0.63,3.09,493.53,495.99
16.8647,473,495.75,491.97,0.64,3.14,492.61,495.11
16.9159,484,494.9,491.05,0.64,3.2,491.69,494.25
16.9671,473,494.06,490.15,0.65,3.26,490.8,493.41
17.0182,483,493.24,489.27,0.65,3.32,489.92,492.59
17.0694,495,492.44,488.4,0.66,3.38,489.06,491.78
17.1206,481,491.65,487.54,0.67,3.44,488.21,490.98
17.1717,492,490.88,486.7,0.67,3.51,487.37,490.21
17.2229,483,490.13,485.88,0.68,3.57,486.56,489.45
17.274,482,489.4,485.07,0.69,3.64,485.76,488.71
17.3252,497,488.68,484.28,0.69,3.72,484.97,488
17.3764,496,487.99,483.5,0.7,3.79,484.2,487.29
17.4275,445,487.3,482.73,0.7,3.87,483.43,486.6
17.4787,455,486.64,481.98,0.71,3.95,482.69,485.93
17.5298,481,485.99,481.24,0.72,4.04,481.96,485.28
17.581,489,485.36,480.51,0.73,4.13,481.24,484.64
17.6322,479,484.75,479.8,0.73,4.22,480.53,484.02
17.6833,473,484.15,479.1,0.74,4.31,479.84,483.41
17.7345,474,483.57,478.41,0.75,4.41,479.16,482.82
17.7856,476,483.01,477.74,0.75,4.52,478.49,482.26
17.8368,480,482.47,477.08,0.76,4.63,477.84,481.71
17.888,485,481.94,476.43,0.77,4.74,477.2,481.17
17.9391,469,481.43,475.79,0.78,4.86,476.57,480.65
17.9903,455,480.94,475.17,0.79,4.99,475.96,480.16
18.0415,451,480.47,474.55,0.79,5.12,475.34,479.67
18.0926,463,480.01,473.95,0.8,5.26,474.75,479.21
18.1438,479,479.57,473.36,0.81,5.4,474.17,478.76
18.1949,455,479.15,472.78,0.82,5.55,473.6,478.33
18.2461,455,478.75,472.21,0.83,5.72,473.04,477.93
18.2973,470,478.38,471.65,0.84,5.89,472.49,477.54
18.3484,467,478.02,471.1,0.85,6.07,471.95,477.17
18.3996,482,477.68,470.56,0.86,6.26,471.42,476.82
18.4507,453,477.36,470.04,0.87,6.46,470.91,476.5
18.5019,426,477.07,469.52,0.88,6.67,470.4,476.19
18.5531,444,476.8,469.01,0.89,6.9,469.9,475.91
18.6042,471,476.55,468.51,0.9,7.14,469.41,475.65
18.6554,466,476.39,468.02,0.91,7.47,468.93,475.49
18.7065,463,476.78,467.54,0.92,8.33,468.46,475.87
18.7577,466,478.98,467.07,0.93,10.98,468,478.05
18.8089,506,485.43,466.6,0.94,17.88,467.54,484.48
18.86,489,488.16,466.15,0.95,21.06,467.1,487.21
18.9112,515,482.11,465.7,0.97,15.45,466.67,481.15
18.9624,521,478.85,465.26,0.98,12.61,466.24,477.87
19.0135,480,477.43,464.83,0.99,11.61,465.82,476.44
19.0647,451,476.72,464.41,1,11.32,465.41,475.73
19.1158,489,476.36,463.99,1.02,11.36,465.01,475.35
19.167,452,476.2,463.58,1.03,11.59,464.61,475.17
19.2182,529,476.17,463.18,1.04,11.95,464.22,475.13
19.2693,485,476.25,462.79,1.06,12.41,463.85,475.2
19.3205,471,476.43,462.4,1.07,12.95,463.47,475.35
19.3716,485,476.7,462.02,1.09,13.59,463.11,475.61
19.4228,494,477.06,461.64,1.1,14.31,462.74,475.95
19.474,506,477.52,461.27,1.12,15.13,462.39,476.4
19.5251,528,478.1,460.91,1.14,16.05,462.05,476.96
19.5763,516,478.81,460.56,1.15,17.1,461.71,477.66
19.6274,522,479.65,460.21,1.17,18.27,461.38,478.48
19.6786,524,480.66,459.86,1.19,19.61,461.05,479.47
19.7298,560,481.86,459.52,1.21,21.13,460.73,480.65
19.7809,510,483.29,459.19,1.23,22.87,460.42,482.06
19.8321,548,484.97,458.86,1.25,24.86,460.11,483.72
19.8832,530,486.98,458.54,1.27,27.17,459.81,485.71
19.9344,553,489.38,458.22,1.29,29.87,459.51,488.09
19.9856,522,492.26,457.91,1.31,33.04,459.22,490.95
20.0367,547,495.74,457.6,1.34,36.8,458.94,494.4
20.0879,566,499.92,457.29,1.36,41.26,458.65,498.55
20.1391,560,505.11,456.99,1.39,46.73,458.38,503.72
20.1902,586,511.57,456.7,1.41,53.46,458.11,510.16
20.2414,621,519.72,456.4,1.44,61.88,457.84,518.28
20.2925,612,530.18,456.12,1.47,72.6,457.59,528.72
