Angle,Observed,Calculated,Background,Dolomite_nb,Halite_nb,Quartz_nb,Dolomite,Halite,Quartz
4.0028,1950,2037.62,2036.6,0.02,0,1.01,2036.62,2036.6,2037.61
4.053,1898,1975.03,1974,0.02,0,1.01,1974.02,1974,1975.01
4.1031,1977,1924.89,1923.86,0.02,0,1.02,1923.88,1923.86,1924.88
4.1533,1866,1884.78,1883.74,0.02,0,1.03,1883.76,1883.74,1884.77
4.2034,1928,1852.71,1851.66,0.02,0,1.03,1851.68,1851.66,1852.69
4.2535,1838,1827.01,1825.96,0.02,0,1.04,1825.98,1825.96,1827
4.3037,1850,1806.29,1805.23,0.02,0,1.05,1805.25,1805.23,1806.28
4.3538,1833,1789.41,1788.34,0.02,0,1.05,1788.36,1788.34,1789.39
4.4039,1837,1775.42,1774.34,0.02,0,1.06,1774.36,1774.34,1775.4
4.4541,1826,1763.54,1762.46,0.02,0,1.06,1762.48,1762.46,1763.52
4.5042,1795,1753.15,1752.06,0.02,0,1.07,1752.08,1752.06,1753.13
4.5544,1788,1743.74,1742.65,0.02,0,1.08,1742.67,1742.65,1743.73
4.6045,1780,1734.91,1733.82,0.02,0,1.08,1733.84,1733.82,1734.9
4.6546,1744,1726.35,1725.24,0.02,0,1.09,1725.26,1725.24,1726.33
4.7048,1676,1717.81,1716.7,0.02,0,1.09,1716.72,1716.7,1717.79
4.7549,1656,1709.11,1707.99,0.02,0,1.1,1708.01,1707.99,1709.09
4.805,1697,1700.11,1698.98,0.02,0,1.11,1699,1698.98,1700.09
4.8552,1722,1690.72,1689.59,0.02,0,1.11,1689.61,1689.59,1690.7
4.9053,1696,1680.89,1679.75,0.02,0,1.12,1679.77,1679.75,1680.87
4.9554,1602,1670.58,1669.44,0.02,0,1.13,1669.46,1669.44,1670.57
5.0056,1555,1659.78,1658.63,0.02,0,1.13,1658.65,1658.63,1659.76
5.0557,1556,1648.5,1647.34,0.02,0,1.14,1647.36,1647.34,1648.48
5.1059,1574,1636.76,1635.6,0.02,0,1.15,1635.62,1635.6,1636.75
5.156,1583,1624.59,1623.42,0.02,0,1.15,1623.44,1623.42,1624.57
5.2061,1572,1612.02,1610.84,0.02,0,1.16,1610.86,1610.84,1612
5.2563,1568,1599.11,1597.92,0.02,0,1.17,1597.94,1597.92,1599.09
5.3064,1564,1585.89,1584.7,0.02,0,1.17,1584.72,1584.7,1585.87
5.3565,1566,1572.42,1571.22,0.02,0,1.18,1571.24,1571.22,1572.4
5.4067,1509,1558.74,1557.54,0.02,0,1.19,1557.56,1557.54,1558.73
5.4568,1568,1544.91,1543.7,0.02,0,1.19,1543.72,1543.7,1544.89
5.507,1481,1530.97,1529.76,0.02,0,1.2,1529.78,1529.76,1530.96
5.5571,1537,1516.98,1515.75,0.02,0,1.21,1515.77,1515.75,1516.96
5.6072,1438,1502.97,1501.73,0.02,0,1.21,1501.75,1501.73,1502.94
5.6574,1463,1488.98,1487.74,0.02,0,1.22,1487.76,1487.74,1488.96
5.7075,1430,1475.06,1473.82,0.02,0,1.23,1473.84,1473.82,1475.05
5.7576,1542,1461.24,1459.99,0.02,0,1.23,1460.01,1459.99,1461.22
5.8078,1495,1447.56,1446.3,0.02,0,1.24,1446.32,1446.3,1447.54
5.8579,1512,1434.05,1432.78,0.02,0,1.25,1432.8,1432.78,1434.03
5.9081,1482,1420.73,1419.46,0.02,0,1.25,1419.48,1419.46,1420.71
5.9582,1357,1407.63,1406.35,0.02,0,1.26,1406.37,1406.35,1407.61
6.0083,1400,1394.77,1393.48,0.02,0,1.27,1393.5,1393.48,1394.75
6.0585,1410,1382.17,1380.88,0.02,0,1.28,1380.9,1380.88,1382.16
6.1086,1414,1369.85,1368.54,0.02,0,1.28,1368.56,1368.54,1369.82
6.1587,1372,1357.81,1356.5,0.02,0,1.29,1356.52,1356.5,1357.79
6.2089,1343,1346.08,1344.76,0.02,0,1.3,1344.78,1344.76,1346.06
6.259,1356,1334.65,1333.33,0.02,0,1.3,1333.35,1333.33,1334.63
6.3092,1334,1323.54,1322.21,0.02,0,1.31,1322.23,1322.21,1323.52
6.3593,1332,1312.76,1311.42,0.02,0,1.32,1311.44,1311.42,1312.74
6.4094,1260,1302.29,1300.95,0.02,0,1.33,1300.97,1300.95,1302.28
6.4596,1350,1292.16,1290.8,0.02,0,1.33,1290.82,1290.8,1292.13
6.5097,1368,1282.35,1280.99,0.02,0,1.34,1281.01,1280.99,1282.33
6.5598,1284,1272.86,1271.49,0.02,0,1.35,1271.51,1271.49,1272.84
6.61,1337,1263.7,1262.32,0.02,0,1.36,1262.34,1262.32,1263.68
6.6601,1318,1254.85,1253.47,0.02,0,1.36,1253.49,1253.47,1254.83
6.7102,1321,1246.32,1244.93,0.02,0,1.37,1244.95,1244.93,1246.3
6.7604,1176,1238.1,1236.7,0.02,0,1.38,1236.72,1236.7,1238.08
6.8105,1274,1230.17,1228.76,0.02,0,1.39,1228.78,1228.76,1230.15
6.8607,1256,1222.54,1221.12,0.02,0,1.4,1221.14,1221.12,1222.52
6.9108,1237,1215.19,1213.76,0.02,0,1.4,1213.78,1213.76,1215.16
6.9609,1253,1208.12,1206.68,0.02,0,1.41,1206.7,1206.68,1208.09
7.0111,1217,1201.31,1199.87,0.02,0,1.42,1199.89,1199.87,1201.29
7.0612,1176,1194.76,1193.32,0.02,0,1.43,1193.34,1193.32,1194.75
7.1113,1232,1188.47,1187.01,0.02,0,1.44,1187.03,1187.01,1188.45
7.1615,1215,1182.41,1180.94,0.02,0,1.44,1180.96,1180.94,1182.38
7.2116,1217,1176.58,1175.1,0.02,0,1.45,1175.12,1175.1,1176.55
7.2618,1222,1170.96,1169.48,0.02,0,1.46,1169.5,1169.48,1170.94
7.3119,1189,1165.56,1164.07,0.02,0,1.47,1164.09,1164.07,1165.54
7.362,1191,1160.35,1158.85,0.02,0,1.48,1158.87,1158.85,1160.33
7.4122,1181,1155.33,1153.82,0.02,0,1.49,1153.84,1153.82,1155.31
7.4623,1090,1150.49,1148.97,0.02,0,1.49,1148.99,1148.97,1150.46
7.5124,1135,1145.82,1144.29,0.02,0,1.5,1144.31,1144.29,1145.79
7.5626,1156,1141.3,1139.77,0.02,0,1.51,1139.79,1139.77,1141.28
7.6127,1166,1136.94,1135.39,0.02,0,1.52,1135.41,1135.39,1136.91
7.6629,1085,1132.71,1131.16,0.02,0,1.53,1131.18,1131.16,1132.69
7.713,1120,1128.61,1127.05,0.02,0,1.54,1127.07,1127.05,1128.59
7.7631,1043,1124.63,1123.06,0.02,0,1.55,1123.08,1123.06,1124.61
7.8133,1056,1120.77,1119.19,0.02,0,1.56,1119.21,1119.19,1120.75
7.8634,1076,1117.01,1115.42,0.02,0,1.57,1115.44,1115.42,1116.99
7.9135,1054,1113.34,1111.74,0.02,0,1.58,1111.76,1111.74,1113.32
7.9637,1072,1109.76,1108.15,0.02,0,1.58,1108.17,1108.15,1109.73
8.0138,1042,1106.26,1104.65,0.02,0,1.59,1104.67,1104.65,1106.24
8.064,1060,1102.83,1101.21,0.02,0,1.6,1101.23,1101.21,1102.81
8.1141,1091,1099.47,1097.84,0.02,0,1.61,1097.86,1097.84,1099.45
8.1642,1131,1096.17,1094.52,0.02,0,1.62,1094.54,1094.52,1096.14
8.2144,1096,1092.91,1091.26,0.02,0,1.63,1091.28,1091.26,1092.89
8.2645,1047,1089.7,1088.04,0.02,0,1.64,1088.06,1088.04,1089.68
8.3146,1119,1086.53,1084.86,0.02,0,1.65,1084.88,1084.86,1086.51
8.3648,1034,1083.4,1081.72,0.02,0,1.66,1081.74,1081.72,1083.38
8.4149,1125,1080.29,1078.6,0.02,0,1.67,1078.62,1078.6,1080.27
8.465,1110,1077.21,1075.51,0.02,0,1.68,1075.53,1075.51,1077.19
8.5152,1040,1074.14,1072.43,0.02,0,1.69,1072.45,1072.43,1074.12
8.5653,1058,1071.09,1069.37,0.02,0,1.7,1069.39,1069.37,1071.07
8.6155,1078,1068.05,1066.32,0.02,0,1.71,1066.34,1066.32,1068.03
8.6656,1107,1065.02,1063.28,0.02,0,1.72,1063.3,1063.28,1065
8.7157,1024,1061.99,1060.24,0.02,0,1.73,1060.26,1060.24,1061.97
8.7659,1033,1058.95,1057.19,0.02,0,1.74,1057.21,1057.19,1058.93
8.816,994,1055.91,1054.14,0.02,0,1.75,1054.16,1054.14,1055.89
8.8661,1101,1052.87,1051.09,0.02,0,1.76,1051.11,1051.09,1052.85
8.9163,1039,1049.81,1048.02,0.02,0,1.77,1048.04,1048.02,1049.79
8.9664,1030,1046.74,1044.94,0.02,0,1.78,1044.96,1044.94,1046.72
9.0166,1056,1043.66,1041.85,0.02,0,1.79,1041.87,1041.85,1043.64
9.0667,1022,1040.56,1038.74,0.02,0,1.8,1038.76,1038.74,1040.54
