Angle,Observed,Calculated,Background,Dolomite_nb,Halite_nb,Quartz_nb,Dolomite,Halite,Quartz
8.3146,1362,1273.53,1272.29,0.02,0,1.21,1272.31,1272.29,1273.5
8.3648,1267,1267.23,1265.99,0.02,0,1.22,1266.01,1265.99,1267.21
8.4149,1252,1260.98,1259.73,0.02,0,1.23,1259.75,1259.73,1260.96
8.465,1209,1254.77,1253.51,0.02,0,1.23,1253.53,1253.51,1254.74
8.5152,1207,1248.6,1247.33,0.02,0,1.24,1247.35,1247.33,1248.57
8.5653,1222,1242.47,1241.2,0.02,0,1.25,1241.22,1241.2,1242.45
8.6155,1203,1236.37,1235.09,0.02,0,1.26,1235.11,1235.09,1236.35
8.6656,1224,1230.31,1229.02,0.02,0,1.26,1229.04,1229.02,1230.28
8.7157,1202,1224.28,1222.98,0.02,0,1.27,1223,1222.98,1224.25
8.7659,1250,1218.27,1216.97,0.02,0,1.28,1216.99,1216.97,1218.25
8.816,1199,1212.29,1210.98,0.02,0,1.29,1211,1210.98,1212.27
8.8661,1222,1206.34,1205.02,0.02,0,1.29,1205.04,1205.02,1206.31
8.9163,1217,1200.41,1199.08,0.02,0,1.3,1199.1,1199.08,1200.38
8.9664,1271,1194.5,1193.16,0.02,0,1.31,1193.18,1193.16,1194.47
9.0166,1188,1188.61,1187.27,0.02,0,1.32,1187.29,1187.27,1188.59
9.0667,1170,1182.73,1181.39,0.02,0,1.32,1181.41,1181.39,1182.71
9.1168,1074,1176.88,1175.52,0.02,0,1.33,1175.54,1175.52,1176.85
9.167,1061,1171.04,1169.68,0.02,0,1.34,1169.7,1169.68,1171.02
9.2171,1097,1165.22,1163.84,0.02,0,1.35,1163.86,1163.84,1165.19
9.2672,1126,1159.41,1158.03,0.02,0,1.36,1158.05,1158.03,1159.39
9.3174,1128,1153.61,1152.22,0.02,0,1.37,1152.24,1152.22,1153.59
9.3675,1129,1147.83,1146.44,0.02,0,1.37,1146.46,1146.44,1147.81
9.4177,1113,1142.06,1140.66,0.02,0,1.38,1140.68,1140.66,1142.04
9.4678,1089,1136.31,1134.89,0.02,0,1.39,1134.91,1134.89,1136.28
9.5179,1138,1130.56,1129.14,0.02,0,1.4,1129.16,1129.14,1130.54
9.5681,1085,1124.83,1123.4,0.02,0,1.41,1123.42,1123.4,1124.81
9.6182,1108,1119.11,1117.67,0.02,0,1.42,1117.69,1117.67,1119.09
9.6683,1092,1113.4,1111.95,0.02,0,1.43,1111.97,1111.95,1113.38
9.7185,1069,1107.71,1106.25,0.02,0,1.43,1106.27,1106.25,1107.68
9.7686,1079,1102.02,1100.55,0.02,0,1.44,1100.57,1100.55,1101.99
9.8188,1049,1096.35,1094.87,0.02,0,1.45,1094.89,1094.87,1096.32
9.8689,1085,1090.69,1089.2,0.02,0,1.46,1089.22,1089.2,1090.66
9.919,1079,1085.04,1083.54,0.02,0,1.47,1083.56,1083.54,1085.01
9.9692,1041,1079.4,1077.9,0.02,0,1.48,1077.92,1077.9,1079.38
10.0193,1062,1073.78,1072.27,0.02,0,1.49,1072.29,1072.27,1073.76
10.0694,1070,1068.17,1066.65,0.03,0,1.5,1066.68,1066.65,1068.15
10.1196,1110,1062.58,1061.04,0.03,0,1.51,1061.07,1061.04,1062.55
10.1697,1109,1057,1055.45,0.03,0,1.52,1055.48,1055.45,1056.97
10.2198,1008,1051.44,1049.88,0.03,0,1.53,1049.91,1049.88,1051.41
10.27,1061,1045.89,1044.32,0.03,0,1.54,1044.35,1044.32,1045.86
10.3201,1046,1040.35,1038.78,0.03,0,1.55,1038.81,1038.78,1040.33
10.3703,973,1034.84,1033.25,0.03,0,1.56,1033.28,1033.25,1034.81
10.4204,1016,1029.34,1027.74,0.03,0,1.57,1027.77,1027.74,1029.31
10.4705,1001,1023.86,1022.26,0.03,0,1.58,1022.29,1022.26,1023.84
10.5207,1006,1018.4,1016.78,0.03,0,1.59,1016.81,1016.78,1018.37
10.5708,991,1012.96,1011.33,0.03,0,1.6,1011.36,1011.33,1012.93
10.6209,953,1007.54,1005.9,0.03,0,1.61,1005.93,1005.9,1007.51
10.6711,984,1002.14,1000.49,0.03,0,1.62,1000.52,1000.49,1002.11
10.7212,998,996.77,995.1,0.03,0,1.64,995.13,995.1,996.74
10.7714,949,991.41,989.74,0.03,0,1.65,989.77,989.74,991.39
10.8215,1005,986.08,984.4,0.03,0,1.66,984.43,984.4,986.06
10.8716,1009,980.78,979.08,0.03,0,1.67,979.11,979.08,980.75
10.9218,956,975.5,973.79,0.03,0,1.68,973.82,973.79,975.47
10.9719,943,970.24,968.52,0.03,0,1.69,968.55,968.52,970.21
11.022,1080,965.01,963.28,0.03,0,1.7,963.31,963.28,964.98
11.0722,974,959.81,958.07,0.03,0,1.72,958.1,958.07,959.79
11.1223,975,954.64,952.88,0.03,0,1.73,952.91,952.88,954.61
11.1725,950,949.5,947.73,0.03,0,1.74,947.76,947.73,949.47
11.2226,951,944.38,942.6,0.03,0,1.75,942.63,942.6,944.35
11.2727,1009,939.3,937.5,0.03,0,1.77,937.53,937.5,939.27
11.3229,987,934.25,932.44,0.03,0,1.78,932.47,932.44,934.22
11.373,985,929.23,927.41,0.03,0,1.79,927.44,927.41,929.2
11.4231,992,924.24,922.41,0.03,0,1.8,922.44,922.41,924.21
11.4733,969,919.29,917.44,0.03,0,1.82,917.47,917.44,919.26
11.5234,933,914.36,912.5,0.03,0,1.83,912.53,912.5,914.33
11.5736,850,909.48,907.61,0.03,0,1.84,907.64,907.61,909.45
11.6237,925,904.63,902.74,0.03,0,1.86,902.77,902.74,904.6
11.6738,908,899.82,897.91,0.03,0,1.87,897.94,897.91,899.78
11.724,896,895.04,893.12,0.03,0,1.89,893.15,893.12,895.01
11.7741,964,890.3,888.37,0.03,0,1.9,888.4,888.37,890.27
11.8242,927,885.6,883.65,0.03,0,1.91,883.68,883.65,885.56
11.8744,924,880.94,878.98,0.03,0,1.93,879.01,878.98,880.91
11.9245,951,876.31,874.34,0.03,0,1.94,874.37,874.34,876.28
11.9746,925,871.73,869.74,0.03,0,1.96,869.77,869.74,871.7
12.0248,927,867.19,865.18,0.03,0,1.97,865.21,865.18,867.15
12.0749,822,862.68,860.66,0.03,0,1.99,860.69,860.66,862.65
12.1251,894,858.22,856.19,0.03,0,2,856.22,856.19,858.19
12.1752,880,853.8,851.75,0.03,0,2.02,851.78,851.75,853.77
12.2253,834,849.42,847.36,0.03,0,2.04,847.39,847.36,849.4
12.2755,837,845.09,843.01,0.03,0,2.05,843.04,843.01,845.06
12.3256,863,840.8,838.7,0.03,0,2.07,838.73,838.7,840.77
12.3757,819,836.55,834.44,0.03,0,2.08,834.47,834.44,836.52
12.4259,841,832.35,830.21,0.03,0,2.1,830.24,830.21,832.31
12.476,799,828.19,826.04,0.03,0,2.12,826.07,826.04,828.16
12.5262,842,824.07,821.91,0.03,0,2.13,821.94,821.91,824.04
12.5763,861,820,817.82,0.03,0,2.15,817.85,817.82,819.97
12.6264,777,815.98,813.78,0.03,0,2.17,813.81,813.78,815.95
12.6766,870,812,809.78,0.03,0,2.19,809.81,809.78,811.97
12.7267,795,808.07,805.83,0.03,0,2.21,805.86,805.83,808.04
12.7768,862,804.18,801.92,0.03,0,2.22,801.95,801.92,804.14
12.827,813,800.34,798.07,0.03,0,2.24,798.1,798.07,800.31
12.8771,772,796.55,794.25,0.03,0,2.26,794.28,794.25,796.51
12.9273,768,792.8,790.49,0.03,0,2.28,790.52,790.49,792.77
12.9774,807,789.1,786.77,0.03,0,2.3,786.8,786.77,789.07
13.0275,815,785.45,783.1,0.03,0,2.32,783.13,783.1,785.42
13.0777,786,781.84,779.47,0.03,0,2.34,779.5,779.47,781.81
13.1278,826,778.29,775.89,0.03,0,2.36,775.92,775.89,778.25
13.1779,798,774.78,772.36,0.03,0,2.38,772.39,772.36,774.74
13.2281,768,771.31,768.88,0.03,0,2.4,768.91,768.88,771.28
13.2782,751,767.9,765.44,0.03,0,2.42,765.47,765.44,767.86
13.3284,796,764.53,762.05,0.04,0,2.44,762.09,762.05,764.49
13.3785,805,761.21,758.71,0.04,0,2.47,758.75,758.71,761.18
13.4286,799,757.94,755.42,0.04,0,2.49,755.46,755.42,757.91
13.4788,754,754.72,752.17,0.04,0,2.51,752.21,752.17,754.68
13.5289,802,751.54,748.97,0.04,0,2.53,749.01,748.97,751.5
13.579,722,748.42,745.82,0.04,0,2.56,745.86,745.82,748.38
13.6292,733,745.34,742.72,0.04,0,2.58,742.76,742.72,745.3
13.6793,759,742.31,739.66,0.04,0,2.6,739.7,739.66,742.26
13.7294,766,739.32,736.66,0.04,0,2.63,736.7,736.66,739.29
13.7796,749,736.39,733.69,0.04,0,2.65,733.73,733.69,736.34
13.8297,716,733.5,730.78,0.04,0,2.68,730.82,730.78,733.46
13.8799,756,730.65,727.91,0.04,0,2.7,727.95,727.91,730.61
13.93,756,727.86,725.09,0.04,0,2.73,725.13,725.09,727.82
13.9801,753,725.11,722.32,0.04,0,2.76,722.36,722.32,725.08
14.0303,768,722.41,719.59,0.04,0,2.78,719.63,719.59,722.37
14.0804,721,719.76,716.91,0.04,0,2.81,716.95,716.91,719.72
14.1305,739,717.15,714.28,0.04,0,2.84,714.32,714.28,717.12
14.1807,724,714.59,711.69,0.04,0,2.87,711.73,711.69,714.56
14.2308,658,712.08,709.15,0.04,0,2.89,709.19,709.15,712.04
14.281,711,709.61,706.65,0.04,0,2.92,706.69,706.65,709.57
14.3311,726,707.19,704.2,0.04,0,2.95,704.24,704.2,707.15
14.3812,696,704.81,701.79,0.04,0,2.98,701.83,701.79,704.77
14.4314,711,702.48,699.43,0.04,0,3.01,699.47,699.43,702.44
14.4815,673,700.2,697.11,0.04,0,3.05,697.15,697.11,700.16
14.5316,653,697.96,694.84,0.04,0,3.08,694.88,694.84,697.92
14.5818,741,695.76,692.61,0.04,0,3.11,692.65,692.61,695.72
14.6319,672,693.61,690.43,0.04,0,3.14,690.47,690.43,693.57
14.6821,762,691.5,688.29,0.04,0,3.18,688.33,688.29,691.47
14.7322,715,689.44,686.19,0.04,0,3.21,686.23,686.19,689.4
14.7823,735,687.42,684.13,0.04,0,3.25,684.17,684.13,687.38
14.8325,647,685.44,682.12,0.04,0,3.28,682.16,682.12,685.4
14.8826,640,683.51,680.15,0.04,0,3.32,680.19,680.15,683.47
14.9327,690,681.62,678.22,0.04,0,3.35,678.26,678.22,681.57
14.9829,707,679.77,676.33,0.05,0,3.39,676.38,676.33,679.72
15.033,725,677.97,674.49,0.05,0,3.43,674.54,674.49,677.92
15.0832,692,676.2,672.68,0.05,0,3.47,672.73,672.68,676.15
15.1333,669,674.47,670.92,0.05,0,3.51,670.97,670.92,674.43
15.1834,663,672.79,669.19,0.05,0,3.55,669.24,669.19,672.74
15.2336,628,671.15,667.51,0.05,0,3.59,667.56,667.51,671.1
15.2837,685,669.55,665.86,0.05,0,3.63,665.91,665.86,669.49
15.3338,629,667.98,664.26,0.05,0,3.68,664.31,664.26,667.94
15.384,692,666.46,662.69,0.05,0,3.72,662.74,662.69,666.41
15.4341,655,664.98,661.16,0.05,0,3.77,661.21,661.16,664.93
15.4842,700,663.53,659.67,0.05,0,3.81,659.72,659.67,663.48
15.5344,608,662.12,658.21,0.05,0,3.86,658.26,658.21,662.07
15.5845,644,660.75,656.8,0.05,0,3.91,656.85,656.8,660.71
15.6347,667,659.42,655.41,0.05,0,3.96,655.46,655.41,659.37
15.6848,656,658.13,654.07,0.05,0,4.01,654.12,654.07,658.08
15.7349,580,656.87,652.76,0.05,0,4.06,652.81,652.76,656.82
15.7851,646,655.65,651.48,0.05,0,4.11,651.53,651.48,655.59
15.8352,637,654.47,650.25,0.05,0,4.17,650.3,650.25,654.42
15.8853,609,653.32,649.04,0.06,0,4.22,649.1,649.04,653.26
15.9355,637,652.21,647.87,0.06,0,4.28,647.93,647.87,652.15
15.9856,639,651.13,646.73,0.06,0,4.34,646.79,646.73,651.07
16.0358,652,650.08,645.63,0.06,0,4.4,645.69,645.63,650.03
16.0859,637,649.08,644.55,0.06,0,4.46,644.61,644.55,649.01
16.136,646,648.1,643.51,0.07,0,4.52,643.58,643.51,648.03
16.1862,638,647.16,642.51,0.07,0,4.58,642.58,642.51,647.09
16.2363,638,646.26,641.53,0.08,0,4.65,641.61,641.53,646.18
16.2864,592,645.39,640.58,0.09,0,4.72,640.67,640.58,645.3
16.3366,685,644.57,639.67,0.11,0,4.79,639.78,639.67,644.46
16.3867,653,643.78,638.78,0.14,0,4.86,638.92,638.78,643.64
16.4369,593,643.06,637.92,0.21,0,4.93,638.13,637.92,642.85
16.487,570,642.45,637.1,0.34,0,5.01,637.44,637.1,642.11
16.5371,605,642.03,636.3,0.64,0,5.08,636.94,636.3,641.38
16.5873,656,641.76,635.53,1.07,0,5.16,636.6,635.53,640.69
16.6374,648,641,634.79,0.97,0,5.24,635.76,634.79,640.03
16.6875,596,639.93,634.07,0.53,0,5.33,634.6,634.07,639.4
16.7377,620,639.08,633.38,0.28,0,5.42,633.66,633.38,638.8
16.7878,596,638.4,632.72,0.18,0,5.5,632.9,632.72,638.22
16.838,650,637.81,632.08,0.13,0,5.6,632.21,632.08,637.68
16.8881,637,637.27,631.47,0.11,0,5.69,631.58,631.47,637.16
16.9382,641,636.77,630.89,0.09,0,5.79,630.98,630.89,636.68
16.9884,593,636.3,630.32,0.08,0,5.89,630.4,630.32,636.21
17.0385,623,635.86,629.79,0.08,0,5.99,629.87,629.79,635.78
17.0886,599,635.45,629.27,0.08,0,6.1,629.35,629.27,635.37
17.1388,602,635.07,628.78,0.07,0,6.21,628.85,628.78,634.99
17.1889,636,634.72,628.32,0.07,0,6.33,628.39,628.32,634.65
17.239,598,634.39,627.87,0.07,0,6.45,627.94,627.87,634.32
17.2892,639,634.09,627.45,0.07,0,6.57,627.52,627.45,634.02
17.3393,607,633.82,627.05,0.07,0,6.7,627.12,627.05,633.75
17.3895,605,633.57,626.66,0.07,0,6.83,626.73,626.66,633.49
17.4396,603,633.34,626.3,0.07,0,6.97,626.37,626.3,633.27
17.4897,584,633.15,625.97,0.07,0,7.12,626.04,625.97,633.09
17.5399,602,632.98,625.64,0.07,0,7.26,625.71,625.64,632.9
17.59,634,632.83,625.34,0.07,0,7.42,625.41,625.34,632.76
17.6401,578,632.71,625.06,0.07,0,7.58,625.13,625.06,632.64
17.6903,588,632.61,624.8,0.07,0,7.75,624.87,624.8,632.55
17.7404,601,632.54,624.55,0.07,0,7.92,624.62,624.55,632.47
17.7906,616,632.5,624.33,0.07,0,8.1,624.4,624.33,632.43
17.8407,622,632.48,624.12,0.07,0,8.3,624.19,624.12,632.42
17.8908,658,632.49,623.92,0.07,0,8.49,623.99,623.92,632.41
17.941,615,632.52,623.75,0.07,0,8.7,623.82,623.75,632.45
17.9911,649,632.58,623.59,0.07,0,8.92,623.66,623.59,632.51
18.0412,628,632.66,623.44,0.07,0,9.15,623.51,623.44,632.59
18.0914,653,632.77,623.31,0.07,0,9.39,623.38,623.31,632.7
18.1415,586,632.91,623.2,0.07,0,9.64,623.27,623.2,632.84
18.1917,632,633.07,623.1,0.07,0,9.9,623.17,623.1,633
18.2418,582,633.26,623.01,0.07,0,10.18,623.08,623.01,633.19
18.2919,627,633.49,622.94,0.07,0,10.48,623.01,622.94,633.42
18.3421,587,633.74,622.88,0.07,0,10.79,622.95,622.88,633.67
18.3922,628,634.02,622.83,0.07,0,11.11,622.9,622.83,633.94
18.4423,594,634.33,622.8,0.07,0,11.46,622.87,622.8,634.26
18.4925,598,634.68,622.77,0.08,0,11.83,622.85,622.77,634.6
18.5426,594,635.06,622.77,0.08,0,12.22,622.85,622.77,634.99
18.5928,579,635.48,622.77,0.08,0,12.64,622.85,622.77,635.41
18.6429,650,636.01,622.78,0.08,0,13.15,622.86,622.78,635.93
18.693,651,637.32,622.8,0.08,0,14.43,622.88,622.8,637.23
18.7432,599,641.11,622.84,0.08,0,18.19,622.92,622.84,641.03
18.7933,637,651.1,622.88,0.08,0,28.14,622.96,622.88,651.02
18.8434,709,659.6,622.93,0.08,0,36.58,623.01,622.93,659.51
18.8936,686,651.58,623,0.08,0,28.5,623.08,623,651.5
18.9437,650,646,623.07,0.08,0,22.85,623.15,623.07,645.92
18.9938,624,643.95,623.15,0.08,0,20.71,623.23,623.15,643.86
19.044,600,643.35,623.24,0.09,0,20.02,623.33,623.24,643.26
19.0941,644,643.4,623.34,0.09,0,19.98,623.43,623.34,643.32
19.1443,658,643.83,623.44,0.09,0,20.3,623.53,623.44,643.74
19.1944,677,644.5,623.56,0.09,0,20.85,623.65,623.56,644.41
19.2445,722,645.35,623.67,0.09,0,21.59,623.76,623.67,645.26
19.2947,662,646.37,623.8,0.09,0,22.48,623.89,623.8,646.28
19.3448,666,647.54,623.93,0.09,0,23.51,624.02,623.93,647.44
19.3949,679,648.86,624.07,0.09,0,24.69,624.16,624.07,648.76
19.4451,721,650.33,624.22,0.1,0,26.02,624.32,624.22,650.24
19.4952,691,651.99,624.37,0.1,0,27.52,624.47,624.37,651.89
19.5454,717,653.83,624.52,0.1,0,29.21,624.62,624.52,653.73
19.5955,703,655.9,624.68,0.1,0,31.11,624.78,624.68,655.79
19.6456,708,658.21,624.85,0.1,0,33.26,624.95,624.85,658.11
19.6958,781,660.82,625.02,0.1,0,35.69,625.12,625.02,660.71
19.7459,785,663.76,625.19,0.11,0,38.46,625.3,625.19,663.65
19.796,797,667.11,625.37,0.12,0,41.62,625.49,625.37,666.99
19.8462,800,670.95,625.55,0.15,0,45.25,625.7,625.55,670.8
19.8963,844,675.38,625.74,0.19,0,49.45,625.93,625.74,675.19
19.9465,780,680.45,625.93,0.17,0,54.35,626.1,625.93,680.28
19.9966,888,686.37,626.12,0.14,0,60.11,626.26,626.12,686.23
20.0467,852,693.4,626.31,0.13,0,66.95,626.44,626.31,693.26
20.0969,840,701.7,626.5,0.13,0,75.06,626.63,626.5,701.56
20.147,878,711.84,626.7,0.13,0,85,626.83,626.7,711.7
20.1971,969,724.28,626.9,0.13,0,97.24,627.03,626.9,724.14
20.2473,909,739.79,627.1,0.13,0,112.55,627.23,627.1,739.65
20.2974,916,759.49,627.31,0.14,0,132.05,627.45,627.31,759.36
20.3476,991,785.09,627.51,0.14,0,157.44,627.65,627.51,784.95
20.3977,969,819.23,627.71,0.14,0,191.37,627.85,627.71,819.08
20.4478,1063,866.22,627.92,0.15,0,238.16,628.07,627.92,866.08
20.498,1059,933.5,628.12,0.15,0,305.23,628.27,628.12,933.35
20.5481,1208,1034.74,628.33,0.15,0,406.25,628.48,628.33,1034.58
20.5982,1323,1197.1,628.54,0.16,0,568.41,628.7,628.54,1196.95
20.6484,1778,1479.98,628.74,0.17,0,851.07,628.91,628.74,1479.81
20.6985,2396,2024.8,628.95,0.17,0,1395.68,629.12,628.95,2024.63
20.7486,3640,3179.1,629.15,0.18,0,2549.77,629.33,629.15,3178.92
20.7988,6350,5640.47,629.36,0.19,0,5010.93,629.55,629.36,5640.29
20.8489,9434,9044.27,629.56,0.19,0,8414.51,629.75,629.56,9044.07
20.8991,9031,8447.5,629.76,0.2,0,7817.54,629.96,629.76,8447.3
20.9492,5353,5164.91,629.96,0.21,0,4534.73,630.17,629.96,5164.69
20.9993,2875,2847.85,630.16,0.23,0,2217.46,630.39,630.16,2847.62
21.0495,1920,1849.62,630.36,0.24,0,1219.02,630.6,630.36,1849.38
21.0996,1411,1391.31,630.55,0.26,0,760.49,630.81,630.55,1391.04
21.1497,1268,1149.93,630.75,0.28,0,518.91,631.03,630.75,1149.66
21.1999,1150,1008.47,630.94,0.3,0,377.23,631.24,630.94,1008.17
21.25,1040,918.79,631.13,0.32,0,287.34,631.45,631.13,918.47
21.3002,974,858.51,631.31,0.36,0,226.84,631.67,631.31,858.15
21.3503,922,816.13,631.49,0.39,0,184.23,631.88,631.49,815.72
21.4004,902,785.24,631.68,0.44,0,153.13,632.12,631.68,784.81
21.4506,890,762.1,631.85,0.5,0,129.75,632.35,631.85,761.6
21.5007,893,744.48,632.03,0.57,0,111.87,632.6,632.03,743.9
21.5508,778,730.59,632.2,0.67,0,97.71,632.87,632.2,729.91
21.601,780,719.58,632.37,0.81,0,86.41,633.18,632.37,718.78
